triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,12.7109375
0,PV,The doctor is giving medicine to the old woman.,is,4.41796875
0,PV,The doctor is giving medicine to the old woman.,giving,8.25
0,PV,The doctor is giving medicine to the old woman.,medicine,10.75
0,PV,The doctor is giving medicine to the old woman.,to,1.7578125
0,PV,The doctor is giving medicine to the old woman.,the,2.5703125
0,PV,The doctor is giving medicine to the old woman.,old,7.3046875
0,PV,The doctor is giving medicine to the old woman.,woman.,5.861328125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,12.7109375
0,IV,The doctor is welding medicine to the old woman.,is,4.41796875
0,IV,The doctor is welding medicine to the old woman.,welding,20.268798828125
0,IV,The doctor is welding medicine to the old woman.,medicine,14.15625
0,IV,The doctor is welding medicine to the old woman.,to,2.591796875
0,IV,The doctor is welding medicine to the old woman.,the,1.7578125
0,IV,The doctor is welding medicine to the old woman.,old,10.4140625
0,IV,The doctor is welding medicine to the old woman.,woman.,8.94921875
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,12.7109375
0,IO,The doctor is giving fire to the old woman.,is,4.41796875
0,IO,The doctor is giving fire to the old woman.,giving,8.25
0,IO,The doctor is giving fire to the old woman.,fire,15.6875
0,IO,The doctor is giving fire to the old woman.,to,2.25390625
0,IO,The doctor is giving fire to the old woman.,the,1.3974609375
0,IO,The doctor is giving fire to the old woman.,old,8.703125
0,IO,The doctor is giving fire to the old woman.,woman.,8.2265625
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,13.5703125
1,PV,A person is giving bread to a toddler.,is,4.19140625
1,PV,A person is giving bread to a toddler.,giving,11.359375
1,PV,A person is giving bread to a toddler.,bread,15.1484375
1,PV,A person is giving bread to a toddler.,to,0.8115234375
1,PV,A person is giving bread to a toddler.,a,2.34375
1,PV,A person is giving bread to a toddler.,toddler.,15.578125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,21.6875
1,IV,A toddler is riding a  bread.,is,3.9453125
1,IV,A toddler is riding a  bread.,riding,13.4765625
1,IV,A toddler is riding a  bread.,a,1.578125
1,IV,A toddler is riding a  bread.,bread.,47.9609375
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,13.5703125
1,IO,A person is giving a building to a toddler.,is,4.19140625
1,IO,A person is giving a building to a toddler.,giving,11.359375
1,IO,A person is giving a building to a toddler.,a,3.021484375
1,IO,A person is giving a building to a toddler.,building,13.296875
1,IO,A person is giving a building to a toddler.,to,4.98046875
1,IO,A person is giving a building to a toddler.,a,1.8486328125
1,IO,A person is giving a building to a toddler.,toddler.,19.4453125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,12.984375
2,PV,A man is giving a gift to a child.,is,3.921875
2,PV,A man is giving a gift to a child.,giving,10.796875
2,PV,A man is giving a gift to a child.,a,2.3671875
2,PV,A man is giving a gift to a child.,gift,7.6875
2,PV,A man is giving a gift to a child.,to,1.08203125
2,PV,A man is giving a gift to a child.,a,1.78125
2,PV,A man is giving a gift to a child.,child.,7.4609375
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,12.984375
2,IV,A man is cooking a gift with a child.,is,3.921875
2,IV,A man is cooking a gift with a child.,cooking,14.203125
2,IV,A man is cooking a gift with a child.,a,2.884765625
2,IV,A man is cooking a gift with a child.,gift,11.8828125
2,IV,A man is cooking a gift with a child.,with,6.40234375
2,IV,A man is cooking a gift with a child.,a,1.916015625
2,IV,A man is cooking a gift with a child.,child.,11.6328125
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,12.984375
2,IO,A man is giving a bed to a child.,is,3.921875
2,IO,A man is giving a bed to a child.,giving,10.796875
2,IO,A man is giving a bed to a child.,a,2.3671875
2,IO,A man is giving a bed to a child.,bed,13.4140625
2,IO,A man is giving a bed to a child.,to,1.3076171875
2,IO,A man is giving a bed to a child.,a,1.216796875
2,IO,A man is giving a bed to a child.,child.,7.14453125
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,13.5703125
3,PV,A woman is giving food to other people.,is,4.125
3,PV,A woman is giving food to other people.,giving,9.375
3,PV,A woman is giving food to other people.,food,10.9140625
3,PV,A woman is giving food to other people.,to,0.450927734375
3,PV,A woman is giving food to other people.,other,9.46875
3,PV,A woman is giving food to other people.,people.,4.1025390625
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,13.5703125
3,IV,A woman is ironing the food.,is,4.125
3,IV,A woman is ironing the food.,ironing,21.666015625
3,IV,A woman is ironing the food.,the,6.04296875
3,IV,A woman is ironing the food.,food.,17.49609375
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,13.5703125
3,IO,A woman is giving stones to other people.,is,4.125
3,IO,A woman is giving stones to other people.,giving,9.375
3,IO,A woman is giving stones to other people.,stones,17.921875
3,IO,A woman is giving stones to other people.,to,0.90185546875
3,IO,A woman is giving stones to other people.,other,8.0
3,IO,A woman is giving stones to other people.,people.,5.251953125
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,13.5703125
4,PV,A person is giving money to another person.,is,4.19140625
4,PV,A person is giving money to another person.,giving,11.359375
4,PV,A person is giving money to another person.,money,6.46875
4,PV,A person is giving money to another person.,to,0.67626953125
4,PV,A person is giving money to another person.,another,4.44140625
4,PV,A person is giving money to another person.,person.,4.642578125
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,13.5703125
4,IV,A person is eating money.,is,4.19140625
4,IV,A person is eating money.,eating,12.671875
4,IV,A person is eating money.,money.,16.927734375
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,13.5703125
4,IO,A person is giving molten lava to another person.,is,4.19140625
4,IO,A person is giving molten lava to another person.,giving,11.359375
4,IO,A person is giving molten lava to another person.,molten,20.8740234375
4,IO,A person is giving molten lava to another person.,lava,6.265625
4,IO,A person is giving molten lava to another person.,to,2.208984375
4,IO,A person is giving molten lava to another person.,another,4.59765625
4,IO,A person is giving molten lava to another person.,person.,3.697265625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,13.5703125
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.19140625
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.125
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.314453125
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,13.75
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,2.794921875
5,PV,A person is putting a cellular telephone inside his pocket.,inside,6.921875
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.65234375
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,6.423828125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,13.5703125
5,IV,A person is watering a cellular telephone.,is,4.19140625
5,IV,A person is watering a cellular telephone.,watering,18.171875
5,IV,A person is watering a cellular telephone.,a,2.029296875
5,IV,A person is watering a cellular telephone.,cellular,17.09375
5,IV,A person is watering a cellular telephone.,telephone.,9.150390625
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,13.5703125
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.19140625
5,IO,A person is putting a gas cylinder inside his pocket.,putting,12.125
5,IO,A person is putting a gas cylinder inside his pocket.,a,3.314453125
5,IO,A person is putting a gas cylinder inside his pocket.,gas,10.34375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,6.515625
5,IO,A person is putting a gas cylinder inside his pocket.,inside,6.6484375
5,IO,A person is putting a gas cylinder inside his pocket.,his,4.23828125
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,9.66796875
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,12.984375
6,PV,A man is putting a bag inside a car.,is,3.921875
6,PV,A man is putting a bag inside a car.,putting,10.6875
6,PV,A man is putting a bag inside a car.,a,2.953125
6,PV,A man is putting a bag inside a car.,bag,9.109375
6,PV,A man is putting a bag inside a car.,inside,6.875
6,PV,A man is putting a bag inside a car.,a,2.25390625
6,PV,A man is putting a bag inside a car.,car.,7.0546875
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,12.984375
6,IV,A man is feeding a bag inside a car.,is,3.921875
6,IV,A man is feeding a bag inside a car.,feeding,15.2578125
6,IV,A man is feeding a bag inside a car.,a,2.546875
6,IV,A man is feeding a bag inside a car.,bag,11.71875
6,IV,A man is feeding a bag inside a car.,inside,11.8359375
6,IV,A man is feeding a bag inside a car.,a,0.94677734375
6,IV,A man is feeding a bag inside a car.,car.,8.271484375
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,12.984375
6,IO,A man is putting a car inside a car.,is,3.921875
6,IO,A man is putting a car inside a car.,putting,10.6875
6,IO,A man is putting a car inside a car.,a,2.953125
6,IO,A man is putting a car inside a car.,car,8.046875
6,IO,A man is putting a car inside a car.,inside,9.734375
6,IO,A man is putting a car inside a car.,a,1.9384765625
6,IO,A man is putting a car inside a car.,car.,8.16015625
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,13.5703125
7,PV,A woman is  putting a dish inside an oven.,is,4.125
7,PV,A woman is  putting a dish inside an oven.,putting,26.265625
7,PV,A woman is  putting a dish inside an oven.,a,3.06640625
7,PV,A woman is  putting a dish inside an oven.,dish,10.640625
7,PV,A woman is  putting a dish inside an oven.,inside,9.984375
7,PV,A woman is  putting a dish inside an oven.,an,5.43359375
7,PV,A woman is  putting a dish inside an oven.,oven.,5.81640625
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,13.5703125
7,IV,A woman is entering an oven.,is,4.125
7,IV,A woman is entering an oven.,entering,10.6171875
7,IV,A woman is entering an oven.,an,4.734375
7,IV,A woman is entering an oven.,oven.,15.62109375
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,13.5703125
7,IO,A woman is  putting a door inside an oven.,is,4.125
7,IO,A woman is  putting a door inside an oven.,putting,26.265625
7,IO,A woman is  putting a door inside an oven.,a,3.06640625
7,IO,A woman is  putting a door inside an oven.,door,11.703125
7,IO,A woman is  putting a door inside an oven.,inside,8.1171875
7,IO,A woman is  putting a door inside an oven.,an,5.546875
7,IO,A woman is  putting a door inside an oven.,oven.,9.94140625
8,PV,A man is putting money in a piggy bank.,A,0.0
8,PV,A man is putting money in a piggy bank.,man,12.984375
8,PV,A man is putting money in a piggy bank.,is,3.921875
8,PV,A man is putting money in a piggy bank.,putting,10.6875
8,PV,A man is putting money in a piggy bank.,money,6.60546875
8,PV,A man is putting money in a piggy bank.,in,2.208984375
8,PV,A man is putting money in a piggy bank.,a,2.412109375
8,PV,A man is putting money in a piggy bank.,piggy,11.8349609375
8,PV,A man is putting money in a piggy bank.,bank.,3.42626953125
8,IV,A man is pouring money in a piggy bank.,A,0.0
8,IV,A man is pouring money in a piggy bank.,man,12.984375
8,IV,A man is pouring money in a piggy bank.,is,3.921875
8,IV,A man is pouring money in a piggy bank.,pouring,13.865386962890625
8,IV,A man is pouring money in a piggy bank.,money,5.99609375
8,IV,A man is pouring money in a piggy bank.,in,4.01171875
8,IV,A man is pouring money in a piggy bank.,a,4.21484375
8,IV,A man is pouring money in a piggy bank.,piggy,13.228515625
8,IV,A man is pouring money in a piggy bank.,bank.,3.42608642578125
8,IO,A man is putting book in a piggy bank.,A,0.0
8,IO,A man is putting book in a piggy bank.,man,12.984375
8,IO,A man is putting book in a piggy bank.,is,3.921875
8,IO,A man is putting book in a piggy bank.,putting,10.6875
8,IO,A man is putting book in a piggy bank.,book,15.484375
8,IO,A man is putting book in a piggy bank.,in,5.75
8,IO,A man is putting book in a piggy bank.,a,4.171875
8,IO,A man is putting book in a piggy bank.,piggy,15.05859375
8,IO,A man is putting book in a piggy bank.,bank.,3.200439453125
9,PV,A person is dropping a coin in a glass jar.,A,0.0
9,PV,A person is dropping a coin in a glass jar.,person,13.5703125
9,PV,A person is dropping a coin in a glass jar.,is,4.19140625
9,PV,A person is dropping a coin in a glass jar.,dropping,15.53125
9,PV,A person is dropping a coin in a glass jar.,a,3.3359375
9,PV,A person is dropping a coin in a glass jar.,coin,5.65625
9,PV,A person is dropping a coin in a glass jar.,in,3.201171875
9,PV,A person is dropping a coin in a glass jar.,a,0.99169921875
9,PV,A person is dropping a coin in a glass jar.,glass,5.90625
9,PV,A person is dropping a coin in a glass jar.,jar.,4.5986328125
9,IV,A person is growing coins in a glass jar.,A,0.0
9,IV,A person is growing coins in a glass jar.,person,13.5703125
9,IV,A person is growing coins in a glass jar.,is,4.19140625
9,IV,A person is growing coins in a glass jar.,growing,14.0625
9,IV,A person is growing coins in a glass jar.,coins,19.40625
9,IV,A person is growing coins in a glass jar.,in,3.291015625
9,IV,A person is growing coins in a glass jar.,a,2.05078125
9,IV,A person is growing coins in a glass jar.,glass,8.5
9,IV,A person is growing coins in a glass jar.,jar.,3.9677734375
9,IO,A person is dropping a large stone in a glass jar.,A,0.0
9,IO,A person is dropping a large stone in a glass jar.,person,13.5703125
9,IO,A person is dropping a large stone in a glass jar.,is,4.19140625
9,IO,A person is dropping a large stone in a glass jar.,dropping,15.53125
9,IO,A person is dropping a large stone in a glass jar.,a,3.3359375
9,IO,A person is dropping a large stone in a glass jar.,large,6.2890625
9,IO,A person is dropping a large stone in a glass jar.,stone,4.8671875
9,IO,A person is dropping a large stone in a glass jar.,in,3.65234375
9,IO,A person is dropping a large stone in a glass jar.,a,1.375
9,IO,A person is dropping a large stone in a glass jar.,glass,7.28125
9,IO,A person is dropping a large stone in a glass jar.,jar.,4.1923828125
10,PV,A pitcher is throwing a ball to a catcher.,A,0.0
10,PV,A pitcher is throwing a ball to a catcher.,pitcher,23.1875
10,PV,A pitcher is throwing a ball to a catcher.,is,3.921875
10,PV,A pitcher is throwing a ball to a catcher.,throwing,11.09375
10,PV,A pitcher is throwing a ball to a catcher.,a,1.4873046875
10,PV,A pitcher is throwing a ball to a catcher.,ball,4.5078125
10,PV,A pitcher is throwing a ball to a catcher.,to,3.24609375
10,PV,A pitcher is throwing a ball to a catcher.,a,1.3076171875
10,PV,A pitcher is throwing a ball to a catcher.,catcher.,6.244293212890625
10,IV,A pitcher is stretching a ball.,A,0.0
10,IV,A pitcher is stretching a ball.,pitcher,23.1875
10,IV,A pitcher is stretching a ball.,is,3.921875
10,IV,A pitcher is stretching a ball.,stretching,17.296875
10,IV,A pitcher is stretching a ball.,a,4.05859375
10,IV,A pitcher is stretching a ball.,ball.,10.37109375
10,IO,A pitcher is throwing a anvil to a catcher.,A,0.0
10,IO,A pitcher is throwing a anvil to a catcher.,pitcher,23.1875
10,IO,A pitcher is throwing a anvil to a catcher.,is,3.921875
10,IO,A pitcher is throwing a anvil to a catcher.,throwing,11.09375
10,IO,A pitcher is throwing a anvil to a catcher.,a,1.4873046875
10,IO,A pitcher is throwing a anvil to a catcher.,anvil,32.125
10,IO,A pitcher is throwing a anvil to a catcher.,to,4.57421875
10,IO,A pitcher is throwing a anvil to a catcher.,a,1.6904296875
10,IO,A pitcher is throwing a anvil to a catcher.,catcher.,11.74151611328125
11,PV,A dart player is throwing  a dart at a target.,A,0.0
11,PV,A dart player is throwing  a dart at a target.,dart,22.2734375
11,PV,A dart player is throwing  a dart at a target.,player,7.4609375
11,PV,A dart player is throwing  a dart at a target.,is,3.607421875
11,PV,A dart player is throwing  a dart at a target.,throwing,10.9296875
11,PV,A dart player is throwing  a dart at a target.,a,14.96875
11,PV,A dart player is throwing  a dart at a target.,dart,0.495849609375
11,PV,A dart player is throwing  a dart at a target.,at,2.322265625
11,PV,A dart player is throwing  a dart at a target.,a,1.037109375
11,PV,A dart player is throwing  a dart at a target.,target.,4.01171875
11,IV,A dart player is eating  a dart.,A,0.0
11,IV,A dart player is eating  a dart.,dart,22.2734375
11,IV,A dart player is eating  a dart.,player,7.4609375
11,IV,A dart player is eating  a dart.,is,3.607421875
11,IV,A dart player is eating  a dart.,eating,15.171875
11,IV,A dart player is eating  a dart.,a,16.61328125
11,IV,A dart player is eating  a dart.,dart.,8.002105712890625
11,IO,A dart player is throwing a dumbell at a target.,A,0.0
11,IO,A dart player is throwing a dumbell at a target.,dart,22.2734375
11,IO,A dart player is throwing a dumbell at a target.,player,7.4609375
11,IO,A dart player is throwing a dumbell at a target.,is,3.607421875
11,IO,A dart player is throwing a dumbell at a target.,throwing,10.9296875
11,IO,A dart player is throwing a dumbell at a target.,a,0.541015625
11,IO,A dart player is throwing a dumbell at a target.,dumbell,21.796875
11,IO,A dart player is throwing a dumbell at a target.,at,2.43359375
11,IO,A dart player is throwing a dumbell at a target.,a,0.99169921875
11,IO,A dart player is throwing a dumbell at a target.,target.,3.83203125
