triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,11.75
0,PV,The doctor is giving medicine to the old woman.,is,4.5
0,PV,The doctor is giving medicine to the old woman.,giving,7.84375
0,PV,The doctor is giving medicine to the old woman.,medicine,5.21875
0,PV,The doctor is giving medicine to the old woman.,to,0.72265625
0,PV,The doctor is giving medicine to the old woman.,the,1.53125
0,PV,The doctor is giving medicine to the old woman.,old,5.5
0,PV,The doctor is giving medicine to the old woman.,woman.,5.953125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,11.75
0,IV,The doctor is welding medicine to the old woman.,is,4.5
0,IV,The doctor is welding medicine to the old woman.,welding,20.0
0,IV,The doctor is welding medicine to the old woman.,medicine,9.9375
0,IV,The doctor is welding medicine to the old woman.,to,3.0625
0,IV,The doctor is welding medicine to the old woman.,the,2.4375
0,IV,The doctor is welding medicine to the old woman.,old,9.125
0,IV,The doctor is welding medicine to the old woman.,woman.,8.03125
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,11.75
0,IO,The doctor is giving fire to the old woman.,is,4.5
0,IO,The doctor is giving fire to the old woman.,giving,7.84375
0,IO,The doctor is giving fire to the old woman.,fire,15.875
0,IO,The doctor is giving fire to the old woman.,to,4.6875
0,IO,The doctor is giving fire to the old woman.,the,1.4453125
0,IO,The doctor is giving fire to the old woman.,old,6.9375
0,IO,The doctor is giving fire to the old woman.,woman.,6.953125
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,7.5625
1,PV,A person is giving bread to a toddler.,is,4.3125
1,PV,A person is giving bread to a toddler.,giving,10.25
1,PV,A person is giving bread to a toddler.,bread,14.8125
1,PV,A person is giving bread to a toddler.,to,0.361328125
1,PV,A person is giving bread to a toddler.,a,3.515625
1,PV,A person is giving bread to a toddler.,toddler.,16.953125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,14.8125
1,IV,A toddler is riding a  bread.,is,3.34375
1,IV,A toddler is riding a  bread.,riding,9.375
1,IV,A toddler is riding a  bread.,a,1.4453125
1,IV,A toddler is riding a  bread.,bread.,44.0625
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,7.5625
1,IO,A person is giving a building to a toddler.,is,4.3125
1,IO,A person is giving a building to a toddler.,giving,10.25
1,IO,A person is giving a building to a toddler.,a,1.53125
1,IO,A person is giving a building to a toddler.,building,17.875
1,IO,A person is giving a building to a toddler.,to,5.125
1,IO,A person is giving a building to a toddler.,a,1.4453125
1,IO,A person is giving a building to a toddler.,toddler.,18.28125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,6.40625
2,PV,A man is giving a gift to a child.,is,3.0625
2,PV,A man is giving a gift to a child.,giving,9.625
2,PV,A man is giving a gift to a child.,a,0.90234375
2,PV,A man is giving a gift to a child.,gift,8.375
2,PV,A man is giving a gift to a child.,to,0.90234375
2,PV,A man is giving a gift to a child.,a,2.15625
2,PV,A man is giving a gift to a child.,child.,5.390625
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,6.40625
2,IV,A man is cooking a gift with a child.,is,3.0625
2,IV,A man is cooking a gift with a child.,cooking,15.3125
2,IV,A man is cooking a gift with a child.,a,2.15625
2,IV,A man is cooking a gift with a child.,gift,14.625
2,IV,A man is cooking a gift with a child.,with,8.0
2,IV,A man is cooking a gift with a child.,a,2.34375
2,IV,A man is cooking a gift with a child.,child.,14.5
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,6.40625
2,IO,A man is giving a bed to a child.,is,3.0625
2,IO,A man is giving a bed to a child.,giving,9.625
2,IO,A man is giving a bed to a child.,a,0.90234375
2,IO,A man is giving a bed to a child.,bed,22.0
2,IO,A man is giving a bed to a child.,to,0.72265625
2,IO,A man is giving a bed to a child.,a,1.171875
2,IO,A man is giving a bed to a child.,child.,5.1484375
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,8.1875
3,PV,A woman is giving food to other people.,is,2.796875
3,PV,A woman is giving food to other people.,giving,6.9375
3,PV,A woman is giving food to other people.,food,12.25
3,PV,A woman is giving food to other people.,to,0.1806640625
3,PV,A woman is giving food to other people.,other,10.25
3,PV,A woman is giving food to other people.,people.,1.98828125
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,8.1875
3,IV,A woman is ironing the food.,is,2.796875
3,IV,A woman is ironing the food.,ironing,11.875
3,IV,A woman is ironing the food.,the,8.5
3,IV,A woman is ironing the food.,food.,19.53125
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,8.1875
3,IO,A woman is giving stones to other people.,is,2.796875
3,IO,A woman is giving stones to other people.,giving,6.9375
3,IO,A woman is giving stones to other people.,stones,24.875
3,IO,A woman is giving stones to other people.,to,0.361328125
3,IO,A woman is giving stones to other people.,other,10.9375
3,IO,A woman is giving stones to other people.,people.,4.234375
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,7.5625
4,PV,A person is giving money to another person.,is,4.3125
4,PV,A person is giving money to another person.,giving,10.25
4,PV,A person is giving money to another person.,money,8.5
4,PV,A person is giving money to another person.,to,0.1806640625
4,PV,A person is giving money to another person.,another,11.0
4,PV,A person is giving money to another person.,person.,2.70703125
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,7.5625
4,IV,A person is eating money.,is,4.3125
4,IV,A person is eating money.,eating,12.5625
4,IV,A person is eating money.,money.,15.8671875
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,7.5625
4,IO,A person is giving molten lava to another person.,is,4.3125
4,IO,A person is giving molten lava to another person.,giving,10.25
4,IO,A person is giving molten lava to another person.,molten,24.140625
4,IO,A person is giving molten lava to another person.,lava,15.625
4,IO,A person is giving molten lava to another person.,to,0.72265625
4,IO,A person is giving molten lava to another person.,another,8.625
4,IO,A person is giving molten lava to another person.,person.,1.4453125
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,7.5625
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.3125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,11.0
5,PV,A person is putting a cellular telephone inside his pocket.,a,2.25
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,12.625
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,3.515625
5,PV,A person is putting a cellular telephone inside his pocket.,inside,6.40625
5,PV,A person is putting a cellular telephone inside his pocket.,his,2.15625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,3.96875
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,7.5625
5,IV,A person is watering a cellular telephone.,is,4.3125
5,IV,A person is watering a cellular telephone.,watering,19.125
5,IV,A person is watering a cellular telephone.,a,3.609375
5,IV,A person is watering a cellular telephone.,cellular,26.0
5,IV,A person is watering a cellular telephone.,telephone.,11.734375
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,7.5625
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.3125
5,IO,A person is putting a gas cylinder inside his pocket.,putting,11.0
5,IO,A person is putting a gas cylinder inside his pocket.,a,2.25
5,IO,A person is putting a gas cylinder inside his pocket.,gas,13.375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,6.125
5,IO,A person is putting a gas cylinder inside his pocket.,inside,5.125
5,IO,A person is putting a gas cylinder inside his pocket.,his,1.8046875
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,9.46484375
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,6.40625
6,PV,A man is putting a bag inside a car.,is,3.0625
6,PV,A man is putting a bag inside a car.,putting,11.8125
