triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,13.5
0,PV,The doctor is giving medicine to the old woman.,is,5.015625
0,PV,The doctor is giving medicine to the old woman.,giving,8.4296875
0,PV,The doctor is giving medicine to the old woman.,medicine,10.8203125
0,PV,The doctor is giving medicine to the old woman.,to,1.216796875
0,PV,The doctor is giving medicine to the old woman.,the,1.9052734375
0,PV,The doctor is giving medicine to the old woman.,old,7.8203125
0,PV,The doctor is giving medicine to the old woman.,woman.,5.216796875
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,13.5
0,IV,The doctor is welding medicine to the old woman.,is,5.015625
0,IV,The doctor is welding medicine to the old woman.,welding,20.015625
0,IV,The doctor is welding medicine to the old woman.,medicine,12.3515625
0,IV,The doctor is welding medicine to the old woman.,to,3.8203125
0,IV,The doctor is welding medicine to the old woman.,the,1.9609375
0,IV,The doctor is welding medicine to the old woman.,old,8.1953125
0,IV,The doctor is welding medicine to the old woman.,woman.,9.68359375
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,13.5
0,IO,The doctor is giving fire to the old woman.,is,5.015625
0,IO,The doctor is giving fire to the old woman.,giving,8.4296875
0,IO,The doctor is giving fire to the old woman.,fire,16.484375
0,IO,The doctor is giving fire to the old woman.,to,1.6572265625
0,IO,The doctor is giving fire to the old woman.,the,1.2060546875
0,IO,The doctor is giving fire to the old woman.,old,8.1015625
0,IO,The doctor is giving fire to the old woman.,woman.,7.248046875
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,10.3515625
1,PV,A person is giving bread to a toddler.,is,4.01171875
1,PV,A person is giving bread to a toddler.,giving,13.515625
1,PV,A person is giving bread to a toddler.,bread,12.0
1,PV,A person is giving bread to a toddler.,to,0.495849609375
1,PV,A person is giving bread to a toddler.,a,1.126953125
1,PV,A person is giving bread to a toddler.,toddler.,14.171875
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,19.90625
1,IV,A toddler is riding a  bread.,is,3.697265625
1,IV,A toddler is riding a  bread.,riding,8.7890625
1,IV,A toddler is riding a  bread.,a,1.431640625
1,IV,A toddler is riding a  bread.,bread.,28.4921875
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,10.3515625
1,IO,A person is giving a building to a toddler.,is,4.01171875
1,IO,A person is giving a building to a toddler.,giving,13.515625
1,IO,A person is giving a building to a toddler.,a,2.615234375
1,IO,A person is giving a building to a toddler.,building,11.2734375
1,IO,A person is giving a building to a toddler.,to,2.73828125
1,IO,A person is giving a building to a toddler.,a,1.9052734375
1,IO,A person is giving a building to a toddler.,toddler.,20.068359375
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,10.421875
2,PV,A man is giving a gift to a child.,is,4.53125
2,PV,A man is giving a gift to a child.,giving,11.8671875
2,PV,A man is giving a gift to a child.,a,2.8515625
2,PV,A man is giving a gift to a child.,gift,7.80078125
2,PV,A man is giving a gift to a child.,to,1.375
2,PV,A man is giving a gift to a child.,a,1.78125
2,PV,A man is giving a gift to a child.,child.,6.626953125
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,10.421875
2,IV,A man is cooking a gift with a child.,is,4.53125
2,IV,A man is cooking a gift with a child.,cooking,14.046875
2,IV,A man is cooking a gift with a child.,a,2.58203125
2,IV,A man is cooking a gift with a child.,gift,13.15625
2,IV,A man is cooking a gift with a child.,with,7.125
2,IV,A man is cooking a gift with a child.,a,2.17578125
2,IV,A man is cooking a gift with a child.,child.,11.57421875
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,10.421875
2,IO,A man is giving a bed to a child.,is,4.53125
2,IO,A man is giving a bed to a child.,giving,11.8671875
2,IO,A man is giving a bed to a child.,a,2.8515625
2,IO,A man is giving a bed to a child.,bed,11.7890625
2,IO,A man is giving a bed to a child.,to,1.138671875
2,IO,A man is giving a bed to a child.,a,0.74365234375
2,IO,A man is giving a bed to a child.,child.,7.494140625
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,11.390625
3,PV,A woman is giving food to other people.,is,4.36328125
3,PV,A woman is giving food to other people.,giving,9.625
3,PV,A woman is giving food to other people.,food,10.8125
3,PV,A woman is giving food to other people.,to,0.40576171875
3,PV,A woman is giving food to other people.,other,7.77734375
3,PV,A woman is giving food to other people.,people.,3.83203125
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,11.390625
3,IV,A woman is ironing the food.,is,4.36328125
3,IV,A woman is ironing the food.,ironing,17.8671875
3,IV,A woman is ironing the food.,the,4.46484375
3,IV,A woman is ironing the food.,food.,15.2578125
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,11.390625
3,IO,A woman is giving stones to other people.,is,4.36328125
3,IO,A woman is giving stones to other people.,giving,9.625
3,IO,A woman is giving stones to other people.,stones,19.3125
3,IO,A woman is giving stones to other people.,to,0.74365234375
3,IO,A woman is giving stones to other people.,other,9.2109375
3,IO,A woman is giving stones to other people.,people.,5.984375
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,10.3515625
4,PV,A person is giving money to another person.,is,4.01171875
4,PV,A person is giving money to another person.,giving,13.515625
4,PV,A person is giving money to another person.,money,5.296875
4,PV,A person is giving money to another person.,to,0.541015625
4,PV,A person is giving money to another person.,another,4.96875
4,PV,A person is giving money to another person.,person.,4.8134765625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,10.3515625
4,IV,A person is eating money.,is,4.01171875
4,IV,A person is eating money.,eating,16.84375
4,IV,A person is eating money.,money.,15.990234375
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,10.3515625
4,IO,A person is giving molten lava to another person.,is,4.01171875
4,IO,A person is giving molten lava to another person.,giving,13.515625
4,IO,A person is giving molten lava to another person.,molten,19.390625
4,IO,A person is giving molten lava to another person.,lava,3.921875
4,IO,A person is giving molten lava to another person.,to,0.890625
4,IO,A person is giving molten lava to another person.,another,4.0703125
4,IO,A person is giving molten lava to another person.,person.,3.24560546875
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,10.3515625
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.01171875
5,PV,A person is putting a cellular telephone inside his pocket.,putting,15.2421875
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.607421875
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,17.0625
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,1.76953125
5,PV,A person is putting a cellular telephone inside his pocket.,inside,7.96875
5,PV,A person is putting a cellular telephone inside his pocket.,his,2.66015625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,6.1875
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,10.3515625
5,IV,A person is watering a cellular telephone.,is,4.01171875
5,IV,A person is watering a cellular telephone.,watering,20.123046875
5,IV,A person is watering a cellular telephone.,a,2.43359375
5,IV,A person is watering a cellular telephone.,cellular,17.9375
5,IV,A person is watering a cellular telephone.,telephone.,5.4443359375
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,10.3515625
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.01171875
5,IO,A person is putting a gas cylinder inside his pocket.,putting,15.2421875
5,IO,A person is putting a gas cylinder inside his pocket.,a,3.607421875
5,IO,A person is putting a gas cylinder inside his pocket.,gas,10.8828125
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,7.90234375
5,IO,A person is putting a gas cylinder inside his pocket.,inside,5.6796875
5,IO,A person is putting a gas cylinder inside his pocket.,his,4.33984375
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,7.923828125
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,10.421875
6,PV,A man is putting a bag inside a car.,is,4.53125
6,PV,A man is putting a bag inside a car.,putting,11.3515625
6,PV,A man is putting a bag inside a car.,a,3.1328125
6,PV,A man is putting a bag inside a car.,bag,8.9609375
6,PV,A man is putting a bag inside a car.,inside,9.3515625
6,PV,A man is putting a bag inside a car.,a,1.4541015625
6,PV,A man is putting a bag inside a car.,car.,7.49609375
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,10.421875
6,IV,A man is feeding a bag inside a car.,is,4.53125
6,IV,A man is feeding a bag inside a car.,feeding,14.0546875
6,IV,A man is feeding a bag inside a car.,a,1.9951171875
6,IV,A man is feeding a bag inside a car.,bag,10.109375
6,IV,A man is feeding a bag inside a car.,inside,12.8046875
6,IV,A man is feeding a bag inside a car.,a,1.08203125
6,IV,A man is feeding a bag inside a car.,car.,6.109375
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,10.421875
6,IO,A man is putting a car inside a car.,is,4.53125
6,IO,A man is putting a car inside a car.,putting,11.3515625
6,IO,A man is putting a car inside a car.,a,3.1328125
6,IO,A man is putting a car inside a car.,car,8.96875
6,IO,A man is putting a car inside a car.,inside,8.6015625
6,IO,A man is putting a car inside a car.,a,0.833984375
6,IO,A man is putting a car inside a car.,car.,6.48046875
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,11.390625
7,PV,A woman is  putting a dish inside an oven.,is,4.36328125
7,PV,A woman is  putting a dish inside an oven.,putting,27.828125
7,PV,A woman is  putting a dish inside an oven.,a,3.15625
7,PV,A woman is  putting a dish inside an oven.,dish,10.265625
7,PV,A woman is  putting a dish inside an oven.,inside,8.890625
7,PV,A woman is  putting a dish inside an oven.,an,5.34375
7,PV,A woman is  putting a dish inside an oven.,oven.,3.55126953125
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,11.390625
7,IV,A woman is entering an oven.,is,4.36328125
7,IV,A woman is entering an oven.,entering,11.2109375
7,IV,A woman is entering an oven.,an,5.94921875
7,IV,A woman is entering an oven.,oven.,13.33203125
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,11.390625
7,IO,A woman is  putting a door inside an oven.,is,4.36328125
7,IO,A woman is  putting a door inside an oven.,putting,27.828125
7,IO,A woman is  putting a door inside an oven.,a,3.15625
7,IO,A woman is  putting a door inside an oven.,door,11.7578125
7,IO,A woman is  putting a door inside an oven.,inside,8.1640625
7,IO,A woman is  putting a door inside an oven.,an,5.53515625
7,IO,A woman is  putting a door inside an oven.,oven.,6.130859375
8,PV,A man is putting money in a piggy bank.,A,0.0
8,PV,A man is putting money in a piggy bank.,man,10.421875
8,PV,A man is putting money in a piggy bank.,is,4.53125
8,PV,A man is putting money in a piggy bank.,putting,11.3515625
8,PV,A man is putting money in a piggy bank.,money,7.609375
8,PV,A man is putting money in a piggy bank.,in,1.8486328125
8,PV,A man is putting money in a piggy bank.,a,1.97265625
8,PV,A man is putting money in a piggy bank.,piggy,7.8203125
8,PV,A man is putting money in a piggy bank.,bank.,3.3482666015625
8,IV,A man is pouring money in a piggy bank.,A,0.0
8,IV,A man is pouring money in a piggy bank.,man,10.421875
8,IV,A man is pouring money in a piggy bank.,is,4.53125
8,IV,A man is pouring money in a piggy bank.,pouring,14.8359375
8,IV,A man is pouring money in a piggy bank.,money,7.24609375
8,IV,A man is pouring money in a piggy bank.,in,5.23046875
8,IV,A man is pouring money in a piggy bank.,a,3.212890625
8,IV,A man is pouring money in a piggy bank.,piggy,11.677734375
8,IV,A man is pouring money in a piggy bank.,bank.,3.1783447265625
8,IO,A man is putting book in a piggy bank.,A,0.0
8,IO,A man is putting book in a piggy bank.,man,10.421875
8,IO,A man is putting book in a piggy bank.,is,4.53125
8,IO,A man is putting book in a piggy bank.,putting,11.3515625
8,IO,A man is putting book in a piggy bank.,book,16.96875
8,IO,A man is putting book in a piggy bank.,in,4.54296875
8,IO,A man is putting book in a piggy bank.,a,3.966796875
8,IO,A man is putting book in a piggy bank.,piggy,13.46484375
8,IO,A man is putting book in a piggy bank.,bank.,3.28076171875
9,PV,A person is dropping a coin in a glass jar.,A,0.0
9,PV,A person is dropping a coin in a glass jar.,person,10.3515625
9,PV,A person is dropping a coin in a glass jar.,is,4.01171875
9,PV,A person is dropping a coin in a glass jar.,dropping,21.296875
9,PV,A person is dropping a coin in a glass jar.,a,4.0
9,PV,A person is dropping a coin in a glass jar.,coin,7.96875
9,PV,A person is dropping a coin in a glass jar.,in,2.25390625
9,PV,A person is dropping a coin in a glass jar.,a,0.96923828125
9,PV,A person is dropping a coin in a glass jar.,glass,5.71484375
9,PV,A person is dropping a coin in a glass jar.,jar.,6.52734375
9,IV,A person is growing coins in a glass jar.,A,0.0
9,IV,A person is growing coins in a glass jar.,person,10.3515625
9,IV,A person is growing coins in a glass jar.,is,4.01171875
9,IV,A person is growing coins in a glass jar.,growing,16.546875
9,IV,A person is growing coins in a glass jar.,coins,17.96875
9,IV,A person is growing coins in a glass jar.,in,2.974609375
9,IV,A person is growing coins in a glass jar.,a,1.375
9,IV,A person is growing coins in a glass jar.,glass,10.2734375
9,IV,A person is growing coins in a glass jar.,jar.,3.8203125
9,IO,A person is dropping a large stone in a glass jar.,A,0.0
9,IO,A person is dropping a large stone in a glass jar.,person,10.3515625
9,IO,A person is dropping a large stone in a glass jar.,is,4.01171875
9,IO,A person is dropping a large stone in a glass jar.,dropping,21.296875
9,IO,A person is dropping a large stone in a glass jar.,a,4.0
9,IO,A person is dropping a large stone in a glass jar.,large,7.59765625
9,IO,A person is dropping a large stone in a glass jar.,stone,5.91796875
9,IO,A person is dropping a large stone in a glass jar.,in,3.5390625
9,IO,A person is dropping a large stone in a glass jar.,a,1.2626953125
9,IO,A person is dropping a large stone in a glass jar.,glass,7.3828125
9,IO,A person is dropping a large stone in a glass jar.,jar.,8.419921875
10,PV,A pitcher is throwing a ball to a catcher.,A,0.0
10,PV,A pitcher is throwing a ball to a catcher.,pitcher,17.734375
10,PV,A pitcher is throwing a ball to a catcher.,is,4.82421875
10,PV,A pitcher is throwing a ball to a catcher.,throwing,6.5390625
10,PV,A pitcher is throwing a ball to a catcher.,a,1.712890625
10,PV,A pitcher is throwing a ball to a catcher.,ball,3.099609375
10,PV,A pitcher is throwing a ball to a catcher.,to,3.404296875
10,PV,A pitcher is throwing a ball to a catcher.,a,1.521484375
