CONDITION,PV,IV,IO,PV_verb,PV_object,IV_verb,IO_object
1,The doctor is giving medicine to the old woman.,The doctor is welding medicine to the old woman.,The doctor is giving fire to the old woman.,giving,medicine,Welding,Fire
2,A person is giving bread to a toddler.,A toddler is riding a  bread.,A person is giving a building to a toddler.,giving,bread,Riding,Building
3,A man is giving a gift to a child.,A man is cooking a gift with a child.,A man is giving a bed to a child.,giving,gift,cooking,Bed
4,A woman is giving food to other people.,A woman is ironing the food.,A woman is giving stones to other people.,giving,food,Ironing,Stones
5,A person is giving money to another person.,A person is eating money.,A person is giving molten lava to another person.,giving,money,Eating,Molten lava
6,A person is putting a cellular telephone inside his pocket.,A person is watering a cellular telephone.,A person is putting a gas cylinder inside his pocket.,putting,cellular telephone,watering,Gas cylinder
7,A man is putting a bag inside a car.,A man is feeding a bag inside a car.,A man is putting a car inside a car.,putting,bag,Feeding,Car
8,A woman is  putting a dish inside an oven.,A woman is entering an oven.,A woman is  putting a door inside an oven.,putting,dish,Entering,Door
9,A man is putting money in a piggy bank.,A man is pouring money in a piggy bank.,A man is putting book in a piggy bank.,putting,money,Pouring,Book
10,A person is dropping a coin in a glass jar.,A person is growing coins in a glass jar.,A person is dropping a large stone in a glass jar.,dropping,coin,Growing,Large stone
11,A pitcher is throwing a ball to a catcher.,A pitcher is stretching a ball.,A pitcher is throwing a anvil to a catcher.,throwing,ball,Stretching ,Anvil
12,A dart player is throwing  a dart at a target.,A dart player is eating  a dart.,A dart player is throwing a dumbell at a target.,throwing,dart,Eating,Dumbell
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
