triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,14.3125
0,PV,is,4.875
0,PV,giving,6.125
0,PV,medicine,6.84375
0,PV,to,0.72265625
0,PV,the,1.4453125
0,PV,old,6.84375
0,PV,woman.,5.953125
0,IV,The,0.0
0,IV,doctor,14.3125
0,IV,is,4.875
0,IV,welding,16.625
0,IV,medicine,11.4375
0,IV,to,2.703125
0,IV,the,1.8046875
0,IV,old,7.125
0,IV,woman.,9.015625
0,IO,The,0.0
0,IO,doctor,14.3125
0,IO,is,4.875
0,IO,giving,6.125
0,IO,fire,16.375
0,IO,to,4.3125
0,IO,the,1.265625
0,IO,old,7.75
0,IO,woman.,5.953125
1,PV,A,0.0
1,PV,person,7.65625
1,PV,is,3.609375
1,PV,giving,11.0
1,PV,bread,11.0625
1,PV,to,0.361328125
1,PV,a,1.265625
1,PV,toddler.,12.015625
1,IV,A,0.0
1,IV,toddler,17.125
1,IV,is,2.53125
1,IV,riding,7.03125
1,IV,a,0.72265625
1,IV,bread.,43.40625
1,IO,A,0.0
1,IO,person,7.65625
1,IO,is,3.609375
1,IO,giving,11.0
1,IO,a,0.90234375
1,IO,building,15.625
1,IO,to,3.421875
1,IO,a,1.625
1,IO,toddler.,19.8203125
2,PV,A,0.0
2,PV,man,7.03125
2,PV,is,3.421875
2,PV,giving,14.1875
2,PV,a,0.72265625
2,PV,gift,7.03125
2,PV,to,0.5390625
2,PV,a,1.625
2,PV,child.,4.32421875
2,IV,A,0.0
2,IV,man,7.03125
2,IV,is,3.421875
2,IV,cooking,14.6875
2,IV,a,3.96875
2,IV,gift,13.4375
2,IV,with,6.6875
2,IV,a,3.421875
2,IV,child.,13.15625
2,IO,A,0.0
2,IO,man,7.03125
2,IO,is,3.421875
2,IO,giving,14.1875
2,IO,a,0.72265625
2,IO,bed,13.0
2,IO,to,1.984375
2,IO,a,1.265625
2,IO,child.,6.140625
3,PV,A,0.0
3,PV,woman,9.4375
3,PV,is,2.890625
3,PV,giving,10.8125
3,PV,food,11.375
3,PV,to,0.361328125
3,PV,other,9.5625
3,PV,people.,4.875
3,IV,A,0.0
3,IV,woman,9.4375
3,IV,is,2.890625
3,IV,ironing,16.0
3,IV,the,7.40625
3,IV,food.,20.28125
3,IO,A,0.0
3,IO,woman,9.4375
3,IO,is,2.890625
3,IO,giving,10.8125
3,IO,stones,17.5
3,IO,to,0.5390625
3,IO,other,7.21875
3,IO,people.,4.6875
4,PV,A,0.0
4,PV,person,7.65625
4,PV,is,3.609375
4,PV,giving,11.0
4,PV,money,5.9375
4,PV,to,0.1806640625
4,PV,another,3.96875
4,PV,person.,2.1640625
4,IV,A,0.0
4,IV,person,7.65625
4,IV,is,3.609375
4,IV,eating,7.9375
4,IV,money.,14.953125
4,IO,A,0.0
4,IO,person,7.65625
4,IO,is,3.609375
4,IO,giving,11.0
4,IO,molten,20.25
4,IO,lava,8.3125
4,IO,to,1.265625
4,IO,another,3.96875
4,IO,person.,2.52734375
5,PV,A,0.0
5,PV,person,7.65625
5,PV,is,3.609375
5,PV,putting,10.625
5,PV,a,3.25
5,PV,cellular,15.4375
5,PV,telephone,5.21875
5,PV,inside,11.0
5,PV,his,4.15625
5,PV,pocket.,3.0625
5,IV,A,0.0
5,IV,person,7.65625
5,IV,is,3.609375
5,IV,watering,14.0625
5,IV,a,1.8046875
5,IV,cellular,24.5
5,IV,telephone.,9.75
5,IO,A,0.0
5,IO,person,7.65625
5,IO,is,3.609375
5,IO,putting,10.625
5,IO,a,3.25
5,IO,gas,10.375
5,IO,cylinder,5.0625
5,IO,inside,5.9375
5,IO,his,4.15625
5,IO,pocket.,8.484375
6,PV,A,0.0
6,PV,man,7.03125
6,PV,is,3.421875
6,PV,putting,12.625
6,PV,a,3.0625
6,PV,bag,8.5
6,PV,inside,10.625
6,PV,a,0.90234375
6,PV,car.,7.203125
6,IV,A,0.0
6,IV,man,7.03125
6,IV,is,3.421875
6,IV,feeding,19.875
6,IV,a,3.25
6,IV,bag,18.0
6,IV,inside,16.125
6,IV,a,0.5390625
6,IV,car.,6.8515625
6,IO,A,0.0
6,IO,man,7.03125
6,IO,is,3.421875
6,IO,putting,12.625
6,IO,a,3.0625
6,IO,car,7.40625
6,IO,inside,8.125
6,IO,a,0.5390625
6,IO,car.,13.34375
7,PV,A,0.0
7,PV,woman,9.4375
7,PV,is,2.890625
7,PV,putting,33.71875
7,PV,a,2.890625
7,PV,dish,9.375
7,PV,inside,6.125
7,PV,an,4.3125
7,PV,oven.,2.703125
7,IV,A,0.0
7,IV,woman,9.4375
7,IV,is,2.890625
7,IV,entering,13.25
7,IV,an,3.78125
7,IV,oven.,14.4375
7,IO,A,0.0
7,IO,woman,9.4375
7,IO,is,2.890625
7,IO,putting,33.71875
7,IO,a,2.890625
7,IO,door,10.0
7,IO,inside,10.0
7,IO,an,5.40625
7,IO,oven.,8.1171875
8,PV,A,0.0
8,PV,man,7.03125
8,PV,is,3.421875
8,PV,putting,12.625
8,PV,money,7.21875
8,PV,in,1.625
8,PV,a,1.625
8,PV,piggy,4.5
8,PV,bank.,1.984375
8,IV,A,0.0
8,IV,man,7.03125
8,IV,is,3.421875
8,IV,pouring,16.25
8,IV,money,12.375
8,IV,in,3.609375
8,IV,a,2.15625
8,IV,piggy,5.78125
8,IV,bank.,1.4453125
8,IO,A,0.0
8,IO,man,7.03125
8,IO,is,3.421875
8,IO,putting,12.625
8,IO,book,13.8125
8,IO,in,3.421875
8,IO,a,2.15625
8,IO,piggy,14.3125
8,IO,bank.,1.2587890625
9,PV,A,0.0
9,PV,person,7.65625
9,PV,is,3.609375
9,PV,dropping,16.625
9,PV,a,0.361328125
9,PV,coin,4.5
9,PV,in,5.40625
9,PV,a,0.72265625
9,PV,glass,9.5625
9,PV,jar.,3.9765625
9,IV,A,0.0
9,IV,person,7.65625
9,IV,is,3.609375
9,IV,growing,11.4375
9,IV,coins,18.875
9,IV,in,1.265625
9,IV,a,1.265625
9,IV,glass,8.3125
9,IV,jar.,0.900390625
9,IO,A,0.0
9,IO,person,7.65625
9,IO,is,3.609375
9,IO,dropping,16.625
9,IO,a,0.361328125
9,IO,large,9.0
9,IO,stone,3.25
9,IO,in,4.875
9,IO,a,0.361328125
9,IO,glass,9.9375
9,IO,jar.,6.296875
10,PV,A,0.0
10,PV,pitcher,14.5
10,PV,is,5.9375
10,PV,throwing,3.78125
10,PV,a,0.0
10,PV,ball,2.15625
10,PV,to,3.421875
10,PV,a,0.361328125
10,PV,catcher.,4.328125
10,IV,A,0.0
10,IV,pitcher,14.5
10,IV,is,5.9375
10,IV,stretching,15.0625
10,IV,a,2.53125
10,IV,ball.,13.375
10,IO,A,0.0
10,IO,pitcher,14.5
10,IO,is,5.9375
10,IO,throwing,3.78125
10,IO,a,0.0
10,IO,anvil,35.0625
10,IO,to,4.15625
10,IO,a,0.72265625
10,IO,catcher.,3.05859375
11,PV,A,0.0
11,PV,dart,13.8125
11,PV,player,6.6875
11,PV,is,3.96875
11,PV,throwing,4.6875
11,PV,a,19.0625
11,PV,dart,0.5390625
11,PV,at,1.078125
11,PV,a,0.1806640625
11,PV,target.,4.328125
11,IV,A,0.0
11,IV,dart,13.8125
11,IV,player,6.6875
11,IV,is,3.96875
11,IV,eating,15.75
11,IV,a,25.4375
11,IV,dart.,18.90625
11,IO,A,0.0
11,IO,dart,13.8125
11,IO,player,6.6875
11,IO,is,3.96875
11,IO,throwing,4.6875
11,IO,a,3.0625
11,IO,dumbell,18.328125
11,IO,at,3.421875
11,IO,a,0.361328125
11,IO,target.,3.0625
