triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,11.375
0,PV,The doctor is giving medicine to the old woman.,is,4.875
0,PV,The doctor is giving medicine to the old woman.,giving,8.625
0,PV,The doctor is giving medicine to the old woman.,medicine,6.9375
0,PV,The doctor is giving medicine to the old woman.,to,1.265625
0,PV,The doctor is giving medicine to the old woman.,the,3.25
0,PV,The doctor is giving medicine to the old woman.,old,11.875
0,PV,The doctor is giving medicine to the old woman.,woman.,5.328125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,11.375
0,IV,The doctor is welding medicine to the old woman.,is,4.875
0,IV,The doctor is welding medicine to the old woman.,welding,19.25
0,IV,The doctor is welding medicine to the old woman.,medicine,14.0625
0,IV,The doctor is welding medicine to the old woman.,to,3.0625
0,IV,The doctor is welding medicine to the old woman.,the,1.4453125
0,IV,The doctor is welding medicine to the old woman.,old,13.0
0,IV,The doctor is welding medicine to the old woman.,woman.,10.546875
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,11.375
0,IO,The doctor is giving fire to the old woman.,is,4.875
0,IO,The doctor is giving fire to the old woman.,giving,8.625
0,IO,The doctor is giving fire to the old woman.,fire,17.25
0,IO,The doctor is giving fire to the old woman.,to,2.15625
0,IO,The doctor is giving fire to the old woman.,the,0.90234375
0,IO,The doctor is giving fire to the old woman.,old,11.0
0,IO,The doctor is giving fire to the old woman.,woman.,8.296875
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,9.0
1,PV,A person is giving bread to a toddler.,is,4.3125
1,PV,A person is giving bread to a toddler.,giving,11.5625
1,PV,A person is giving bread to a toddler.,bread,14.25
1,PV,A person is giving bread to a toddler.,to,1.078125
1,PV,A person is giving bread to a toddler.,a,1.625
1,PV,A person is giving bread to a toddler.,toddler.,14.21875
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,17.0
1,IV,A toddler is riding a  bread.,is,3.78125
1,IV,A toddler is riding a  bread.,riding,13.5
1,IV,A toddler is riding a  bread.,a,1.078125
1,IV,A toddler is riding a  bread.,bread.,46.875
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,9.0
1,IO,A person is giving a building to a toddler.,is,4.3125
1,IO,A person is giving a building to a toddler.,giving,11.5625
1,IO,A person is giving a building to a toddler.,a,2.53125
1,IO,A person is giving a building to a toddler.,building,14.5
1,IO,A person is giving a building to a toddler.,to,3.609375
1,IO,A person is giving a building to a toddler.,a,1.984375
1,IO,A person is giving a building to a toddler.,toddler.,18.953125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,11.25
2,PV,A man is giving a gift to a child.,is,3.96875
2,PV,A man is giving a gift to a child.,giving,11.375
2,PV,A man is giving a gift to a child.,a,1.984375
2,PV,A man is giving a gift to a child.,gift,8.1875
2,PV,A man is giving a gift to a child.,to,0.72265625
2,PV,A man is giving a gift to a child.,a,1.3515625
2,PV,A man is giving a gift to a child.,child.,6.3203125
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,11.25
2,IV,A man is cooking a gift with a child.,is,3.96875
2,IV,A man is cooking a gift with a child.,cooking,13.375
2,IV,A man is cooking a gift with a child.,a,2.53125
2,IV,A man is cooking a gift with a child.,gift,15.5
2,IV,A man is cooking a gift with a child.,with,8.3125
2,IV,A man is cooking a gift with a child.,a,1.984375
2,IV,A man is cooking a gift with a child.,child.,11.09375
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,11.25
2,IO,A man is giving a bed to a child.,is,3.96875
2,IO,A man is giving a bed to a child.,giving,11.375
2,IO,A man is giving a bed to a child.,a,1.984375
2,IO,A man is giving a bed to a child.,bed,12.8125
2,IO,A man is giving a bed to a child.,to,1.265625
2,IO,A man is giving a bed to a child.,a,0.72265625
2,IO,A man is giving a bed to a child.,child.,7.3125
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,11.4375
3,PV,A woman is giving food to other people.,is,3.96875
3,PV,A woman is giving food to other people.,giving,9.375
3,PV,A woman is giving food to other people.,food,14.3125
3,PV,A woman is giving food to other people.,to,0.72265625
3,PV,A woman is giving food to other people.,other,7.65625
3,PV,A woman is giving food to other people.,people.,4.140625
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,11.4375
3,IV,A woman is ironing the food.,is,3.96875
3,IV,A woman is ironing the food.,ironing,19.484375
3,IV,A woman is ironing the food.,the,4.15625
3,IV,A woman is ironing the food.,food.,19.03125
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,11.4375
3,IO,A woman is giving stones to other people.,is,3.96875
3,IO,A woman is giving stones to other people.,giving,9.375
3,IO,A woman is giving stones to other people.,stones,20.25
3,IO,A woman is giving stones to other people.,to,0.72265625
3,IO,A woman is giving stones to other people.,other,9.25
3,IO,A woman is giving stones to other people.,people.,7.578125
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,9.0
4,PV,A person is giving money to another person.,is,4.3125
4,PV,A person is giving money to another person.,giving,11.5625
4,PV,A person is giving money to another person.,money,6.3125
4,PV,A person is giving money to another person.,to,0.72265625
4,PV,A person is giving money to another person.,another,4.15625
4,PV,A person is giving money to another person.,person.,3.97265625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,9.0
4,IV,A person is eating money.,is,4.3125
4,IV,A person is eating money.,eating,11.1875
4,IV,A person is eating money.,money.,18.15625
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,9.0
4,IO,A person is giving molten lava to another person.,is,4.3125
4,IO,A person is giving molten lava to another person.,giving,11.5625
4,IO,A person is giving molten lava to another person.,molten,18.0
4,IO,A person is giving molten lava to another person.,lava,4.875
4,IO,A person is giving molten lava to another person.,to,1.8046875
4,IO,A person is giving molten lava to another person.,another,2.703125
4,IO,A person is giving molten lava to another person.,person.,2.6953125
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,9.0
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.3125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,11.875
5,PV,A person is putting a cellular telephone inside his pocket.,a,4.3125
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,16.625
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,4.15625
5,PV,A person is putting a cellular telephone inside his pocket.,inside,6.125
5,PV,A person is putting a cellular telephone inside his pocket.,his,2.15625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,6.84375
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,9.0
5,IV,A person is watering a cellular telephone.,is,4.3125
5,IV,A person is watering a cellular telephone.,watering,19.25
5,IV,A person is watering a cellular telephone.,a,2.34375
5,IV,A person is watering a cellular telephone.,cellular,18.0
5,IV,A person is watering a cellular telephone.,telephone.,7.75
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,9.0
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.3125
5,IO,A person is putting a gas cylinder inside his pocket.,putting,11.875
5,IO,A person is putting a gas cylinder inside his pocket.,a,4.3125
5,IO,A person is putting a gas cylinder inside his pocket.,gas,10.1875
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,5.40625
5,IO,A person is putting a gas cylinder inside his pocket.,inside,6.84375
5,IO,A person is putting a gas cylinder inside his pocket.,his,3.96875
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,8.7421875
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,11.25
6,PV,A man is putting a bag inside a car.,is,3.96875
6,PV,A man is putting a bag inside a car.,putting,11.1875
6,PV,A man is putting a bag inside a car.,a,3.0625
6,PV,A man is putting a bag inside a car.,bag,7.46875
6,PV,A man is putting a bag inside a car.,inside,8.5
6,PV,A man is putting a bag inside a car.,a,0.72265625
6,PV,A man is putting a bag inside a car.,car.,6.1171875
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,11.25
6,IV,A man is feeding a bag inside a car.,is,3.96875
6,IV,A man is feeding a bag inside a car.,feeding,15.3125
6,IV,A man is feeding a bag inside a car.,a,1.984375
6,IV,A man is feeding a bag inside a car.,bag,10.4375
6,IV,A man is feeding a bag inside a car.,inside,11.75
6,IV,A man is feeding a bag inside a car.,a,0.9921875
6,IV,A man is feeding a bag inside a car.,car.,7.1171875
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,11.25
6,IO,A man is putting a car inside a car.,is,3.96875
6,IO,A man is putting a car inside a car.,putting,11.1875
6,IO,A man is putting a car inside a car.,a,3.0625
6,IO,A man is putting a car inside a car.,car,7.5625
6,IO,A man is putting a car inside a car.,inside,8.125
6,IO,A man is putting a car inside a car.,a,0.72265625
6,IO,A man is putting a car inside a car.,car.,4.3359375
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,11.4375
7,PV,A woman is  putting a dish inside an oven.,is,3.96875
7,PV,A woman is  putting a dish inside an oven.,putting,33.1875
7,PV,A woman is  putting a dish inside an oven.,a,4.15625
7,PV,A woman is  putting a dish inside an oven.,dish,12.4375
7,PV,A woman is  putting a dish inside an oven.,inside,8.3125
7,PV,A woman is  putting a dish inside an oven.,an,5.59375
7,PV,A woman is  putting a dish inside an oven.,oven.,4.15625
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,11.4375
7,IV,A woman is entering an oven.,is,3.96875
7,IV,A woman is entering an oven.,entering,11.375
7,IV,A woman is entering an oven.,an,5.78125
7,IV,A woman is entering an oven.,oven.,12.890625
7,IO,A woman is  putting a door inside an oven.,A,0.0
