triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,13.5
0,PV,is,5.0625
0,PV,giving,5.3125
0,PV,medicine,5.59375
0,PV,to,0.1806640625
0,PV,the,2.078125
0,PV,old,5.78125
0,PV,woman.,4.59375
0,IV,The,0.0
0,IV,doctor,13.5
0,IV,is,5.0625
0,IV,welding,20.0
0,IV,medicine,12.875
0,IV,to,3.609375
0,IV,the,2.34375
0,IV,old,9.75
0,IV,woman.,6.6875
0,IO,The,0.0
0,IO,doctor,13.5
0,IO,is,5.0625
0,IO,giving,5.3125
0,IO,fire,21.25
0,IO,to,2.34375
0,IO,the,1.53125
0,IO,old,8.8125
0,IO,woman.,5.40625
1,PV,A,0.0
1,PV,person,7.5625
1,PV,is,3.96875
1,PV,giving,11.75
1,PV,bread,15.5
1,PV,to,0.0
1,PV,a,1.8046875
1,PV,toddler.,17.390625
1,IV,A,0.0
1,IV,toddler,16.375
1,IV,is,2.25
1,IV,riding,7.40625
1,IV,a,1.078125
1,IV,bread.,44.21875
1,IO,A,0.0
1,IO,person,7.5625
1,IO,is,3.96875
1,IO,giving,11.75
1,IO,a,0.72265625
1,IO,building,15.3125
1,IO,to,6.40625
1,IO,a,2.703125
1,IO,toddler.,17.03125
2,PV,A,0.0
2,PV,man,6.9375
2,PV,is,3.421875
2,PV,giving,15.75
2,PV,a,1.625
2,PV,gift,4.875
2,PV,to,0.5390625
2,PV,a,1.4453125
2,PV,child.,8.375
2,IV,A,0.0
2,IV,man,6.9375
2,IV,is,3.421875
2,IV,cooking,13.1875
2,IV,a,2.96875
2,IV,gift,13.4375
2,IV,with,7.21875
2,IV,a,2.25
2,IV,child.,13.4375
2,IO,A,0.0
2,IO,man,6.9375
2,IO,is,3.421875
2,IO,giving,15.75
2,IO,a,1.625
2,IO,bed,13.0625
2,IO,to,0.1806640625
2,IO,a,7.46875
2,IO,child.,11.53125
3,PV,A,0.0
3,PV,woman,9.5625
3,PV,is,2.703125
3,PV,giving,11.1875
3,PV,food,8.9375
3,PV,to,0.361328125
3,PV,other,9.375
3,PV,people.,2.890625
3,IV,A,0.0
3,IV,woman,9.5625
3,IV,is,2.703125
3,IV,ironing,14.1875
3,IV,the,3.78125
3,IV,food.,15.9375
3,IO,A,0.0
3,IO,woman,9.5625
3,IO,is,2.703125
3,IO,giving,11.1875
3,IO,stones,16.25
3,IO,to,0.90234375
3,IO,other,7.21875
3,IO,people.,2.6953125
4,PV,A,0.0
4,PV,person,7.5625
4,PV,is,3.96875
4,PV,giving,11.75
4,PV,money,8.8125
4,PV,to,0.361328125
4,PV,another,5.40625
4,PV,person.,2.611328125
4,IV,A,0.0
4,IV,person,7.5625
4,IV,is,3.96875
4,IV,eating,10.8125
4,IV,money.,16.765625
4,IO,A,0.0
4,IO,person,7.5625
4,IO,is,3.96875
4,IO,giving,11.75
4,IO,molten,25.8056640625
4,IO,lava,9.375
4,IO,to,3.25
4,IO,another,4.3125
4,IO,person.,2.255859375
5,PV,A,0.0
5,PV,person,7.5625
5,PV,is,3.96875
5,PV,putting,10.625
5,PV,a,2.609375
5,PV,cellular,16.625
5,PV,telephone,4.25
5,PV,inside,5.21875
5,PV,his,3.421875
5,PV,pocket.,2.5234375
5,IV,A,0.0
5,IV,person,7.5625
5,IV,is,3.96875
5,IV,watering,16.0
5,IV,a,2.53125
5,IV,cellular,19.25
5,IV,telephone.,9.203125
5,IO,A,0.0
5,IO,person,7.5625
5,IO,is,3.96875
5,IO,putting,10.625
5,IO,a,2.609375
5,IO,gas,9.5625
5,IO,cylinder,4.78125
5,IO,inside,5.3125
5,IO,his,7.5625
5,IO,pocket.,10.6640625
6,PV,A,0.0
6,PV,man,6.9375
6,PV,is,3.421875
6,PV,putting,12.6875
6,PV,a,2.078125
6,PV,bag,10.0
6,PV,inside,7.84375
6,PV,a,0.361328125
6,PV,car.,9.265625
6,IV,A,0.0
6,IV,man,6.9375
6,IV,is,3.421875
6,IV,feeding,14.3125
6,IV,a,3.875
6,IV,bag,5.9375
6,IV,inside,19.0
6,IV,a,0.9921875
6,IV,car.,14.078125
6,IO,A,0.0
6,IO,man,6.9375
6,IO,is,3.421875
6,IO,putting,12.6875
6,IO,a,2.078125
6,IO,car,11.25
6,IO,inside,9.125
6,IO,a,0.361328125
6,IO,car.,12.34375
7,PV,A,0.0
7,PV,woman,9.5625
7,PV,is,2.703125
7,PV,putting,32.59375
7,PV,a,2.703125
7,PV,dish,7.21875
7,PV,inside,9.0
7,PV,an,2.890625
7,PV,oven.,3.4306640625
7,IV,A,0.0
7,IV,woman,9.5625
7,IV,is,2.703125
7,IV,entering,12.5625
7,IV,an,4.25
7,IV,oven.,16.9375
7,IO,A,0.0
7,IO,woman,9.5625
7,IO,is,2.703125
7,IO,putting,32.59375
7,IO,a,2.703125
7,IO,door,10.1875
7,IO,inside,7.3125
7,IO,an,4.875
7,IO,oven.,11.921875
8,PV,A,0.0
8,PV,man,6.9375
8,PV,is,3.421875
8,PV,putting,12.6875
8,PV,money,7.125
8,PV,in,0.90234375
8,PV,a,1.625
8,PV,piggy,2.25
8,PV,bank.,1.265625
8,IV,A,0.0
8,IV,man,6.9375
