triplet_id,type,word,surprisal
0,PV,The,4.875
0,PV,doctor,13.25
0,PV,is,4.25
0,PV,giving,9.4375
0,PV,medicine,10.25
0,PV,to,0.6328125
0,PV,the,1.265625
0,PV,old,6.75
0,PV,woman.,3.78125
0,IV,The,4.875
0,IV,doctor,13.25
0,IV,is,4.25
0,IV,welding,21.5625
0,IV,medicine,14.4375
0,IV,to,1.890625
0,IV,the,2.34375
0,IV,old,10.125
0,IV,woman.,8.9375
0,IO,The,4.875
0,IO,doctor,13.25
0,IO,is,4.25
0,IO,giving,9.4375
0,IO,fire,16.625
0,IO,to,4.78125
0,IO,the,1.171875
0,IO,old,8.625
0,IO,woman.,8.1875
1,PV,A,0.0
1,PV,person,15.5625
1,PV,is,4.40625
1,PV,giving,11.75
1,PV,bread,12.25
1,PV,to,0.451171875
1,PV,a,1.171875
1,PV,toddler.,12.98046875
1,IV,A,0.0
1,IV,toddler,18.6796875
1,IV,is,3.78125
1,IV,riding,10.4375
1,IV,a,2.078125
1,IV,bread.,29.65625
1,IO,A,0.0
1,IO,person,15.5625
1,IO,is,4.40625
1,IO,giving,11.75
1,IO,a,1.8046875
1,IO,building,13.375
1,IO,to,4.0625
1,IO,a,2.078125
1,IO,toddler.,16.125
2,PV,A,0.0
2,PV,man,12.25
2,PV,is,4.40625
2,PV,giving,10.875
2,PV,a,3.15625
2,PV,gift,7.21875
2,PV,to,0.361328125
2,PV,a,1.265625
2,PV,child.,5.9453125
2,IV,A,0.0
2,IV,man,12.25
2,IV,is,4.40625
2,IV,cooking,13.1875
2,IV,a,2.890625
2,IV,gift,14.8125
2,IV,with,8.75
2,IV,a,2.34375
2,IV,child.,11.15625
2,IO,A,0.0
2,IO,man,12.25
2,IO,is,4.40625
2,IO,giving,10.875
2,IO,a,3.15625
2,IO,bed,13.375
2,IO,to,2.4375
2,IO,a,1.171875
2,IO,child.,8.3125
3,PV,A,0.0
3,PV,woman,13.40625
3,PV,is,4.40625
3,PV,giving,9.5
3,PV,food,9.9375
3,PV,to,1.265625
3,PV,other,9.1875
3,PV,people.,4.6953125
3,IV,A,0.0
3,IV,woman,13.40625
3,IV,is,4.40625
3,IV,ironing,18.3056640625
3,IV,the,4.96875
3,IV,food.,14.671875
3,IO,A,0.0
3,IO,woman,13.40625
3,IO,is,4.40625
3,IO,giving,9.5
3,IO,stones,19.875
3,IO,to,0.8125
3,IO,other,6.125
3,IO,people.,5.859375
4,PV,A,0.0
4,PV,person,15.5625
4,PV,is,4.40625
4,PV,giving,11.75
4,PV,money,6.84375
4,PV,to,0.26953125
4,PV,another,3.421875
4,PV,person.,2.078125
4,IV,A,0.0
4,IV,person,15.5625
4,IV,is,4.40625
4,IV,eating,12.375
4,IV,money.,17.5
4,IO,A,0.0
4,IO,person,15.5625
4,IO,is,4.40625
4,IO,giving,11.75
4,IO,molten,21.3125
4,IO,lava,3.703125
4,IO,to,3.96875
4,IO,another,3.609375
4,IO,person.,1.8984375
5,PV,A,0.0
5,PV,person,15.5625
5,PV,is,4.40625
5,PV,putting,13.375
5,PV,a,2.796875
5,PV,cellular,14.40625
5,PV,telephone,2.890625
5,PV,inside,7.75
5,PV,his,2.53125
5,PV,pocket.,3.609375
5,IV,A,0.0
5,IV,person,15.5625
5,IV,is,4.40625
5,IV,watering,17.03125
5,IV,a,2.34375
5,IV,cellular,18.78125
5,IV,telephone.,8.75
5,IO,A,0.0
5,IO,person,15.5625
5,IO,is,4.40625
5,IO,putting,13.375
5,IO,a,2.796875
5,IO,gas,8.5625
5,IO,cylinder,5.3125
5,IO,inside,4.25
5,IO,his,3.34375
5,IO,pocket.,8.1171875
6,PV,A,0.0
6,PV,man,12.25
6,PV,is,4.40625
6,PV,putting,13.1875
6,PV,a,3.421875
6,PV,bag,7.03125
6,PV,inside,6.75
6,PV,a,1.171875
6,PV,car.,5.6875
6,IV,A,0.0
6,IV,man,12.25
6,IV,is,4.40625
6,IV,feeding,14.0625
6,IV,a,2.078125
6,IV,bag,9.3125
6,IV,inside,14.9375
6,IV,a,0.90234375
6,IV,car.,7.3046875
6,IO,A,0.0
6,IO,man,12.25
6,IO,is,4.40625
6,IO,putting,13.1875
6,IO,a,3.421875
6,IO,car,8.625
6,IO,inside,9.9375
6,IO,a,0.90234375
6,IO,car.,5.1484375
7,PV,A,0.0
7,PV,woman,13.40625
7,PV,is,4.40625
7,PV,putting,23.4375
7,PV,a,3.34375
7,PV,dish,12.0
7,PV,inside,7.40625
7,PV,an,4.25
7,PV,oven.,1.982421875
7,IV,A,0.0
7,IV,woman,13.40625
7,IV,is,4.40625
7,IV,entering,12.8125
7,IV,an,4.875
7,IV,oven.,15.25
7,IO,A,0.0
7,IO,woman,13.40625
7,IO,is,4.40625
7,IO,putting,23.4375
7,IO,a,3.34375
7,IO,door,11.5625
7,IO,inside,8.8125
7,IO,an,5.0625
7,IO,oven.,7.5625
8,PV,A,0.0
8,PV,man,12.25
8,PV,is,4.40625
8,PV,putting,13.1875
8,PV,money,9.4375
8,PV,in,1.8046875
8,PV,a,1.265625
8,PV,piggy,3.15625
8,PV,bank.,1.078125
8,IV,A,0.0
8,IV,man,12.25
8,IV,is,4.40625
8,IV,pouring,17.0
8,IV,money,8.0
8,IV,in,4.40625
8,IV,a,1.4453125
8,IV,piggy,5.875
8,IV,bank.,1.3525390625
8,IO,A,0.0
8,IO,man,12.25
8,IO,is,4.40625
8,IO,putting,13.1875
8,IO,book,16.5
8,IO,in,5.875
8,IO,a,1.984375
8,IO,piggy,14.51953125
8,IO,bank.,1.80078125
9,PV,A,0.0
9,PV,person,15.5625
9,PV,is,4.40625
9,PV,dropping,16.5
9,PV,a,2.609375
9,PV,coin,4.15625
9,PV,in,3.703125
9,PV,a,0.5390625
9,PV,glass,6.6875
9,PV,jar.,3.703125
9,IV,A,0.0
9,IV,person,15.5625
9,IV,is,4.40625
9,IV,growing,13.6875
9,IV,coins,15.875
9,IV,in,2.15625
9,IV,a,2.53125
9,IV,glass,7.40625
9,IV,jar.,3.4296875
9,IO,A,0.0
9,IO,person,15.5625
9,IO,is,4.40625
9,IO,dropping,16.5
9,IO,a,2.609375
9,IO,large,7.125
9,IO,stone,4.25
9,IO,in,5.21875
