triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,17.421875
0,PV,The doctor is giving medicine to the old woman.,is,4.375
0,PV,The doctor is giving medicine to the old woman.,giving,8.296875
0,PV,The doctor is giving medicine to the old woman.,medicine,10.1875
0,PV,The doctor is giving medicine to the old woman.,to,1.4423828125
0,PV,The doctor is giving medicine to the old woman.,the,2.388671875
0,PV,The doctor is giving medicine to the old woman.,old,9.1953125
0,PV,The doctor is giving medicine to the old woman.,woman.,4.734375
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,17.421875
0,IV,The doctor is welding medicine to the old woman.,is,4.375
0,IV,The doctor is welding medicine to the old woman.,welding,18.985595703125
0,IV,The doctor is welding medicine to the old woman.,medicine,13.4765625
0,IV,The doctor is welding medicine to the old woman.,to,3.42578125
0,IV,The doctor is welding medicine to the old woman.,the,1.8037109375
0,IV,The doctor is welding medicine to the old woman.,old,10.8203125
0,IV,The doctor is welding medicine to the old woman.,woman.,10.4140625
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,17.421875
0,IO,The doctor is giving fire to the old woman.,is,4.375
0,IO,The doctor is giving fire to the old woman.,giving,8.296875
0,IO,The doctor is giving fire to the old woman.,fire,16.28125
0,IO,The doctor is giving fire to the old woman.,to,1.4873046875
0,IO,The doctor is giving fire to the old woman.,the,1.3974609375
0,IO,The doctor is giving fire to the old woman.,old,7.80078125
0,IO,The doctor is giving fire to the old woman.,woman.,6.71875
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,16.8203125
1,PV,A person is giving bread to a toddler.,is,4.1484375
1,PV,A person is giving bread to a toddler.,giving,12.8515625
1,PV,A person is giving bread to a toddler.,bread,13.6640625
1,PV,A person is giving bread to a toddler.,to,1.171875
1,PV,A person is giving bread to a toddler.,a,2.1640625
1,PV,A person is giving bread to a toddler.,toddler.,15.0576171875
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,23.51171875
1,IV,A toddler is riding a  bread.,is,3.697265625
1,IV,A toddler is riding a  bread.,riding,11.046875
1,IV,A toddler is riding a  bread.,a,2.1640625
