triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,4.96875
0,PV,The doctor is giving medicine to the old woman.,doctor,13.25
0,PV,The doctor is giving medicine to the old woman.,is,4.40625
0,PV,The doctor is giving medicine to the old woman.,giving,9.75
0,PV,The doctor is giving medicine to the old woman.,medicine,9.6875
0,PV,The doctor is giving medicine to the old woman.,to,0.5390625
0,PV,The doctor is giving medicine to the old woman.,the,1.078125
0,PV,The doctor is giving medicine to the old woman.,old,6.59375
0,PV,The doctor is giving medicine to the old woman.,woman.,3.78125
0,IV,The doctor is welding medicine to the old woman.,The,4.96875
0,IV,The doctor is welding medicine to the old woman.,doctor,13.25
0,IV,The doctor is welding medicine to the old woman.,is,4.40625
0,IV,The doctor is welding medicine to the old woman.,welding,21.78125
0,IV,The doctor is welding medicine to the old woman.,medicine,13.375
0,IV,The doctor is welding medicine to the old woman.,to,2.15625
0,IV,The doctor is welding medicine to the old woman.,the,2.609375
0,IV,The doctor is welding medicine to the old woman.,old,10.0
0,IV,The doctor is welding medicine to the old woman.,woman.,9.6875
0,IO,The doctor is giving fire to the old woman.,The,4.96875
0,IO,The doctor is giving fire to the old woman.,doctor,13.25
0,IO,The doctor is giving fire to the old woman.,is,4.40625
0,IO,The doctor is giving fire to the old woman.,giving,9.75
0,IO,The doctor is giving fire to the old woman.,fire,16.875
0,IO,The doctor is giving fire to the old woman.,to,3.78125
0,IO,The doctor is giving fire to the old woman.,the,1.078125
0,IO,The doctor is giving fire to the old woman.,old,9.125
0,IO,The doctor is giving fire to the old woman.,woman.,7.9375
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,15.71875
1,PV,A person is giving bread to a toddler.,is,4.3125
1,PV,A person is giving bread to a toddler.,giving,11.875
1,PV,A person is giving bread to a toddler.,bread,12.5625
1,PV,A person is giving bread to a toddler.,to,0.451171875
1,PV,A person is giving bread to a toddler.,a,1.265625
1,PV,A person is giving bread to a toddler.,toddler.,12.35546875
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,18.984375
1,IV,A toddler is riding a  bread.,is,3.703125
1,IV,A toddler is riding a  bread.,riding,10.0625
1,IV,A toddler is riding a  bread.,a,1.890625
1,IV,A toddler is riding a  bread.,bread.,29.28125
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,15.71875
1,IO,A person is giving a building to a toddler.,is,4.3125
1,IO,A person is giving a building to a toddler.,giving,11.875
1,IO,A person is giving a building to a toddler.,a,2.078125
1,IO,A person is giving a building to a toddler.,building,13.625
1,IO,A person is giving a building to a toddler.,to,3.15625
1,IO,A person is giving a building to a toddler.,a,1.7109375
1,IO,A person is giving a building to a toddler.,toddler.,16.92578125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,12.34375
2,PV,A man is giving a gift to a child.,is,4.40625
2,PV,A man is giving a gift to a child.,giving,10.75
2,PV,A man is giving a gift to a child.,a,2.96875
2,PV,A man is giving a gift to a child.,gift,6.9375
2,PV,A man is giving a gift to a child.,to,0.451171875
2,PV,A man is giving a gift to a child.,a,1.3515625
2,PV,A man is giving a gift to a child.,child.,5.7578125
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,12.34375
2,IV,A man is cooking a gift with a child.,is,4.40625
2,IV,A man is cooking a gift with a child.,cooking,13.375
2,IV,A man is cooking a gift with a child.,a,2.890625
2,IV,A man is cooking a gift with a child.,gift,14.4375
2,IV,A man is cooking a gift with a child.,with,8.625
2,IV,A man is cooking a gift with a child.,a,2.078125
2,IV,A man is cooking a gift with a child.,child.,11.234375
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,12.34375
2,IO,A man is giving a bed to a child.,is,4.40625
2,IO,A man is giving a bed to a child.,giving,10.75
2,IO,A man is giving a bed to a child.,a,2.96875
2,IO,A man is giving a bed to a child.,bed,13.1875
2,IO,A man is giving a bed to a child.,to,1.984375
2,IO,A man is giving a bed to a child.,a,1.4453125
2,IO,A man is giving a bed to a child.,child.,9.640625
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,13.5
3,PV,A woman is giving food to other people.,is,4.5
3,PV,A woman is giving food to other people.,giving,9.4375
3,PV,A woman is giving food to other people.,food,10.25
3,PV,A woman is giving food to other people.,to,1.171875
3,PV,A woman is giving food to other people.,other,9.4375
3,PV,A woman is giving food to other people.,people.,4.421875
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,13.5
3,IV,A woman is ironing the food.,is,4.5
3,IV,A woman is ironing the food.,ironing,18.1806640625
3,IV,A woman is ironing the food.,the,4.6875
3,IV,A woman is ironing the food.,food.,15.625
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,13.5
3,IO,A woman is giving stones to other people.,is,4.5
3,IO,A woman is giving stones to other people.,giving,9.4375
3,IO,A woman is giving stones to other people.,stones,19.25
3,IO,A woman is giving stones to other people.,to,1.078125
3,IO,A woman is giving stones to other people.,other,5.875
3,IO,A woman is giving stones to other people.,people.,6.234375
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,15.71875
4,PV,A person is giving money to another person.,is,4.3125
4,PV,A person is giving money to another person.,giving,11.875
4,PV,A person is giving money to another person.,money,6.75
4,PV,A person is giving money to another person.,to,0.361328125
4,PV,A person is giving money to another person.,another,3.609375
4,PV,A person is giving money to another person.,person.,2.2578125
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,15.71875
4,IV,A person is eating money.,is,4.3125
4,IV,A person is eating money.,eating,12.4375
4,IV,A person is eating money.,money.,17.0625
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,15.71875
4,IO,A person is giving molten lava to another person.,is,4.3125
4,IO,A person is giving molten lava to another person.,giving,11.875
4,IO,A person is giving molten lava to another person.,molten,20.375
4,IO,A person is giving molten lava to another person.,lava,4.15625
4,IO,A person is giving molten lava to another person.,to,3.875
4,IO,A person is giving molten lava to another person.,another,4.5
4,IO,A person is giving molten lava to another person.,person.,1.890625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,15.71875
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.3125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,13.0
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.0625
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,13.84375
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,2.703125
5,PV,A person is putting a cellular telephone inside his pocket.,inside,8.5625
5,PV,A person is putting a cellular telephone inside his pocket.,his,2.34375
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,4.15625
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,15.71875
5,IV,A person is watering a cellular telephone.,is,4.3125
5,IV,A person is watering a cellular telephone.,watering,17.515625
5,IV,A person is watering a cellular telephone.,a,2.25
5,IV,A person is watering a cellular telephone.,cellular,17.6875
5,IV,A person is watering a cellular telephone.,telephone.,8.828125
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,15.71875
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.3125
5,IO,A person is putting a gas cylinder inside his pocket.,putting,13.0
5,IO,A person is putting a gas cylinder inside his pocket.,a,3.0625
5,IO,A person is putting a gas cylinder inside his pocket.,gas,9.4375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,4.5
5,IO,A person is putting a gas cylinder inside his pocket.,inside,3.96875
5,IO,A person is putting a gas cylinder inside his pocket.,his,3.0625
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,8.5625
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,12.34375
6,PV,A man is putting a bag inside a car.,is,4.40625
6,PV,A man is putting a bag inside a car.,putting,13.5
6,PV,A man is putting a bag inside a car.,a,3.609375
6,PV,A man is putting a bag inside a car.,bag,8.8125
6,PV,A man is putting a bag inside a car.,inside,7.40625
6,PV,A man is putting a bag inside a car.,a,1.265625
6,PV,A man is putting a bag inside a car.,car.,5.40625
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,12.34375
6,IV,A man is feeding a bag inside a car.,is,4.40625
6,IV,A man is feeding a bag inside a car.,feeding,14.0625
6,IV,A man is feeding a bag inside a car.,a,2.34375
6,IV,A man is feeding a bag inside a car.,bag,8.5625
6,IV,A man is feeding a bag inside a car.,inside,15.3125
6,IV,A man is feeding a bag inside a car.,a,0.90234375
6,IV,A man is feeding a bag inside a car.,car.,7.296875
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,12.34375
6,IO,A man is putting a car inside a car.,is,4.40625
6,IO,A man is putting a car inside a car.,putting,13.5
6,IO,A man is putting a car inside a car.,a,3.609375
6,IO,A man is putting a car inside a car.,car,8.9375
6,IO,A man is putting a car inside a car.,inside,10.4375
6,IO,A man is putting a car inside a car.,a,0.90234375
6,IO,A man is putting a car inside a car.,car.,5.40625
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,13.5
7,PV,A woman is  putting a dish inside an oven.,is,4.5
7,PV,A woman is  putting a dish inside an oven.,putting,24.1875
7,PV,A woman is  putting a dish inside an oven.,a,3.609375
7,PV,A woman is  putting a dish inside an oven.,dish,13.4375
7,PV,A woman is  putting a dish inside an oven.,inside,7.40625
7,PV,A woman is  putting a dish inside an oven.,an,3.875
7,PV,A woman is  putting a dish inside an oven.,oven.,2.072265625
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,13.5
7,IV,A woman is entering an oven.,is,4.5
7,IV,A woman is entering an oven.,entering,13.4375
7,IV,A woman is entering an oven.,an,4.96875
7,IV,A woman is entering an oven.,oven.,14.234375
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,13.5
7,IO,A woman is  putting a door inside an oven.,is,4.5
7,IO,A woman is  putting a door inside an oven.,putting,24.1875
7,IO,A woman is  putting a door inside an oven.,a,3.609375
7,IO,A woman is  putting a door inside an oven.,door,12.0625
7,IO,A woman is  putting a door inside an oven.,inside,9.1875
7,IO,A woman is  putting a door inside an oven.,an,4.96875
7,IO,A woman is  putting a door inside an oven.,oven.,7.65625
8,PV,A man is putting money in a piggy bank.,A,0.0
8,PV,A man is putting money in a piggy bank.,man,12.34375
8,PV,A man is putting money in a piggy bank.,is,4.40625
8,PV,A man is putting money in a piggy bank.,putting,13.5
8,PV,A man is putting money in a piggy bank.,money,10.0
8,PV,A man is putting money in a piggy bank.,in,2.53125
8,PV,A man is putting money in a piggy bank.,a,1.171875
8,PV,A man is putting money in a piggy bank.,piggy,3.96875
8,PV,A man is putting money in a piggy bank.,bank.,1.171875
8,IV,A man is pouring money in a piggy bank.,A,0.0
8,IV,A man is pouring money in a piggy bank.,man,12.34375
8,IV,A man is pouring money in a piggy bank.,is,4.40625
8,IV,A man is pouring money in a piggy bank.,pouring,17.125
8,IV,A man is pouring money in a piggy bank.,money,7.84375
8,IV,A man is pouring money in a piggy bank.,in,4.25
8,IV,A man is pouring money in a piggy bank.,a,1.7109375
8,IV,A man is pouring money in a piggy bank.,piggy,6.75
8,IV,A man is pouring money in a piggy bank.,bank.,1.3525390625
8,IO,A man is putting book in a piggy bank.,A,0.0
8,IO,A man is putting book in a piggy bank.,man,12.34375
8,IO,A man is putting book in a piggy bank.,is,4.40625
8,IO,A man is putting book in a piggy bank.,putting,13.5
8,IO,A man is putting book in a piggy bank.,book,16.25
8,IO,A man is putting book in a piggy bank.,in,7.21875
8,IO,A man is putting book in a piggy bank.,a,2.34375
8,IO,A man is putting book in a piggy bank.,piggy,14.451171875
8,IO,A man is putting book in a piggy bank.,bank.,1.80078125
9,PV,A person is dropping a coin in a glass jar.,A,0.0
9,PV,A person is dropping a coin in a glass jar.,person,15.71875
9,PV,A person is dropping a coin in a glass jar.,is,4.3125
9,PV,A person is dropping a coin in a glass jar.,dropping,16.25
9,PV,A person is dropping a coin in a glass jar.,a,2.609375
9,PV,A person is dropping a coin in a glass jar.,coin,4.15625
9,PV,A person is dropping a coin in a glass jar.,in,4.3125
9,PV,A person is dropping a coin in a glass jar.,a,0.8125
9,PV,A person is dropping a coin in a glass jar.,glass,6.5
9,PV,A person is dropping a coin in a glass jar.,jar.,3.96875
9,IV,A person is growing coins in a glass jar.,A,0.0
9,IV,A person is growing coins in a glass jar.,person,15.71875
9,IV,A person is growing coins in a glass jar.,is,4.3125
9,IV,A person is growing coins in a glass jar.,growing,13.375
9,IV,A person is growing coins in a glass jar.,coins,16.25
9,IV,A person is growing coins in a glass jar.,in,1.890625
9,IV,A person is growing coins in a glass jar.,a,2.703125
9,IV,A person is growing coins in a glass jar.,glass,6.40625
9,IV,A person is growing coins in a glass jar.,jar.,3.15625
9,IO,A person is dropping a large stone in a glass jar.,A,0.0
9,IO,A person is dropping a large stone in a glass jar.,person,15.71875
9,IO,A person is dropping a large stone in a glass jar.,is,4.3125
9,IO,A person is dropping a large stone in a glass jar.,dropping,16.25
9,IO,A person is dropping a large stone in a glass jar.,a,2.609375
9,IO,A person is dropping a large stone in a glass jar.,large,7.75
9,IO,A person is dropping a large stone in a glass jar.,stone,4.15625
9,IO,A person is dropping a large stone in a glass jar.,in,5.3125
9,IO,A person is dropping a large stone in a glass jar.,a,0.90234375
9,IO,A person is dropping a large stone in a glass jar.,glass,7.84375
9,IO,A person is dropping a large stone in a glass jar.,jar.,5.046875
10,PV,A pitcher is throwing a ball to a catcher.,A,0.0
10,PV,A pitcher is throwing a ball to a catcher.,pitcher,20.71875
10,PV,A pitcher is throwing a ball to a catcher.,is,4.9609375
10,PV,A pitcher is throwing a ball to a catcher.,throwing,6.6875
10,PV,A pitcher is throwing a ball to a catcher.,a,1.171875
10,PV,A pitcher is throwing a ball to a catcher.,ball,1.7109375
10,PV,A pitcher is throwing a ball to a catcher.,to,2.890625
10,PV,A pitcher is throwing a ball to a catcher.,a,1.078125
10,PV,A pitcher is throwing a ball to a catcher.,catcher.,2.1640625
10,IV,A pitcher is stretching a ball.,A,0.0
10,IV,A pitcher is stretching a ball.,pitcher,20.71875
10,IV,A pitcher is stretching a ball.,is,4.9609375
10,IV,A pitcher is stretching a ball.,stretching,15.0625
10,IV,A pitcher is stretching a ball.,a,6.59375
10,IV,A pitcher is stretching a ball.,ball.,9.0
10,IO,A pitcher is throwing a anvil to a catcher.,A,0.0
