triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,14.0625
0,PV,The doctor is giving medicine to the old woman.,is,4.875
0,PV,The doctor is giving medicine to the old woman.,giving,5.59375
0,PV,The doctor is giving medicine to the old woman.,medicine,0.361328125
0,PV,The doctor is giving medicine to the old woman.,to,0.0
0,PV,The doctor is giving medicine to the old woman.,the,3.421875
0,PV,The doctor is giving medicine to the old woman.,old,7.21875
0,PV,The doctor is giving medicine to the old woman.,woman.,5.765625
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,14.0625
0,IV,The doctor is welding medicine to the old woman.,is,4.875
0,IV,The doctor is welding medicine to the old woman.,welding,18.75
0,IV,The doctor is welding medicine to the old woman.,medicine,12.25
0,IV,The doctor is welding medicine to the old woman.,to,3.609375
0,IV,The doctor is welding medicine to the old woman.,the,2.703125
0,IV,The doctor is welding medicine to the old woman.,old,10.125
0,IV,The doctor is welding medicine to the old woman.,woman.,8.46875
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,14.0625
0,IO,The doctor is giving fire to the old woman.,is,4.875
0,IO,The doctor is giving fire to the old woman.,giving,5.59375
0,IO,The doctor is giving fire to the old woman.,fire,20.5
0,IO,The doctor is giving fire to the old woman.,to,4.5
0,IO,The doctor is giving fire to the old woman.,the,1.8046875
0,IO,The doctor is giving fire to the old woman.,old,9.4375
0,IO,The doctor is giving fire to the old woman.,woman.,5.953125
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,7.46875
1,PV,A person is giving bread to a toddler.,is,3.25
1,PV,A person is giving bread to a toddler.,giving,13.1875
1,PV,A person is giving bread to a toddler.,bread,14.1875
1,PV,A person is giving bread to a toddler.,to,0.1806640625
1,PV,A person is giving bread to a toddler.,a,3.25
1,PV,A person is giving bread to a toddler.,toddler.,14.265625
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,16.625
1,IV,A toddler is riding a  bread.,is,2.890625
1,IV,A toddler is riding a  bread.,riding,7.40625
1,IV,A toddler is riding a  bread.,a,0.90234375
1,IV,A toddler is riding a  bread.,bread.,41.78125
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,7.46875
1,IO,A person is giving a building to a toddler.,is,3.25
1,IO,A person is giving a building to a toddler.,giving,13.1875
1,IO,A person is giving a building to a toddler.,a,0.72265625
1,IO,A person is giving a building to a toddler.,building,17.0
1,IO,A person is giving a building to a toddler.,to,5.59375
1,IO,A person is giving a building to a toddler.,a,0.90234375
1,IO,A person is giving a building to a toddler.,toddler.,20.1953125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,6.84375
2,PV,A man is giving a gift to a child.,is,3.421875
2,PV,A man is giving a gift to a child.,giving,12.8125
2,PV,A man is giving a gift to a child.,a,1.4453125
2,PV,A man is giving a gift to a child.,gift,4.875
2,PV,A man is giving a gift to a child.,to,0.72265625
2,PV,A man is giving a gift to a child.,a,1.625
2,PV,A man is giving a gift to a child.,child.,4.5078125
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,6.84375
2,IV,A man is cooking a gift with a child.,is,3.421875
2,IV,A man is cooking a gift with a child.,cooking,16.25
2,IV,A man is cooking a gift with a child.,a,4.3125
2,IV,A man is cooking a gift with a child.,gift,18.375
2,IV,A man is cooking a gift with a child.,with,6.6875
2,IV,A man is cooking a gift with a child.,a,1.984375
2,IV,A man is cooking a gift with a child.,child.,16.15625
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,6.84375
2,IO,A man is giving a bed to a child.,is,3.421875
2,IO,A man is giving a bed to a child.,giving,12.8125
2,IO,A man is giving a bed to a child.,a,1.4453125
2,IO,A man is giving a bed to a child.,bed,14.0
2,IO,A man is giving a bed to a child.,to,1.4453125
2,IO,A man is giving a bed to a child.,a,2.15625
2,IO,A man is giving a bed to a child.,child.,6.7734375
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,9.5625
3,PV,A woman is giving food to other people.,is,2.53125
3,PV,A woman is giving food to other people.,giving,10.4375
3,PV,A woman is giving food to other people.,food,11.375
3,PV,A woman is giving food to other people.,to,0.1806640625
3,PV,A woman is giving food to other people.,other,9.4375
3,PV,A woman is giving food to other people.,people.,3.25
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,9.5625
3,IV,A woman is ironing the food.,is,2.53125
3,IV,A woman is ironing the food.,ironing,17.6806640625
3,IV,A woman is ironing the food.,the,7.75
3,IV,A woman is ironing the food.,food.,17.5
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,9.5625
3,IO,A woman is giving stones to other people.,is,2.53125
3,IO,A woman is giving stones to other people.,giving,10.4375
3,IO,A woman is giving stones to other people.,stones,22.25
3,IO,A woman is giving stones to other people.,to,0.5390625
3,IO,A woman is giving stones to other people.,other,9.625
3,IO,A woman is giving stones to other people.,people.,2.87890625
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,7.46875
4,PV,A person is giving money to another person.,is,3.25
4,PV,A person is giving money to another person.,giving,13.1875
4,PV,A person is giving money to another person.,money,7.75
4,PV,A person is giving money to another person.,to,0.361328125
4,PV,A person is giving money to another person.,another,3.78125
4,PV,A person is giving money to another person.,person.,1.439453125
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,7.46875
4,IV,A person is eating money.,is,3.25
4,IV,A person is eating money.,eating,11.25
4,IV,A person is eating money.,money.,17.203125
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,7.46875
4,IO,A person is giving molten lava to another person.,is,3.25
4,IO,A person is giving molten lava to another person.,giving,13.1875
4,IO,A person is giving molten lava to another person.,molten,24.5
4,IO,A person is giving molten lava to another person.,lava,6.6875
4,IO,A person is giving molten lava to another person.,to,2.15625
4,IO,A person is giving molten lava to another person.,another,4.875
4,IO,A person is giving molten lava to another person.,person.,1.986328125
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,7.46875
5,PV,A person is putting a cellular telephone inside his pocket.,is,3.25
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.0
5,PV,A person is putting a cellular telephone inside his pocket.,a,1.984375
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,18.0
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,1.8046875
5,PV,A person is putting a cellular telephone inside his pocket.,inside,7.5625
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.609375
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,2.703125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,7.46875
5,IV,A person is watering a cellular telephone.,is,3.25
5,IV,A person is watering a cellular telephone.,watering,14.25
5,IV,A person is watering a cellular telephone.,a,1.4453125
5,IV,A person is watering a cellular telephone.,cellular,26.75
5,IV,A person is watering a cellular telephone.,telephone.,13.546875
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,7.46875
5,IO,A person is putting a gas cylinder inside his pocket.,is,3.25
5,IO,A person is putting a gas cylinder inside his pocket.,putting,12.0
5,IO,A person is putting a gas cylinder inside his pocket.,a,1.984375
5,IO,A person is putting a gas cylinder inside his pocket.,gas,10.4375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,3.421875
5,IO,A person is putting a gas cylinder inside his pocket.,inside,4.5
5,IO,A person is putting a gas cylinder inside his pocket.,his,3.609375
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,12.453125
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,6.84375
6,PV,A man is putting a bag inside a car.,is,3.421875
6,PV,A man is putting a bag inside a car.,putting,14.4375
6,PV,A man is putting a bag inside a car.,a,2.53125
6,PV,A man is putting a bag inside a car.,bag,8.625
6,PV,A man is putting a bag inside a car.,inside,8.625
6,PV,A man is putting a bag inside a car.,a,0.90234375
6,PV,A man is putting a bag inside a car.,car.,8.484375
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,6.84375
6,IV,A man is feeding a bag inside a car.,is,3.421875
6,IV,A man is feeding a bag inside a car.,feeding,19.125
6,IV,A man is feeding a bag inside a car.,a,2.703125
6,IV,A man is feeding a bag inside a car.,bag,8.1875
6,IV,A man is feeding a bag inside a car.,inside,15.125
6,IV,A man is feeding a bag inside a car.,a,0.90234375
6,IV,A man is feeding a bag inside a car.,car.,7.9296875
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,6.84375
6,IO,A man is putting a car inside a car.,is,3.421875
6,IO,A man is putting a car inside a car.,putting,14.4375
6,IO,A man is putting a car inside a car.,a,2.53125
6,IO,A man is putting a car inside a car.,car,11.375
6,IO,A man is putting a car inside a car.,inside,9.1875
6,IO,A man is putting a car inside a car.,a,0.72265625
6,IO,A man is putting a car inside a car.,car.,8.578125
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,9.5625
7,PV,A woman is  putting a dish inside an oven.,is,2.53125
7,PV,A woman is  putting a dish inside an oven.,putting,37.359375
7,PV,A woman is  putting a dish inside an oven.,a,3.609375
7,PV,A woman is  putting a dish inside an oven.,dish,9.0
7,PV,A woman is  putting a dish inside an oven.,inside,6.59375
7,PV,A woman is  putting a dish inside an oven.,an,3.0625
7,PV,A woman is  putting a dish inside an oven.,oven.,1.4462890625
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,9.5625
7,IV,A woman is entering an oven.,is,2.53125
7,IV,A woman is entering an oven.,entering,12.0
7,IV,A woman is entering an oven.,an,4.3125
7,IV,A woman is entering an oven.,oven.,14.609375
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,9.5625
7,IO,A woman is  putting a door inside an oven.,is,2.53125
7,IO,A woman is  putting a door inside an oven.,putting,37.359375
7,IO,A woman is  putting a door inside an oven.,a,3.609375
7,IO,A woman is  putting a door inside an oven.,door,12.0
7,IO,A woman is  putting a door inside an oven.,inside,9.0
7,IO,A woman is  putting a door inside an oven.,an,5.59375
7,IO,A woman is  putting a door inside an oven.,oven.,10.828125
8,PV,A man is putting money in a piggy bank.,A,0.0
8,PV,A man is putting money in a piggy bank.,man,6.84375
8,PV,A man is putting money in a piggy bank.,is,3.421875
8,PV,A man is putting money in a piggy bank.,putting,14.4375
8,PV,A man is putting money in a piggy bank.,money,8.0
8,PV,A man is putting money in a piggy bank.,in,1.984375
8,PV,A man is putting money in a piggy bank.,a,1.265625
8,PV,A man is putting money in a piggy bank.,piggy,2.15625
8,PV,A man is putting money in a piggy bank.,bank.,1.265625
8,IV,A man is pouring money in a piggy bank.,A,0.0
8,IV,A man is pouring money in a piggy bank.,man,6.84375
8,IV,A man is pouring money in a piggy bank.,is,3.421875
8,IV,A man is pouring money in a piggy bank.,pouring,14.9375
8,IV,A man is pouring money in a piggy bank.,money,11.0
8,IV,A man is pouring money in a piggy bank.,in,5.78125
8,IV,A man is pouring money in a piggy bank.,a,0.72265625
8,IV,A man is pouring money in a piggy bank.,piggy,5.21875
8,IV,A man is pouring money in a piggy bank.,bank.,1.8046875
8,IO,A man is putting book in a piggy bank.,A,0.0
8,IO,A man is putting book in a piggy bank.,man,6.84375
8,IO,A man is putting book in a piggy bank.,is,3.421875
8,IO,A man is putting book in a piggy bank.,putting,14.4375
8,IO,A man is putting book in a piggy bank.,book,14.9375
8,IO,A man is putting book in a piggy bank.,in,4.5
8,IO,A man is putting book in a piggy bank.,a,1.265625
8,IO,A man is putting book in a piggy bank.,piggy,15.6875
8,IO,A man is putting book in a piggy bank.,bank.,1.4462890625
9,PV,A person is dropping a coin in a glass jar.,A,0.0
9,PV,A person is dropping a coin in a glass jar.,person,7.46875
9,PV,A person is dropping a coin in a glass jar.,is,3.25
9,PV,A person is dropping a coin in a glass jar.,dropping,13.0625
9,PV,A person is dropping a coin in a glass jar.,a,1.265625
9,PV,A person is dropping a coin in a glass jar.,coin,4.875
9,PV,A person is dropping a coin in a glass jar.,in,5.40625
9,PV,A person is dropping a coin in a glass jar.,a,0.361328125
9,PV,A person is dropping a coin in a glass jar.,glass,5.40625
9,PV,A person is dropping a coin in a glass jar.,jar.,4.3359375
9,IV,A person is growing coins in a glass jar.,A,0.0
9,IV,A person is growing coins in a glass jar.,person,7.46875
9,IV,A person is growing coins in a glass jar.,is,3.25
9,IV,A person is growing coins in a glass jar.,growing,12.625
9,IV,A person is growing coins in a glass jar.,coins,13.1875
9,IV,A person is growing coins in a glass jar.,in,1.984375
9,IV,A person is growing coins in a glass jar.,a,1.265625
9,IV,A person is growing coins in a glass jar.,glass,10.25
9,IV,A person is growing coins in a glass jar.,jar.,1.44140625
9,IO,A person is dropping a large stone in a glass jar.,A,0.0
9,IO,A person is dropping a large stone in a glass jar.,person,7.46875
9,IO,A person is dropping a large stone in a glass jar.,is,3.25
9,IO,A person is dropping a large stone in a glass jar.,dropping,13.0625
9,IO,A person is dropping a large stone in a glass jar.,a,1.265625
9,IO,A person is dropping a large stone in a glass jar.,large,7.9375
9,IO,A person is dropping a large stone in a glass jar.,stone,4.15625
9,IO,A person is dropping a large stone in a glass jar.,in,5.9375
9,IO,A person is dropping a large stone in a glass jar.,a,0.1806640625
9,IO,A person is dropping a large stone in a glass jar.,glass,7.3125
9,IO,A person is dropping a large stone in a glass jar.,jar.,6.8671875
10,PV,A pitcher is throwing a ball to a catcher.,A,0.0
10,PV,A pitcher is throwing a ball to a catcher.,pitcher,14.625
10,PV,A pitcher is throwing a ball to a catcher.,is,1.625
10,PV,A pitcher is throwing a ball to a catcher.,throwing,4.5
10,PV,A pitcher is throwing a ball to a catcher.,a,0.0
10,PV,A pitcher is throwing a ball to a catcher.,ball,1.8046875
10,PV,A pitcher is throwing a ball to a catcher.,to,3.421875
10,PV,A pitcher is throwing a ball to a catcher.,a,0.5390625
10,PV,A pitcher is throwing a ball to a catcher.,catcher.,3.43359375
10,IV,A pitcher is stretching a ball.,A,0.0
10,IV,A pitcher is stretching a ball.,pitcher,14.625
10,IV,A pitcher is stretching a ball.,is,1.625
10,IV,A pitcher is stretching a ball.,stretching,18.0
10,IV,A pitcher is stretching a ball.,a,1.625
10,IV,A pitcher is stretching a ball.,ball.,8.28125
10,IO,A pitcher is throwing a anvil to a catcher.,A,0.0
10,IO,A pitcher is throwing a anvil to a catcher.,pitcher,14.625
10,IO,A pitcher is throwing a anvil to a catcher.,is,1.625
10,IO,A pitcher is throwing a anvil to a catcher.,throwing,4.5
10,IO,A pitcher is throwing a anvil to a catcher.,a,0.0
10,IO,A pitcher is throwing a anvil to a catcher.,anvil,35.3125
10,IO,A pitcher is throwing a anvil to a catcher.,to,3.0625
10,IO,A pitcher is throwing a anvil to a catcher.,a,1.4453125
10,IO,A pitcher is throwing a anvil to a catcher.,catcher.,3.24609375
11,PV,A dart player is throwing  a dart at a target.,A,0.0
11,PV,A dart player is throwing  a dart at a target.,dart,13.875
11,PV,A dart player is throwing  a dart at a target.,player,6.5
11,PV,A dart player is throwing  a dart at a target.,is,4.15625
11,PV,A dart player is throwing  a dart at a target.,throwing,4.6875
11,PV,A dart player is throwing  a dart at a target.,a,17.6875
11,PV,A dart player is throwing  a dart at a target.,dart,0.1806640625
11,PV,A dart player is throwing  a dart at a target.,at,0.361328125
11,PV,A dart player is throwing  a dart at a target.,a,0.1806640625
11,PV,A dart player is throwing  a dart at a target.,target.,5.046875
11,IV,A dart player is eating  a dart.,A,0.0
11,IV,A dart player is eating  a dart.,dart,13.875
11,IV,A dart player is eating  a dart.,player,6.5
11,IV,A dart player is eating  a dart.,is,4.15625
11,IV,A dart player is eating  a dart.,eating,18.625
11,IV,A dart player is eating  a dart.,a,14.59375
11,IV,A dart player is eating  a dart.,dart.,17.125
11,IO,A dart player is throwing a dumbell at a target.,A,0.0
11,IO,A dart player is throwing a dumbell at a target.,dart,13.875
11,IO,A dart player is throwing a dumbell at a target.,player,6.5
11,IO,A dart player is throwing a dumbell at a target.,is,4.15625
11,IO,A dart player is throwing a dumbell at a target.,throwing,4.6875
11,IO,A dart player is throwing a dumbell at a target.,a,2.53125
11,IO,A dart player is throwing a dumbell at a target.,dumbell,24.8125
11,IO,A dart player is throwing a dumbell at a target.,at,3.609375
11,IO,A dart player is throwing a dumbell at a target.,a,0.361328125
11,IO,A dart player is throwing a dumbell at a target.,target.,2.8828125
