triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,11.5
0,PV,is,4.59375
0,PV,giving,7.75
0,PV,medicine,7.3125
0,PV,to,0.90234375
0,PV,the,1.078125
0,PV,old,6.21875
0,PV,woman.,3.42578125
0,IV,The,0.0
0,IV,doctor,11.5
0,IV,is,4.59375
0,IV,welding,19.25
0,IV,medicine,13.6875
0,IV,to,2.890625
0,IV,the,1.8046875
0,IV,old,8.5
0,IV,woman.,5.234375
0,IO,The,0.0
0,IO,doctor,11.5
0,IO,is,4.59375
0,IO,giving,7.75
0,IO,fire,17.625
0,IO,to,1.8046875
0,IO,the,1.265625
0,IO,old,8.5625
0,IO,woman.,4.6953125
1,PV,A,0.0
1,PV,person,11.125
1,PV,is,3.703125
1,PV,giving,10.5625
1,PV,bread,11.875
1,PV,to,0.361328125
1,PV,a,1.4453125
1,PV,toddler.,13.2578125
1,IV,A,0.0
1,IV,toddler,18.0
1,IV,is,3.515625
1,IV,riding,8.0
1,IV,a,1.4453125
1,IV,bread.,29.5
1,IO,A,0.0
1,IO,person,11.125
1,IO,is,3.703125
1,IO,giving,10.5625
1,IO,a,1.984375
1,IO,building,11.625
1,IO,to,2.890625
1,IO,a,1.625
1,IO,toddler.,18.734375
2,PV,A,0.0
2,PV,man,10.4375
2,PV,is,3.78125
2,PV,giving,9.3125
2,PV,a,1.265625
2,PV,gift,6.9375
2,PV,to,0.90234375
2,PV,a,1.265625
2,PV,child.,4.859375
2,IV,A,0.0
2,IV,man,10.4375
2,IV,is,3.78125
2,IV,cooking,10.5625
2,IV,a,2.703125
2,IV,gift,14.6875
2,IV,with,7.3125
2,IV,a,1.8046875
2,IV,child.,9.4609375
2,IO,A,0.0
2,IO,man,10.4375
2,IO,is,3.78125
2,IO,giving,9.3125
2,IO,a,1.265625
2,IO,bed,10.75
2,IO,to,1.4453125
2,IO,a,0.90234375
2,IO,child.,5.953125
3,PV,A,0.0
3,PV,woman,12.4375
3,PV,is,3.96875
3,PV,giving,7.84375
3,PV,food,8.8125
3,PV,to,0.1806640625
3,PV,other,7.9375
3,PV,people.,2.5234375
3,IV,A,0.0
3,IV,woman,12.4375
3,IV,is,3.96875
3,IV,ironing,12.625
3,IV,the,5.5
3,IV,food.,15.21875
3,IO,A,0.0
3,IO,woman,12.4375
3,IO,is,3.96875
3,IO,giving,7.84375
3,IO,stones,18.375
3,IO,to,0.5390625
3,IO,other,6.40625
3,IO,people.,3.05859375
4,PV,A,0.0
4,PV,person,11.125
4,PV,is,3.703125
4,PV,giving,10.5625
4,PV,money,6.03125
4,PV,to,0.5390625
4,PV,another,4.6875
4,PV,person.,2.1640625
4,IV,A,0.0
4,IV,person,11.125
4,IV,is,3.703125
4,IV,eating,8.3125
4,IV,money.,16.171875
4,IO,A,0.0
4,IO,person,11.125
4,IO,is,3.703125
4,IO,giving,10.5625
4,IO,molten,19.671875
4,IO,lava,6.59375
4,IO,to,1.265625
4,IO,another,3.25
4,IO,person.,1.4462890625
5,PV,A,0.0
5,PV,person,11.125
5,PV,is,3.703125
5,PV,putting,11.25
5,PV,a,2.34375
5,PV,cellular,14.6875
5,PV,telephone,2.53125
5,PV,inside,5.40625
5,PV,his,3.96875
5,PV,pocket.,3.0703125
5,IV,A,0.0
5,IV,person,11.125
5,IV,is,3.703125
5,IV,watering,15.3125
5,IV,a,1.8046875
5,IV,cellular,20.0
5,IV,telephone.,6.59375
5,IO,A,0.0
5,IO,person,11.125
5,IO,is,3.703125
5,IO,putting,11.25
5,IO,a,2.34375
5,IO,gas,9.1875
5,IO,cylinder,4.6875
5,IO,inside,5.0625
5,IO,his,3.96875
5,IO,pocket.,10.5625
6,PV,A,0.0
6,PV,man,10.4375
6,PV,is,3.78125
6,PV,putting,8.75
6,PV,a,1.984375
6,PV,bag,5.875
6,PV,inside,7.21875
6,PV,a,0.90234375
6,PV,car.,3.05859375
6,IV,A,0.0
6,IV,man,10.4375
6,IV,is,3.78125
6,IV,feeding,11.375
6,IV,a,1.625
6,IV,bag,10.5625
6,IV,inside,11.625
6,IV,a,0.90234375
6,IV,car.,6.203125
6,IO,A,0.0
6,IO,man,10.4375
6,IO,is,3.78125
6,IO,putting,8.75
6,IO,a,1.984375
6,IO,car,7.5625
6,IO,inside,8.3125
6,IO,a,0.90234375
6,IO,car.,9.4375
7,PV,A,0.0
7,PV,woman,12.4375
7,PV,is,3.96875
7,PV,putting,22.22265625
7,PV,a,2.890625
7,PV,dish,8.1875
7,PV,inside,7.03125
7,PV,an,5.59375
7,PV,oven.,0.72265625
7,IV,A,0.0
7,IV,woman,12.4375
7,IV,is,3.96875
7,IV,entering,10.4375
7,IV,an,4.15625
7,IV,oven.,9.4453125
7,IO,A,0.0
7,IO,woman,12.4375
7,IO,is,3.96875
7,IO,putting,22.22265625
7,IO,a,2.890625
7,IO,door,12.5625
7,IO,inside,8.3125
7,IO,an,5.40625
7,IO,oven.,3.05859375
8,PV,A,0.0
8,PV,man,10.4375
8,PV,is,3.78125
8,PV,putting,8.75
8,PV,money,6.21875
8,PV,in,1.265625
8,PV,a,1.4453125
8,PV,piggy,4.59375
8,PV,bank.,1.0830078125
8,IV,A,0.0
8,IV,man,10.4375
8,IV,is,3.78125
8,IV,pouring,10.75
8,IV,money,8.8125
8,IV,in,4.6875
8,IV,a,1.4453125
8,IV,piggy,6.392578125
8,IV,bank.,1.2587890625
8,IO,A,0.0
8,IO,man,10.4375
8,IO,is,3.78125
8,IO,putting,8.75
8,IO,book,14.0625
8,IO,in,3.875
8,IO,a,1.4453125
8,IO,piggy,14.7265625
8,IO,bank.,1.2587890625
9,PV,A,0.0
9,PV,person,11.125
9,PV,is,3.703125
9,PV,dropping,14.8125
9,PV,a,1.4453125
9,PV,coin,5.875
9,PV,in,3.609375
9,PV,a,0.5390625
9,PV,glass,5.40625
9,PV,jar.,3.78125
9,IV,A,0.0
9,IV,person,11.125
9,IV,is,3.703125
9,IV,growing,13.25
9,IV,coins,16.75
9,IV,in,2.703125
9,IV,a,1.265625
9,IV,glass,7.84375
9,IV,jar.,1.98046875
9,IO,A,0.0
9,IO,person,11.125
9,IO,is,3.703125
9,IO,dropping,14.8125
9,IO,a,1.4453125
9,IO,large,6.84375
9,IO,stone,3.25
9,IO,in,5.59375
9,IO,a,0.361328125
9,IO,glass,8.1875
9,IO,jar.,4.875
10,PV,A,0.0
10,PV,pitcher,16.875
