triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,12.25
0,PV,The doctor is giving medicine to the old woman.,is,4.3125
0,PV,The doctor is giving medicine to the old woman.,giving,5.5
0,PV,The doctor is giving medicine to the old woman.,medicine,4.5
0,PV,The doctor is giving medicine to the old woman.,to,0.5390625
0,PV,The doctor is giving medicine to the old woman.,the,0.5390625
0,PV,The doctor is giving medicine to the old woman.,old,4.59375
0,PV,The doctor is giving medicine to the old woman.,woman.,5.046875
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,12.25
0,IV,The doctor is welding medicine to the old woman.,is,4.3125
0,IV,The doctor is welding medicine to the old woman.,welding,20.625
0,IV,The doctor is welding medicine to the old woman.,medicine,13.8125
0,IV,The doctor is welding medicine to the old woman.,to,1.984375
0,IV,The doctor is welding medicine to the old woman.,the,2.796875
0,IV,The doctor is welding medicine to the old woman.,old,6.28125
0,IV,The doctor is welding medicine to the old woman.,woman.,7.765625
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,12.25
0,IO,The doctor is giving fire to the old woman.,is,4.3125
0,IO,The doctor is giving fire to the old woman.,giving,5.5
0,IO,The doctor is giving fire to the old woman.,fire,18.25
0,IO,The doctor is giving fire to the old woman.,to,2.53125
0,IO,The doctor is giving fire to the old woman.,the,1.078125
0,IO,The doctor is giving fire to the old woman.,old,7.3125
0,IO,The doctor is giving fire to the old woman.,woman.,4.515625
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,7.96875
1,PV,A person is giving bread to a toddler.,is,3.78125
1,PV,A person is giving bread to a toddler.,giving,10.8125
1,PV,A person is giving bread to a toddler.,bread,18.25
1,PV,A person is giving bread to a toddler.,to,0.5390625
1,PV,A person is giving bread to a toddler.,a,2.703125
1,PV,A person is giving bread to a toddler.,toddler.,15.703125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,14.6875
1,IV,A toddler is riding a  bread.,is,3.15625
1,IV,A toddler is riding a  bread.,riding,8.625
1,IV,A toddler is riding a  bread.,a,1.265625
1,IV,A toddler is riding a  bread.,bread.,40.8125
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,7.96875
1,IO,A person is giving a building to a toddler.,is,3.78125
1,IO,A person is giving a building to a toddler.,giving,10.8125
1,IO,A person is giving a building to a toddler.,a,2.15625
1,IO,A person is giving a building to a toddler.,building,18.0
1,IO,A person is giving a building to a toddler.,to,6.3125
1,IO,A person is giving a building to a toddler.,a,1.984375
1,IO,A person is giving a building to a toddler.,toddler.,16.140625
