triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,12.421875
0,PV,is,5.171875
0,PV,giving,7.4375
0,PV,medicine,10.53125
0,PV,to,1.5107421875
0,PV,the,2.333984375
0,PV,old,7.06640625
0,PV,woman.,4.576171875
0,IV,The,0.0
0,IV,doctor,12.421875
0,IV,is,5.171875
0,IV,welding,20.109375
0,IV,medicine,13.0078125
0,IV,to,3.16796875
0,IV,the,1.814453125
0,IV,old,8.28125
0,IV,woman.,9.298828125
0,IO,The,0.0
0,IO,doctor,12.421875
0,IO,is,5.171875
0,IO,giving,7.4375
0,IO,fire,18.140625
0,IO,to,1.3974609375
0,IO,the,1.4873046875
0,IO,old,5.6015625
0,IO,woman.,9.71484375
1,PV,A,0.0
1,PV,person,11.1484375
1,PV,is,4.5078125
1,PV,giving,14.8203125
1,PV,bread,14.4296875
1,PV,to,0.65380859375
1,PV,a,2.17578125
1,PV,toddler.,16.1953125
1,IV,A,0.0
1,IV,toddler,20.28125
1,IV,is,4.66796875
1,IV,riding,10.9453125
1,IV,a,1.9609375
1,IV,bread.,28.28125
1,IO,A,0.0
1,IO,person,11.1484375
1,IO,is,4.5078125
1,IO,giving,14.8203125
1,IO,a,3.04296875
1,IO,building,12.0859375
1,IO,to,2.25390625
1,IO,a,1.9951171875
1,IO,toddler.,19.326171875
2,PV,A,0.0
2,PV,man,10.0859375
2,PV,is,5.0703125
2,PV,giving,10.9140625
2,PV,a,2.333984375
2,PV,gift,8.4296875
2,PV,to,0.96923828125
2,PV,a,1.4873046875
2,PV,child.,6.85546875
2,IV,A,0.0
2,IV,man,10.0859375
2,IV,is,5.0703125
2,IV,cooking,15.859375
2,IV,a,2.45703125
2,IV,gift,14.3359375
2,IV,with,6.546875
2,IV,a,2.017578125
2,IV,child.,12.30859375
2,IO,A,0.0
2,IO,man,10.0859375
2,IO,is,5.0703125
2,IO,giving,10.9140625
2,IO,a,2.333984375
2,IO,bed,13.5
2,IO,to,1.18359375
2,IO,a,0.6650390625
2,IO,child.,7.03515625
3,PV,A,0.0
3,PV,woman,12.4296875
3,PV,is,5.23046875
3,PV,giving,8.625
3,PV,food,12.328125
3,PV,to,0.42822265625
3,PV,other,8.296875
3,PV,people.,4.39453125
3,IV,A,0.0
3,IV,woman,12.4296875
3,IV,is,5.23046875
3,IV,ironing,15.80078125
3,IV,the,4.67578125
3,IV,food.,16.25390625
3,IO,A,0.0
3,IO,woman,12.4296875
3,IO,is,5.23046875
3,IO,giving,8.625
3,IO,stones,17.09375
3,IO,to,0.65380859375
3,IO,other,8.90625
3,IO,people.,6.345703125
4,PV,A,0.0
4,PV,person,11.1484375
4,PV,is,4.5078125
4,PV,giving,14.8203125
4,PV,money,6.12109375
4,PV,to,0.6083984375
4,PV,another,5.38671875
4,PV,person.,5.2314453125
4,IV,A,0.0
4,IV,person,11.1484375
4,IV,is,4.5078125
4,IV,eating,16.703125
4,IV,money.,17.76171875
4,IO,A,0.0
4,IO,person,11.1484375
4,IO,is,4.5078125
4,IO,giving,14.8203125
4,IO,molten,20.953125
4,IO,lava,6.1640625
4,IO,to,1.2626953125
4,IO,another,3.91015625
4,IO,person.,4.0576171875
5,PV,A,0.0
5,PV,person,11.1484375
5,PV,is,4.5078125
5,PV,putting,16.828125
5,PV,a,3.583984375
5,PV,cellular,17.53125
5,PV,telephone,1.7919921875
5,PV,inside,6.83203125
5,PV,his,3.279296875
5,PV,pocket.,7.439453125
5,IV,A,0.0
5,IV,person,11.1484375
5,IV,is,4.5078125
5,IV,watering,20.97265625
5,IV,a,2.83984375
5,IV,cellular,17.328125
5,IV,telephone.,5.9970703125
5,IO,A,0.0
5,IO,person,11.1484375
5,IO,is,4.5078125
5,IO,putting,16.828125
5,IO,a,3.583984375
5,IO,gas,10.4375
5,IO,cylinder,7.484375
5,IO,inside,7.1796875
5,IO,his,3.83203125
5,IO,pocket.,10.427734375
6,PV,A,0.0
6,PV,man,10.0859375
6,PV,is,5.0703125
6,PV,putting,11.8984375
6,PV,a,2.919921875
6,PV,bag,8.1015625
6,PV,inside,10.1328125
6,PV,a,1.6455078125
6,PV,car.,6.0859375
6,IV,A,0.0
6,IV,man,10.0859375
6,IV,is,5.0703125
6,IV,feeding,14.046875
6,IV,a,3.177734375
6,IV,bag,10.7265625
6,IV,inside,14.3671875
6,IV,a,1.1494140625
6,IV,car.,7.01171875
6,IO,A,0.0
6,IO,man,10.0859375
6,IO,is,5.0703125
6,IO,putting,11.8984375
6,IO,a,2.919921875
6,IO,car,8.203125
6,IO,inside,9.390625
6,IO,a,1.375
6,IO,car.,5.7265625
7,PV,A,0.0
7,PV,woman,12.4296875
7,PV,is,5.23046875
7,PV,putting,24.4384765625
7,PV,a,3.71875
7,PV,dish,10.78125
7,PV,inside,8.984375
7,PV,an,6.14453125
7,PV,oven.,3.990234375
7,IV,A,0.0
7,IV,woman,12.4296875
7,IV,is,5.23046875
7,IV,entering,10.6640625
7,IV,an,6.07421875
7,IV,oven.,12.044921875
7,IO,A,0.0
7,IO,woman,12.4296875
7,IO,is,5.23046875
7,IO,putting,24.4384765625
7,IO,a,3.71875
7,IO,door,12.5078125
7,IO,inside,8.5859375
7,IO,an,6.1640625
7,IO,oven.,8.103515625
8,PV,A,0.0
8,PV,man,10.0859375
8,PV,is,5.0703125
8,PV,putting,11.8984375
8,PV,money,6.3125
8,PV,in,2.005859375
8,PV,a,2.095703125
8,PV,piggy,7.642578125
8,PV,bank.,2.659423828125
8,IV,A,0.0
8,IV,man,10.0859375
8,IV,is,5.0703125
8,IV,pouring,14.25
8,IV,money,7.16796875
8,IV,in,5.94140625
8,IV,a,3.95703125
8,IV,piggy,11.40625
8,IV,bank.,2.593017578125
8,IO,A,0.0
8,IO,man,10.0859375
8,IO,is,5.0703125
8,IO,putting,11.8984375
8,IO,book,16.078125
8,IO,in,5.00390625
8,IO,a,2.388671875
8,IO,piggy,12.2578125
8,IO,bank.,2.5582275390625
9,PV,A,0.0
9,PV,person,11.1484375
9,PV,is,4.5078125
9,PV,dropping,21.96875
9,PV,a,3.201171875
9,PV,coin,6.96484375
9,PV,in,2.806640625
9,PV,a,0.90185546875
9,PV,glass,5.1953125
9,PV,jar.,6.25390625
9,IV,A,0.0
9,IV,person,11.1484375
9,IV,is,4.5078125
