triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,12.265625
0,PV,The doctor is giving medicine to the old woman.,is,5.76953125
0,PV,The doctor is giving medicine to the old woman.,giving,8.65625
0,PV,The doctor is giving medicine to the old woman.,medicine,12.265625
0,PV,The doctor is giving medicine to the old woman.,to,0.72119140625
0,PV,The doctor is giving medicine to the old woman.,the,2.1640625
0,PV,The doctor is giving medicine to the old woman.,old,8.65625
0,PV,The doctor is giving medicine to the old woman.,woman.,5.771484375
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,12.265625
0,IV,The doctor is welding medicine to the old woman.,is,5.76953125
0,IV,The doctor is welding medicine to the old woman.,welding,18.75
0,IV,The doctor is welding medicine to the old woman.,medicine,13.703125
0,IV,The doctor is welding medicine to the old woman.,to,4.328125
0,IV,The doctor is welding medicine to the old woman.,the,2.1640625
0,IV,The doctor is welding medicine to the old woman.,old,8.65625
0,IV,The doctor is welding medicine to the old woman.,woman.,10.09765625
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,12.265625
0,IO,The doctor is giving fire to the old woman.,is,5.76953125
0,IO,The doctor is giving fire to the old woman.,giving,8.65625
0,IO,The doctor is giving fire to the old woman.,fire,15.8671875
0,IO,The doctor is giving fire to the old woman.,to,4.328125
0,IO,The doctor is giving fire to the old woman.,the,1.4423828125
0,IO,The doctor is giving fire to the old woman.,old,8.65625
0,IO,The doctor is giving fire to the old woman.,woman.,8.654296875
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,12.265625
1,PV,A person is giving bread to a toddler.,is,4.328125
1,PV,A person is giving bread to a toddler.,giving,10.1015625
1,PV,A person is giving bread to a toddler.,bread,14.4296875
1,PV,A person is giving bread to a toddler.,to,0.72119140625
1,PV,A person is giving bread to a toddler.,a,2.1640625
1,PV,A person is giving bread to a toddler.,toddler.,13.703125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,18.03125
1,IV,A toddler is riding a  bread.,is,4.328125
1,IV,A toddler is riding a  bread.,riding,11.5390625
1,IV,A toddler is riding a  bread.,a,2.1640625
1,IV,A toddler is riding a  bread.,bread.,26.6875
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,12.265625
1,IO,A person is giving a building to a toddler.,is,4.328125
1,IO,A person is giving a building to a toddler.,giving,10.1015625
1,IO,A person is giving a building to a toddler.,a,2.884765625
1,IO,A person is giving a building to a toddler.,building,12.984375
1,IO,A person is giving a building to a toddler.,to,5.76953125
1,IO,A person is giving a building to a toddler.,a,2.1640625
1,IO,A person is giving a building to a toddler.,toddler.,16.587890625
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,12.984375
2,PV,A man is giving a gift to a child.,is,5.05078125
2,PV,A man is giving a gift to a child.,giving,9.375
2,PV,A man is giving a gift to a child.,a,2.884765625
2,PV,A man is giving a gift to a child.,gift,7.21484375
2,PV,A man is giving a gift to a child.,to,1.4423828125
2,PV,A man is giving a gift to a child.,a,3.607421875
2,PV,A man is giving a gift to a child.,child.,7.21484375
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,12.984375
2,IV,A man is cooking a gift with a child.,is,5.05078125
2,IV,A man is cooking a gift with a child.,cooking,13.703125
2,IV,A man is cooking a gift with a child.,a,4.328125
2,IV,A man is cooking a gift with a child.,gift,12.984375
2,IV,A man is cooking a gift with a child.,with,6.4921875
2,IV,A man is cooking a gift with a child.,a,2.884765625
2,IV,A man is cooking a gift with a child.,child.,11.5390625
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,12.984375
2,IO,A man is giving a bed to a child.,is,5.05078125
2,IO,A man is giving a bed to a child.,giving,9.375
2,IO,A man is giving a bed to a child.,a,2.884765625
2,IO,A man is giving a bed to a child.,bed,12.984375
2,IO,A man is giving a bed to a child.,to,2.884765625
2,IO,A man is giving a bed to a child.,a,1.4423828125
2,IO,A man is giving a bed to a child.,child.,7.93359375
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,12.265625
3,PV,A woman is giving food to other people.,is,5.05078125
3,PV,A woman is giving food to other people.,giving,9.375
3,PV,A woman is giving food to other people.,food,9.375
3,PV,A woman is giving food to other people.,to,0.72119140625
3,PV,A woman is giving food to other people.,other,7.93359375
3,PV,A woman is giving food to other people.,people.,4.328125
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,12.265625
3,IV,A woman is ironing the food.,is,5.05078125
3,IV,A woman is ironing the food.,ironing,19.4765625
3,IV,A woman is ironing the food.,the,3.607421875
3,IV,A woman is ironing the food.,food.,15.150390625
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,12.265625
3,IO,A woman is giving stones to other people.,is,5.05078125
3,IO,A woman is giving stones to other people.,giving,9.375
3,IO,A woman is giving stones to other people.,stones,15.8671875
3,IO,A woman is giving stones to other people.,to,0.72119140625
3,IO,A woman is giving stones to other people.,other,7.93359375
3,IO,A woman is giving stones to other people.,people.,5.048828125
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,12.265625
4,PV,A person is giving money to another person.,is,4.328125
4,PV,A person is giving money to another person.,giving,10.1015625
4,PV,A person is giving money to another person.,money,6.4921875
4,PV,A person is giving money to another person.,to,0.72119140625
4,PV,A person is giving money to another person.,another,6.4921875
4,PV,A person is giving money to another person.,person.,2.88525390625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,12.265625
4,IV,A person is eating money.,is,4.328125
4,IV,A person is eating money.,eating,13.703125
4,IV,A person is eating money.,money.,12.986328125
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,12.265625
4,IO,A person is giving molten lava to another person.,is,4.328125
4,IO,A person is giving molten lava to another person.,giving,10.1015625
4,IO,A person is giving molten lava to another person.,molten,16.59375
4,IO,A person is giving molten lava to another person.,lava,7.93359375
4,IO,A person is giving molten lava to another person.,to,1.4423828125
4,IO,A person is giving molten lava to another person.,another,5.05078125
4,IO,A person is giving molten lava to another person.,person.,2.88525390625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,12.265625
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.328125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,11.5390625
5,PV,A person is putting a cellular telephone inside his pocket.,a,2.884765625
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,15.8671875
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,2.884765625
5,PV,A person is putting a cellular telephone inside his pocket.,inside,7.21484375
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.607421875
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,5.7705078125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,12.265625
5,IV,A person is watering a cellular telephone.,is,4.328125
5,IV,A person is watering a cellular telephone.,watering,19.4765625
5,IV,A person is watering a cellular telephone.,a,3.607421875
5,IV,A person is watering a cellular telephone.,cellular,13.703125
5,IV,A person is watering a cellular telephone.,telephone.,7.935546875
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,12.265625
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.328125
5,IO,A person is putting a gas cylinder inside his pocket.,putting,11.5390625
5,IO,A person is putting a gas cylinder inside his pocket.,a,2.884765625
5,IO,A person is putting a gas cylinder inside his pocket.,gas,10.1015625
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,8.65625
5,IO,A person is putting a gas cylinder inside his pocket.,inside,5.76953125
5,IO,A person is putting a gas cylinder inside his pocket.,his,5.05078125
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,7.9345703125
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,12.984375
6,PV,A man is putting a bag inside a car.,is,5.05078125
6,PV,A man is putting a bag inside a car.,putting,10.1015625
6,PV,A man is putting a bag inside a car.,a,2.884765625
6,PV,A man is putting a bag inside a car.,bag,6.4921875
6,PV,A man is putting a bag inside a car.,inside,8.65625
6,PV,A man is putting a bag inside a car.,a,2.1640625
6,PV,A man is putting a bag inside a car.,car.,6.4921875
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,12.984375
6,IV,A man is feeding a bag inside a car.,is,5.05078125
6,IV,A man is feeding a bag inside a car.,feeding,12.984375
6,IV,A man is feeding a bag inside a car.,a,3.607421875
6,IV,A man is feeding a bag inside a car.,bag,7.93359375
6,IV,A man is feeding a bag inside a car.,inside,10.1015625
6,IV,A man is feeding a bag inside a car.,a,2.884765625
6,IV,A man is feeding a bag inside a car.,car.,8.65625
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,12.984375
6,IO,A man is putting a car inside a car.,is,5.05078125
6,IO,A man is putting a car inside a car.,putting,10.1015625
6,IO,A man is putting a car inside a car.,a,2.884765625
6,IO,A man is putting a car inside a car.,car,7.93359375
6,IO,A man is putting a car inside a car.,inside,7.21484375
6,IO,A man is putting a car inside a car.,a,2.1640625
6,IO,A man is putting a car inside a car.,car.,4.328125
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,12.265625
7,PV,A woman is  putting a dish inside an oven.,is,5.05078125
7,PV,A woman is  putting a dish inside an oven.,putting,28.130859375
7,PV,A woman is  putting a dish inside an oven.,a,3.607421875
7,PV,A woman is  putting a dish inside an oven.,dish,11.5390625
7,PV,A woman is  putting a dish inside an oven.,inside,10.8203125
7,PV,A woman is  putting a dish inside an oven.,an,5.76953125
7,PV,A woman is  putting a dish inside an oven.,oven.,6.4921875
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,12.265625
7,IV,A woman is entering an oven.,is,5.05078125
7,IV,A woman is entering an oven.,entering,11.5390625
7,IV,A woman is entering an oven.,an,5.76953125
7,IV,A woman is entering an oven.,oven.,13.708984375
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,12.265625
