triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,12.828125
0,PV,The doctor is giving medicine to the old woman.,is,4.19140625
0,PV,The doctor is giving medicine to the old woman.,giving,8.75
0,PV,The doctor is giving medicine to the old woman.,medicine,9.2421875
0,PV,The doctor is giving medicine to the old woman.,to,0.94677734375
0,PV,The doctor is giving medicine to the old woman.,the,2.48046875
0,PV,The doctor is giving medicine to the old woman.,old,6.671875
0,PV,The doctor is giving medicine to the old woman.,woman.,6.220703125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,12.828125
0,IV,The doctor is welding medicine to the old woman.,is,4.19140625
0,IV,The doctor is welding medicine to the old woman.,welding,18.4927978515625
0,IV,The doctor is welding medicine to the old woman.,medicine,13.3359375
0,IV,The doctor is welding medicine to the old woman.,to,2.501953125
0,IV,The doctor is welding medicine to the old woman.,the,1.9609375
0,IV,The doctor is welding medicine to the old woman.,old,8.8671875
0,IV,The doctor is welding medicine to the old woman.,woman.,9.4453125
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,12.828125
0,IO,The doctor is giving fire to the old woman.,is,4.19140625
0,IO,The doctor is giving fire to the old woman.,giving,8.75
0,IO,The doctor is giving fire to the old woman.,fire,17.78125
0,IO,The doctor is giving fire to the old woman.,to,1.7578125
0,IO,The doctor is giving fire to the old woman.,the,1.28515625
0,IO,The doctor is giving fire to the old woman.,old,7.80078125
0,IO,The doctor is giving fire to the old woman.,woman.,8.18359375
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,13.984375
1,PV,A person is giving bread to a toddler.,is,4.03515625
1,PV,A person is giving bread to a toddler.,giving,12.0625
1,PV,A person is giving bread to a toddler.,bread,15.765625
1,PV,A person is giving bread to a toddler.,to,0.7890625
1,PV,A person is giving bread to a toddler.,a,1.78125
1,PV,A person is giving bread to a toddler.,toddler.,16.841949462890625
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,20.357421875
1,IV,A toddler is riding a  bread.,is,3.607421875
1,IV,A toddler is riding a  bread.,riding,11.609375
1,IV,A toddler is riding a  bread.,a,1.46484375
1,IV,A toddler is riding a  bread.,bread.,43.0
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,13.984375
1,IO,A person is giving a building to a toddler.,is,4.03515625
1,IO,A person is giving a building to a toddler.,giving,12.0625
1,IO,A person is giving a building to a toddler.,a,3.06640625
1,IO,A person is giving a building to a toddler.,building,12.9375
1,IO,A person is giving a building to a toddler.,to,2.974609375
1,IO,A person is giving a building to a toddler.,a,1.78125
1,IO,A person is giving a building to a toddler.,toddler.,21.012771606445312
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,12.296875
2,PV,A man is giving a gift to a child.,is,4.46484375
2,PV,A man is giving a gift to a child.,giving,11.2109375
2,PV,A man is giving a gift to a child.,a,2.728515625
2,PV,A man is giving a gift to a child.,gift,8.1171875
2,PV,A man is giving a gift to a child.,to,1.08203125
2,PV,A man is giving a gift to a child.,a,1.826171875
2,PV,A man is giving a gift to a child.,child.,8.294921875
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,12.296875
2,IV,A man is cooking a gift with a child.,is,4.46484375
2,IV,A man is cooking a gift with a child.,cooking,12.7734375
2,IV,A man is cooking a gift with a child.,a,2.7734375
2,IV,A man is cooking a gift with a child.,gift,13.84375
2,IV,A man is cooking a gift with a child.,with,7.73046875
2,IV,A man is cooking a gift with a child.,a,2.34375
2,IV,A man is cooking a gift with a child.,child.,11.373046875
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,12.296875
2,IO,A man is giving a bed to a child.,is,4.46484375
2,IO,A man is giving a bed to a child.,giving,11.2109375
2,IO,A man is giving a bed to a child.,a,2.728515625
2,IO,A man is giving a bed to a child.,bed,13.0546875
2,IO,A man is giving a bed to a child.,to,2.140625
2,IO,A man is giving a bed to a child.,a,1.0146484375
2,IO,A man is giving a bed to a child.,child.,9.017578125
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,13.7421875
3,PV,A woman is giving food to other people.,is,4.5078125
3,PV,A woman is giving food to other people.,giving,10.3828125
3,PV,A woman is giving food to other people.,food,12.1484375
3,PV,A woman is giving food to other people.,to,0.473388671875
3,PV,A woman is giving food to other people.,other,8.609375
3,PV,A woman is giving food to other people.,people.,5.43359375
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,13.7421875
3,IV,A woman is ironing the food.,is,4.5078125
3,IV,A woman is ironing the food.,ironing,19.453125
3,IV,A woman is ironing the food.,the,4.6875
3,IV,A woman is ironing the food.,food.,17.08984375
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,13.7421875
3,IO,A woman is giving stones to other people.,is,4.5078125
3,IO,A woman is giving stones to other people.,giving,10.3828125
3,IO,A woman is giving stones to other people.,stones,19.578125
3,IO,A woman is giving stones to other people.,to,0.5185546875
3,IO,A woman is giving stones to other people.,other,8.078125
3,IO,A woman is giving stones to other people.,people.,6.40234375
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,13.984375
4,PV,A person is giving money to another person.,is,4.03515625
4,PV,A person is giving money to another person.,giving,12.0625
4,PV,A person is giving money to another person.,money,6.71875
4,PV,A person is giving money to another person.,to,0.6083984375
4,PV,A person is giving money to another person.,another,3.291015625
4,PV,A person is giving money to another person.,person.,4.4853515625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,13.984375
4,IV,A person is eating money.,is,4.03515625
4,IV,A person is eating money.,eating,12.8828125
4,IV,A person is eating money.,money.,15.994140625
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,13.984375
4,IO,A person is giving molten lava to another person.,is,4.03515625
4,IO,A person is giving molten lava to another person.,giving,12.0625
4,IO,A person is giving molten lava to another person.,molten,20.86328125
4,IO,A person is giving molten lava to another person.,lava,3.021484375
4,IO,A person is giving molten lava to another person.,to,1.375
4,IO,A person is giving molten lava to another person.,another,3.697265625
4,IO,A person is giving molten lava to another person.,person.,3.15625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,13.984375
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.03515625
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.0
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.470703125
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,16.671875
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,2.5703125
5,PV,A person is putting a cellular telephone inside his pocket.,inside,5.90625
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.5390625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,6.42578125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,13.984375
5,IV,A person is watering a cellular telephone.,is,4.03515625
5,IV,A person is watering a cellular telephone.,watering,20.14453125
5,IV,A person is watering a cellular telephone.,a,2.884765625
5,IV,A person is watering a cellular telephone.,cellular,18.140625
5,IV,A person is watering a cellular telephone.,telephone.,6.98828125
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,13.984375
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.03515625
5,IO,A person is putting a gas cylinder inside his pocket.,putting,12.0
5,IO,A person is putting a gas cylinder inside his pocket.,a,3.470703125
5,IO,A person is putting a gas cylinder inside his pocket.,gas,9.3984375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,5.41015625
5,IO,A person is putting a gas cylinder inside his pocket.,inside,5.38671875
5,IO,A person is putting a gas cylinder inside his pocket.,his,4.484375
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,8.8828125
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,12.296875
6,PV,A man is putting a bag inside a car.,is,4.46484375
6,PV,A man is putting a bag inside a car.,putting,10.8125
6,PV,A man is putting a bag inside a car.,a,3.177734375
6,PV,A man is putting a bag inside a car.,bag,9.8359375
6,PV,A man is putting a bag inside a car.,inside,7.890625
6,PV,A man is putting a bag inside a car.,a,1.8935546875
6,PV,A man is putting a bag inside a car.,car.,7.373046875
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,12.296875
6,IV,A man is feeding a bag inside a car.,is,4.46484375
6,IV,A man is feeding a bag inside a car.,feeding,14.40625
6,IV,A man is feeding a bag inside a car.,a,2.1875
6,IV,A man is feeding a bag inside a car.,bag,11.296875
6,IV,A man is feeding a bag inside a car.,inside,12.625
6,IV,A man is feeding a bag inside a car.,a,1.28515625
6,IV,A man is feeding a bag inside a car.,car.,7.978515625
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,12.296875
6,IO,A man is putting a car inside a car.,is,4.46484375
6,IO,A man is putting a car inside a car.,putting,10.8125
6,IO,A man is putting a car inside a car.,a,3.177734375
6,IO,A man is putting a car inside a car.,car,8.5078125
6,IO,A man is putting a car inside a car.,inside,8.765625
6,IO,A man is putting a car inside a car.,a,1.533203125
6,IO,A man is putting a car inside a car.,car.,9.828125
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,13.7421875
7,PV,A woman is  putting a dish inside an oven.,is,4.5078125
7,PV,A woman is  putting a dish inside an oven.,putting,25.96875
7,PV,A woman is  putting a dish inside an oven.,a,3.404296875
7,PV,A woman is  putting a dish inside an oven.,dish,11.2265625
7,PV,A woman is  putting a dish inside an oven.,inside,8.9296875
7,PV,A woman is  putting a dish inside an oven.,an,5.83984375
7,PV,A woman is  putting a dish inside an oven.,oven.,4.5302734375
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,13.7421875
7,IV,A woman is entering an oven.,is,4.5078125
7,IV,A woman is entering an oven.,entering,11.578125
7,IV,A woman is entering an oven.,an,5.296875
7,IV,A woman is entering an oven.,oven.,13.89453125
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,13.7421875
7,IO,A woman is  putting a door inside an oven.,is,4.5078125
7,IO,A woman is  putting a door inside an oven.,putting,25.96875
7,IO,A woman is  putting a door inside an oven.,a,3.404296875
7,IO,A woman is  putting a door inside an oven.,door,12.6328125
7,IO,A woman is  putting a door inside an oven.,inside,10.0390625
7,IO,A woman is  putting a door inside an oven.,an,6.40234375
7,IO,A woman is  putting a door inside an oven.,oven.,8.546875
8,PV,A man is putting money in a piggy bank.,A,0.0
8,PV,A man is putting money in a piggy bank.,man,12.296875
8,PV,A man is putting money in a piggy bank.,is,4.46484375
8,PV,A man is putting money in a piggy bank.,putting,10.8125
8,PV,A man is putting money in a piggy bank.,money,7.39453125
8,PV,A man is putting money in a piggy bank.,in,2.412109375
8,PV,A man is putting money in a piggy bank.,a,3.1328125
8,PV,A man is putting money in a piggy bank.,piggy,7.8572998046875
