triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,12.25
0,PV,is,4.3125
0,PV,giving,5.5
0,PV,medicine,4.5
0,PV,to,0.5390625
0,PV,the,0.5390625
0,PV,old,4.59375
0,PV,woman.,5.046875
0,IV,The,0.0
0,IV,doctor,12.25
0,IV,is,4.3125
0,IV,welding,20.625
0,IV,medicine,13.8125
0,IV,to,1.984375
0,IV,the,2.796875
0,IV,old,6.28125
0,IV,woman.,7.765625
0,IO,The,0.0
0,IO,doctor,12.25
0,IO,is,4.3125
0,IO,giving,5.5
0,IO,fire,18.25
0,IO,to,2.53125
0,IO,the,1.078125
0,IO,old,7.3125
0,IO,woman.,4.515625
1,PV,A,0.0
1,PV,person,7.96875
1,PV,is,3.78125
1,PV,giving,10.8125
1,PV,bread,18.25
1,PV,to,0.5390625
1,PV,a,2.703125
1,PV,toddler.,15.703125
1,IV,A,0.0
1,IV,toddler,14.6875
1,IV,is,3.15625
1,IV,riding,8.625
1,IV,a,1.265625
1,IV,bread.,40.8125
1,IO,A,0.0
1,IO,person,7.96875
1,IO,is,3.78125
1,IO,giving,10.8125
1,IO,a,2.15625
1,IO,building,18.0
1,IO,to,6.3125
1,IO,a,1.984375
1,IO,toddler.,16.140625
2,PV,A,0.0
2,PV,man,6.90625
2,PV,is,3.34375
2,PV,giving,13.25
2,PV,a,1.53125
2,PV,gift,7.03125
2,PV,to,0.5390625
2,PV,a,1.984375
2,PV,child.,6.578125
2,IV,A,0.0
2,IV,man,6.90625
2,IV,is,3.34375
2,IV,cooking,15.625
2,IV,a,2.25
2,IV,gift,13.6875
2,IV,with,8.5625
2,IV,a,2.4375
2,IV,child.,12.625
2,IO,A,0.0
2,IO,man,6.90625
2,IO,is,3.34375
2,IO,giving,13.25
2,IO,a,1.53125
2,IO,bed,13.6875
2,IO,to,0.90234375
2,IO,a,1.4453125
2,IO,child.,6.2109375
3,PV,A,0.0
3,PV,woman,8.8125
3,PV,is,3.0625
3,PV,giving,10.25
3,PV,food,11.4375
3,PV,to,0.1806640625
3,PV,other,11.625
3,PV,people.,2.9765625
3,IV,A,0.0
3,IV,woman,8.8125
3,IV,is,3.0625
3,IV,ironing,17.0
3,IV,the,6.75
3,IV,food.,15.21875
3,IO,A,0.0
3,IO,woman,8.8125
3,IO,is,3.0625
3,IO,giving,10.25
3,IO,stones,18.0
3,IO,to,0.5390625
3,IO,other,8.25
3,IO,people.,2.52734375
4,PV,A,0.0
4,PV,person,7.96875
4,PV,is,3.78125
4,PV,giving,10.8125
4,PV,money,9.5625
4,PV,to,0.5390625
4,PV,another,8.9375
4,PV,person.,2.251953125
4,IV,A,0.0
4,IV,person,7.96875
4,IV,is,3.78125
4,IV,eating,10.4375
4,IV,money.,15.0625
4,IO,A,0.0
4,IO,person,7.96875
4,IO,is,3.78125
4,IO,giving,10.8125
4,IO,molten,21.578125
4,IO,lava,5.125
4,IO,to,1.53125
4,IO,another,3.0625
4,IO,person.,1.8916015625
5,PV,A,0.0
5,PV,person,7.96875
5,PV,is,3.78125
5,PV,putting,9.4375
5,PV,a,2.34375
5,PV,cellular,18.75
5,PV,telephone,2.96875
5,PV,inside,4.6875
5,PV,his,1.625
5,PV,pocket.,2.16796875
5,IV,A,0.0
5,IV,person,7.96875
5,IV,is,3.78125
5,IV,watering,14.0625
5,IV,a,2.15625
5,IV,cellular,17.25
5,IV,telephone.,14.40625
5,IO,A,0.0
5,IO,person,7.96875
5,IO,is,3.78125
5,IO,putting,9.4375
5,IO,a,2.34375
5,IO,gas,11.0625
5,IO,cylinder,6.3125
5,IO,inside,5.125
5,IO,his,3.515625
5,IO,pocket.,11.265625
6,PV,A,0.0
6,PV,man,6.90625
6,PV,is,3.34375
6,PV,putting,12.4375
6,PV,a,3.78125
6,PV,bag,11.875
6,PV,inside,8.5625
6,PV,a,0.5390625
6,PV,car.,7.93359375
6,IV,A,0.0
6,IV,man,6.90625
6,IV,is,3.34375
6,IV,feeding,18.5
6,IV,a,3.0625
6,IV,bag,11.0
6,IV,inside,16.0
6,IV,a,1.078125
6,IV,car.,8.578125
6,IO,A,0.0
6,IO,man,6.90625
6,IO,is,3.34375
6,IO,putting,12.4375
6,IO,a,3.78125
6,IO,car,10.5625
6,IO,inside,8.5
6,IO,a,0.361328125
6,IO,car.,10.0
7,PV,A,0.0
7,PV,woman,8.8125
7,PV,is,3.0625
7,PV,putting,31.265625
7,PV,a,7.125
7,PV,dish,12.25
7,PV,inside,10.4375
7,PV,an,3.421875
7,PV,oven.,1.6259765625
7,IV,A,0.0
7,IV,woman,8.8125
7,IV,is,3.0625
7,IV,entering,13.875
7,IV,an,3.78125
7,IV,oven.,17.40625
7,IO,A,0.0
7,IO,woman,8.8125
7,IO,is,3.0625
7,IO,putting,31.265625
7,IO,a,7.125
7,IO,door,11.875
7,IO,inside,6.75
7,IO,an,4.3125
7,IO,oven.,15.390625
8,PV,A,0.0
8,PV,man,6.90625
8,PV,is,3.34375
8,PV,putting,12.4375
8,PV,money,3.34375
8,PV,in,2.53125
8,PV,a,2.703125
8,PV,piggy,2.15625
8,PV,bank.,0.361328125
8,IV,A,0.0
