triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,11.5
0,PV,The doctor is giving medicine to the old woman.,is,4.59375
0,PV,The doctor is giving medicine to the old woman.,giving,7.75
0,PV,The doctor is giving medicine to the old woman.,medicine,7.3125
0,PV,The doctor is giving medicine to the old woman.,to,0.90234375
0,PV,The doctor is giving medicine to the old woman.,the,1.078125
0,PV,The doctor is giving medicine to the old woman.,old,6.21875
0,PV,The doctor is giving medicine to the old woman.,woman.,3.42578125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,11.5
0,IV,The doctor is welding medicine to the old woman.,is,4.59375
0,IV,The doctor is welding medicine to the old woman.,welding,19.25
0,IV,The doctor is welding medicine to the old woman.,medicine,13.6875
0,IV,The doctor is welding medicine to the old woman.,to,2.890625
0,IV,The doctor is welding medicine to the old woman.,the,1.8046875
0,IV,The doctor is welding medicine to the old woman.,old,8.5
0,IV,The doctor is welding medicine to the old woman.,woman.,5.234375
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,11.5
0,IO,The doctor is giving fire to the old woman.,is,4.59375
0,IO,The doctor is giving fire to the old woman.,giving,7.75
0,IO,The doctor is giving fire to the old woman.,fire,17.625
0,IO,The doctor is giving fire to the old woman.,to,1.8046875
0,IO,The doctor is giving fire to the old woman.,the,1.265625
0,IO,The doctor is giving fire to the old woman.,old,8.5625
0,IO,The doctor is giving fire to the old woman.,woman.,4.6953125
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,11.125
1,PV,A person is giving bread to a toddler.,is,3.703125
1,PV,A person is giving bread to a toddler.,giving,10.5625
1,PV,A person is giving bread to a toddler.,bread,11.875
1,PV,A person is giving bread to a toddler.,to,0.361328125
1,PV,A person is giving bread to a toddler.,a,1.4453125
1,PV,A person is giving bread to a toddler.,toddler.,13.2578125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,18.0
1,IV,A toddler is riding a  bread.,is,3.515625
1,IV,A toddler is riding a  bread.,riding,8.0
1,IV,A toddler is riding a  bread.,a,1.4453125
1,IV,A toddler is riding a  bread.,bread.,29.5
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,11.125
1,IO,A person is giving a building to a toddler.,is,3.703125
1,IO,A person is giving a building to a toddler.,giving,10.5625
1,IO,A person is giving a building to a toddler.,a,1.984375
1,IO,A person is giving a building to a toddler.,building,11.625
1,IO,A person is giving a building to a toddler.,to,2.890625
1,IO,A person is giving a building to a toddler.,a,1.625
1,IO,A person is giving a building to a toddler.,toddler.,18.734375
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,10.4375
2,PV,A man is giving a gift to a child.,is,3.78125
2,PV,A man is giving a gift to a child.,giving,9.3125
2,PV,A man is giving a gift to a child.,a,1.265625
2,PV,A man is giving a gift to a child.,gift,6.9375
2,PV,A man is giving a gift to a child.,to,0.90234375
2,PV,A man is giving a gift to a child.,a,1.265625
2,PV,A man is giving a gift to a child.,child.,4.859375
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,10.4375
2,IV,A man is cooking a gift with a child.,is,3.78125
2,IV,A man is cooking a gift with a child.,cooking,10.5625
2,IV,A man is cooking a gift with a child.,a,2.703125
2,IV,A man is cooking a gift with a child.,gift,14.6875
2,IV,A man is cooking a gift with a child.,with,7.3125
2,IV,A man is cooking a gift with a child.,a,1.8046875
2,IV,A man is cooking a gift with a child.,child.,9.4609375
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,10.4375
2,IO,A man is giving a bed to a child.,is,3.78125
2,IO,A man is giving a bed to a child.,giving,9.3125
2,IO,A man is giving a bed to a child.,a,1.265625
2,IO,A man is giving a bed to a child.,bed,10.75
2,IO,A man is giving a bed to a child.,to,1.4453125
2,IO,A man is giving a bed to a child.,a,0.90234375
2,IO,A man is giving a bed to a child.,child.,5.953125
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,12.4375
3,PV,A woman is giving food to other people.,is,3.96875
3,PV,A woman is giving food to other people.,giving,7.84375
3,PV,A woman is giving food to other people.,food,8.8125
3,PV,A woman is giving food to other people.,to,0.1806640625
3,PV,A woman is giving food to other people.,other,7.9375
3,PV,A woman is giving food to other people.,people.,2.5234375
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,12.4375
3,IV,A woman is ironing the food.,is,3.96875
3,IV,A woman is ironing the food.,ironing,12.625
3,IV,A woman is ironing the food.,the,5.5
3,IV,A woman is ironing the food.,food.,15.21875
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,12.4375
3,IO,A woman is giving stones to other people.,is,3.96875
3,IO,A woman is giving stones to other people.,giving,7.84375
3,IO,A woman is giving stones to other people.,stones,18.375
3,IO,A woman is giving stones to other people.,to,0.5390625
3,IO,A woman is giving stones to other people.,other,6.40625
3,IO,A woman is giving stones to other people.,people.,3.05859375
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,11.125
4,PV,A person is giving money to another person.,is,3.703125
4,PV,A person is giving money to another person.,giving,10.5625
4,PV,A person is giving money to another person.,money,6.03125
4,PV,A person is giving money to another person.,to,0.5390625
4,PV,A person is giving money to another person.,another,4.6875
4,PV,A person is giving money to another person.,person.,2.1640625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,11.125
4,IV,A person is eating money.,is,3.703125
4,IV,A person is eating money.,eating,8.3125
4,IV,A person is eating money.,money.,16.171875
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,11.125
4,IO,A person is giving molten lava to another person.,is,3.703125
4,IO,A person is giving molten lava to another person.,giving,10.5625
4,IO,A person is giving molten lava to another person.,molten,19.671875
4,IO,A person is giving molten lava to another person.,lava,6.59375
4,IO,A person is giving molten lava to another person.,to,1.265625
4,IO,A person is giving molten lava to another person.,another,3.25
4,IO,A person is giving molten lava to another person.,person.,1.4462890625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,11.125
5,PV,A person is putting a cellular telephone inside his pocket.,is,3.703125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,11.25
5,PV,A person is putting a cellular telephone inside his pocket.,a,2.34375
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,14.6875
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,2.53125
5,PV,A person is putting a cellular telephone inside his pocket.,inside,5.40625
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.96875
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,3.0703125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,11.125
5,IV,A person is watering a cellular telephone.,is,3.703125
5,IV,A person is watering a cellular telephone.,watering,15.3125
5,IV,A person is watering a cellular telephone.,a,1.8046875
5,IV,A person is watering a cellular telephone.,cellular,20.0
5,IV,A person is watering a cellular telephone.,telephone.,6.59375
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,11.125
5,IO,A person is putting a gas cylinder inside his pocket.,is,3.703125
5,IO,A person is putting a gas cylinder inside his pocket.,putting,11.25
5,IO,A person is putting a gas cylinder inside his pocket.,a,2.34375
5,IO,A person is putting a gas cylinder inside his pocket.,gas,9.1875
