triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,10.1015625
0,PV,The doctor is giving medicine to the old woman.,is,4.328125
0,PV,The doctor is giving medicine to the old woman.,giving,8.65625
0,PV,The doctor is giving medicine to the old woman.,medicine,12.984375
0,PV,The doctor is giving medicine to the old woman.,to,1.4423828125
0,PV,The doctor is giving medicine to the old woman.,the,2.884765625
0,PV,The doctor is giving medicine to the old woman.,old,10.1015625
0,PV,The doctor is giving medicine to the old woman.,woman.,7.212890625
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,10.1015625
0,IV,The doctor is welding medicine to the old woman.,is,4.328125
0,IV,The doctor is welding medicine to the old woman.,welding,18.75
0,IV,The doctor is welding medicine to the old woman.,medicine,11.5390625
0,IV,The doctor is welding medicine to the old woman.,to,2.884765625
0,IV,The doctor is welding medicine to the old woman.,the,1.4423828125
0,IV,The doctor is welding medicine to the old woman.,old,10.1015625
0,IV,The doctor is welding medicine to the old woman.,woman.,10.0986328125
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,10.1015625
0,IO,The doctor is giving fire to the old woman.,is,4.328125
0,IO,The doctor is giving fire to the old woman.,giving,8.65625
0,IO,The doctor is giving fire to the old woman.,fire,17.3125
0,IO,The doctor is giving fire to the old woman.,to,1.4423828125
0,IO,The doctor is giving fire to the old woman.,the,1.4423828125
0,IO,The doctor is giving fire to the old woman.,old,11.5390625
0,IO,The doctor is giving fire to the old woman.,woman.,7.212890625
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,14.4296875
1,PV,A person is giving bread to a toddler.,is,4.328125
1,PV,A person is giving bread to a toddler.,giving,11.5390625
1,PV,A person is giving bread to a toddler.,bread,12.984375
1,PV,A person is giving bread to a toddler.,to,1.4423828125
1,PV,A person is giving bread to a toddler.,a,2.884765625
1,PV,A person is giving bread to a toddler.,toddler.,17.314453125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,20.203125
1,IV,A toddler is riding a  bread.,is,4.328125
1,IV,A toddler is riding a  bread.,riding,11.5390625
1,IV,A toddler is riding a  bread.,a,1.4423828125
1,IV,A toddler is riding a  bread.,bread.,31.7421875
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,14.4296875
1,IO,A person is giving a building to a toddler.,is,4.328125
1,IO,A person is giving a building to a toddler.,giving,11.5390625
1,IO,A person is giving a building to a toddler.,a,2.884765625
1,IO,A person is giving a building to a toddler.,building,12.984375
1,IO,A person is giving a building to a toddler.,to,2.884765625
1,IO,A person is giving a building to a toddler.,a,2.884765625
1,IO,A person is giving a building to a toddler.,toddler.,18.751953125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,15.8671875
2,PV,A man is giving a gift to a child.,is,4.328125
2,PV,A man is giving a gift to a child.,giving,11.5390625
2,PV,A man is giving a gift to a child.,a,2.884765625
2,PV,A man is giving a gift to a child.,gift,7.21484375
2,PV,A man is giving a gift to a child.,to,1.4423828125
2,PV,A man is giving a gift to a child.,a,2.884765625
2,PV,A man is giving a gift to a child.,child.,8.654296875
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,15.8671875
2,IV,A man is cooking a gift with a child.,is,4.328125
2,IV,A man is cooking a gift with a child.,cooking,15.8671875
2,IV,A man is cooking a gift with a child.,a,2.884765625
2,IV,A man is cooking a gift with a child.,gift,11.5390625
2,IV,A man is cooking a gift with a child.,with,4.328125
2,IV,A man is cooking a gift with a child.,a,1.4423828125
2,IV,A man is cooking a gift with a child.,child.,11.541015625
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,15.8671875
2,IO,A man is giving a bed to a child.,is,4.328125
2,IO,A man is giving a bed to a child.,giving,11.5390625
2,IO,A man is giving a bed to a child.,a,2.884765625
2,IO,A man is giving a bed to a child.,bed,14.4296875
2,IO,A man is giving a bed to a child.,to,2.884765625
2,IO,A man is giving a bed to a child.,a,2.884765625
2,IO,A man is giving a bed to a child.,child.,8.654296875
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,15.8671875
3,PV,A woman is giving food to other people.,is,2.884765625
3,PV,A woman is giving food to other people.,giving,10.1015625
3,PV,A woman is giving food to other people.,food,10.1015625
3,PV,A woman is giving food to other people.,to,1.4423828125
3,PV,A woman is giving food to other people.,other,7.21484375
3,PV,A woman is giving food to other people.,people.,4.3271484375
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,15.8671875
3,IV,A woman is ironing the food.,is,2.884765625
3,IV,A woman is ironing the food.,ironing,20.1953125
3,IV,A woman is ironing the food.,the,4.328125
3,IV,A woman is ironing the food.,food.,11.541015625
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,15.8671875
3,IO,A woman is giving stones to other people.,is,2.884765625
3,IO,A woman is giving stones to other people.,giving,10.1015625
3,IO,A woman is giving stones to other people.,stones,12.984375
3,IO,A woman is giving stones to other people.,to,1.4423828125
3,IO,A woman is giving stones to other people.,other,8.65625
3,IO,A woman is giving stones to other people.,people.,5.76953125
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,14.4296875
4,PV,A person is giving money to another person.,is,4.328125
4,PV,A person is giving money to another person.,giving,11.5390625
4,PV,A person is giving money to another person.,money,7.21484375
4,PV,A person is giving money to another person.,to,1.4423828125
4,PV,A person is giving money to another person.,another,5.76953125
4,PV,A person is giving money to another person.,person.,4.3271484375
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,14.4296875
4,IV,A person is eating money.,is,4.328125
4,IV,A person is eating money.,eating,14.4296875
4,IV,A person is eating money.,money.,14.423828125
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,14.4296875
4,IO,A person is giving molten lava to another person.,is,4.328125
4,IO,A person is giving molten lava to another person.,giving,11.5390625
4,IO,A person is giving molten lava to another person.,molten,17.3125
4,IO,A person is giving molten lava to another person.,lava,8.65625
4,IO,A person is giving molten lava to another person.,to,1.4423828125
4,IO,A person is giving molten lava to another person.,another,8.65625
4,IO,A person is giving molten lava to another person.,person.,8.654296875
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,14.4296875
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.328125
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.984375
5,PV,A person is putting a cellular telephone inside his pocket.,a,2.884765625
