triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,11.103856086730957
0,PV,The doctor is giving medicine to the old woman.,is,4.93009614944458
0,PV,The doctor is giving medicine to the old woman.,giving,9.902793884277344
0,PV,The doctor is giving medicine to the old woman.,medicine,8.289682388305664
0,PV,The doctor is giving medicine to the old woman.,to,0.9186845421791077
0,PV,The doctor is giving medicine to the old woman.,the,2.103013515472412
0,PV,The doctor is giving medicine to the old woman.,old,9.024520874023438
0,PV,The doctor is giving medicine to the old woman.,woman.,4.454590082168579
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,11.103856086730957
0,IV,The doctor is welding medicine to the old woman.,is,4.93009614944458
0,IV,The doctor is welding medicine to the old woman.,welding,21.056650161743164
0,IV,The doctor is welding medicine to the old woman.,medicine,15.040404319763184
0,IV,The doctor is welding medicine to the old woman.,to,3.6414945125579834
0,IV,The doctor is welding medicine to the old woman.,the,1.5399574041366577
0,IV,The doctor is welding medicine to the old woman.,old,10.319929122924805
0,IV,The doctor is welding medicine to the old woman.,woman.,8.895779371261597
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,11.103856086730957
0,IO,The doctor is giving fire to the old woman.,is,4.93009614944458
0,IO,The doctor is giving fire to the old woman.,giving,9.902793884277344
0,IO,The doctor is giving fire to the old woman.,fire,16.646900177001953
0,IO,The doctor is giving fire to the old woman.,to,2.4933907985687256
0,IO,The doctor is giving fire to the old woman.,the,1.2614996433258057
0,IO,The doctor is giving fire to the old woman.,old,7.499228000640869
0,IO,The doctor is giving fire to the old woman.,woman.,8.622940301895142
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,8.210667610168457
1,PV,A person is giving bread to a toddler.,is,4.346623420715332
1,PV,A person is giving bread to a toddler.,giving,13.069499969482422
1,PV,A person is giving bread to a toddler.,bread,12.08387279510498
1,PV,A person is giving bread to a toddler.,to,0.5133558511734009
1,PV,A person is giving bread to a toddler.,a,1.0120890140533447
1,PV,A person is giving bread to a toddler.,toddler.,12.771507024765015
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,15.177861213684082
1,IV,A toddler is riding a  bread.,is,3.037188768386841
1,IV,A toddler is riding a  bread.,riding,11.692076683044434
1,IV,A toddler is riding a  bread.,a,1.7166509628295898
1,IV,A toddler is riding a  bread.,bread.,42.26169490814209
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,8.210667610168457
1,IO,A person is giving a building to a toddler.,is,4.346623420715332
1,IO,A person is giving a building to a toddler.,giving,13.069499969482422
1,IO,A person is giving a building to a toddler.,a,1.9095715284347534
1,IO,A person is giving a building to a toddler.,building,11.365092277526855
1,IO,A person is giving a building to a toddler.,to,3.3396663665771484
1,IO,A person is giving a building to a toddler.,a,1.730371117591858
1,IO,A person is giving a building to a toddler.,toddler.,18.527226209640503
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,9.926037788391113
2,PV,A man is giving a gift to a child.,is,3.7895565032958984
2,PV,A man is giving a gift to a child.,giving,12.697376251220703
2,PV,A man is giving a gift to a child.,a,1.4189586639404297
2,PV,A man is giving a gift to a child.,gift,5.850233554840088
2,PV,A man is giving a gift to a child.,to,0.7069147229194641
2,PV,A man is giving a gift to a child.,a,1.370101809501648
2,PV,A man is giving a gift to a child.,child.,5.631903529167175
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,9.926037788391113
2,IV,A man is cooking a gift with a child.,is,3.7895565032958984
2,IV,A man is cooking a gift with a child.,cooking,14.313210487365723
2,IV,A man is cooking a gift with a child.,a,2.9700331687927246
2,IV,A man is cooking a gift with a child.,gift,13.593269348144531
2,IV,A man is cooking a gift with a child.,with,7.374690532684326
