triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,10.1015625
0,PV,is,4.328125
0,PV,giving,8.65625
0,PV,medicine,12.984375
0,PV,to,1.4423828125
0,PV,the,2.884765625
0,PV,old,10.1015625
0,PV,woman.,7.212890625
0,IV,The,0.0
0,IV,doctor,10.1015625
0,IV,is,4.328125
0,IV,welding,18.75
0,IV,medicine,11.5390625
0,IV,to,2.884765625
0,IV,the,1.4423828125
0,IV,old,10.1015625
0,IV,woman.,10.0986328125
0,IO,The,0.0
0,IO,doctor,10.1015625
0,IO,is,4.328125
0,IO,giving,8.65625
0,IO,fire,17.3125
0,IO,to,1.4423828125
0,IO,the,1.4423828125
0,IO,old,11.5390625
0,IO,woman.,7.212890625
1,PV,A,0.0
1,PV,person,14.4296875
1,PV,is,4.328125
1,PV,giving,11.5390625
1,PV,bread,12.984375
1,PV,to,1.4423828125
1,PV,a,2.884765625
1,PV,toddler.,17.314453125
1,IV,A,0.0
1,IV,toddler,20.203125
1,IV,is,4.328125
1,IV,riding,11.5390625
1,IV,a,1.4423828125
1,IV,bread.,31.7421875
1,IO,A,0.0
1,IO,person,14.4296875
1,IO,is,4.328125
1,IO,giving,11.5390625
1,IO,a,2.884765625
1,IO,building,12.984375
1,IO,to,2.884765625
1,IO,a,2.884765625
1,IO,toddler.,18.751953125
2,PV,A,0.0
2,PV,man,15.8671875
2,PV,is,4.328125
2,PV,giving,11.5390625
2,PV,a,2.884765625
2,PV,gift,7.21484375
2,PV,to,1.4423828125
2,PV,a,2.884765625
2,PV,child.,8.654296875
2,IV,A,0.0
2,IV,man,15.8671875
2,IV,is,4.328125
2,IV,cooking,15.8671875
2,IV,a,2.884765625
2,IV,gift,11.5390625
2,IV,with,4.328125
2,IV,a,1.4423828125
2,IV,child.,11.541015625
2,IO,A,0.0
2,IO,man,15.8671875
2,IO,is,4.328125
2,IO,giving,11.5390625
2,IO,a,2.884765625
2,IO,bed,14.4296875
2,IO,to,2.884765625
2,IO,a,2.884765625
2,IO,child.,8.654296875
3,PV,A,0.0
3,PV,woman,15.8671875
3,PV,is,2.884765625
3,PV,giving,10.1015625
3,PV,food,10.1015625
3,PV,to,1.4423828125
3,PV,other,7.21484375
3,PV,people.,4.3271484375
3,IV,A,0.0
3,IV,woman,15.8671875
3,IV,is,2.884765625
3,IV,ironing,20.1953125
3,IV,the,4.328125
3,IV,food.,11.541015625
3,IO,A,0.0
3,IO,woman,15.8671875
3,IO,is,2.884765625
3,IO,giving,10.1015625
3,IO,stones,12.984375
3,IO,to,1.4423828125
3,IO,other,8.65625
3,IO,people.,5.76953125
4,PV,A,0.0
4,PV,person,14.4296875
4,PV,is,4.328125
4,PV,giving,11.5390625
4,PV,money,7.21484375
4,PV,to,1.4423828125
4,PV,another,5.76953125
4,PV,person.,4.3271484375
4,IV,A,0.0
4,IV,person,14.4296875
4,IV,is,4.328125
4,IV,eating,14.4296875
4,IV,money.,14.423828125
4,IO,A,0.0
4,IO,person,14.4296875
4,IO,is,4.328125
4,IO,giving,11.5390625
4,IO,molten,17.3125
4,IO,lava,8.65625
4,IO,to,1.4423828125
4,IO,another,8.65625
4,IO,person.,8.654296875
5,PV,A,0.0
5,PV,person,14.4296875
5,PV,is,4.328125
5,PV,putting,12.984375
5,PV,a,2.884765625
5,PV,cellular,15.8671875
5,PV,telephone,5.76953125
5,PV,inside,10.1015625
5,PV,his,4.328125
5,PV,pocket.,7.212890625
5,IV,A,0.0
5,IV,person,14.4296875
5,IV,is,4.328125
5,IV,watering,17.314453125
5,IV,a,4.328125
5,IV,cellular,14.4296875
5,IV,telephone.,8.65625
5,IO,A,0.0
