triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,12.265625
0,PV,The doctor is giving medicine to the old woman.,is,4.328125
0,PV,The doctor is giving medicine to the old woman.,giving,9.015625
0,PV,The doctor is giving medicine to the old woman.,medicine,9.375
0,PV,The doctor is giving medicine to the old woman.,to,1.4423828125
0,PV,The doctor is giving medicine to the old woman.,the,2.884765625
0,PV,The doctor is giving medicine to the old woman.,old,9.375
0,PV,The doctor is giving medicine to the old woman.,woman.,6.1328125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,12.265625
0,IV,The doctor is welding medicine to the old woman.,is,4.328125
0,IV,The doctor is welding medicine to the old woman.,welding,19.109375
0,IV,The doctor is welding medicine to the old woman.,medicine,14.4296875
0,IV,The doctor is welding medicine to the old woman.,to,3.24609375
0,IV,The doctor is welding medicine to the old woman.,the,2.1640625
0,IV,The doctor is welding medicine to the old woman.,old,11.1796875
0,IV,The doctor is welding medicine to the old woman.,woman.,8.654296875
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,12.265625
0,IO,The doctor is giving fire to the old woman.,is,4.328125
0,IO,The doctor is giving fire to the old woman.,giving,9.015625
0,IO,The doctor is giving fire to the old woman.,fire,15.1484375
0,IO,The doctor is giving fire to the old woman.,to,4.328125
0,IO,The doctor is giving fire to the old woman.,the,1.4423828125
0,IO,The doctor is giving fire to the old woman.,old,9.015625
0,IO,The doctor is giving fire to the old woman.,woman.,6.8515625
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,14.0625
1,PV,A person is giving bread to a toddler.,is,4.6875
1,PV,A person is giving bread to a toddler.,giving,12.265625
1,PV,A person is giving bread to a toddler.,bread,15.8671875
1,PV,A person is giving bread to a toddler.,to,1.08203125
1,PV,A person is giving bread to a toddler.,a,1.8037109375
1,PV,A person is giving bread to a toddler.,toddler.,14.42578125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,18.39306640625
1,IV,A toddler is riding a  bread.,is,3.607421875
1,IV,A toddler is riding a  bread.,riding,12.265625
1,IV,A toddler is riding a  bread.,a,1.8037109375
1,IV,A toddler is riding a  bread.,bread.,45.796875
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,14.0625
1,IO,A person is giving a building to a toddler.,is,4.6875
1,IO,A person is giving a building to a toddler.,giving,12.265625
1,IO,A person is giving a building to a toddler.,a,2.525390625
1,IO,A person is giving a building to a toddler.,building,13.703125
1,IO,A person is giving a building to a toddler.,to,6.1328125
1,IO,A person is giving a building to a toddler.,a,1.8037109375
1,IO,A person is giving a building to a toddler.,toddler.,16.587890625
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,11.8984375
2,PV,A man is giving a gift to a child.,is,4.6875
2,PV,A man is giving a gift to a child.,giving,10.4609375
2,PV,A man is giving a gift to a child.,a,2.1640625
2,PV,A man is giving a gift to a child.,gift,8.65625
2,PV,A man is giving a gift to a child.,to,0.72119140625
2,PV,A man is giving a gift to a child.,a,1.4423828125
2,PV,A man is giving a gift to a child.,child.,7.212890625
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,11.8984375
2,IV,A man is cooking a gift with a child.,is,4.6875
2,IV,A man is cooking a gift with a child.,cooking,12.984375
2,IV,A man is cooking a gift with a child.,a,2.525390625
2,IV,A man is cooking a gift with a child.,gift,12.265625
2,IV,A man is cooking a gift with a child.,with,6.1328125
2,IV,A man is cooking a gift with a child.,a,2.1640625
2,IV,A man is cooking a gift with a child.,child.,11.1796875
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,11.8984375
2,IO,A man is giving a bed to a child.,is,4.6875
2,IO,A man is giving a bed to a child.,giving,10.4609375
2,IO,A man is giving a bed to a child.,a,2.1640625
2,IO,A man is giving a bed to a child.,bed,12.625
2,IO,A man is giving a bed to a child.,to,2.525390625
2,IO,A man is giving a bed to a child.,a,0.72119140625
2,IO,A man is giving a bed to a child.,child.,7.57421875
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,14.0625
3,PV,A woman is giving food to other people.,is,4.6875
3,PV,A woman is giving food to other people.,giving,10.1015625
3,PV,A woman is giving food to other people.,food,10.4609375
3,PV,A woman is giving food to other people.,to,0.72119140625
3,PV,A woman is giving food to other people.,other,8.65625
3,PV,A woman is giving food to other people.,people.,5.771484375
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,14.0625
3,IV,A woman is ironing the food.,is,4.6875
3,IV,A woman is ironing the food.,ironing,21.64453125
3,IV,A woman is ironing the food.,the,3.966796875
3,IV,A woman is ironing the food.,food.,13.341796875
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,14.0625
3,IO,A woman is giving stones to other people.,is,4.6875
3,IO,A woman is giving stones to other people.,giving,10.1015625
3,IO,A woman is giving stones to other people.,stones,16.234375
3,IO,A woman is giving stones to other people.,to,1.08203125
3,IO,A woman is giving stones to other people.,other,9.015625
3,IO,A woman is giving stones to other people.,people.,6.8515625
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,14.0625
4,PV,A person is giving money to another person.,is,4.6875
4,PV,A person is giving money to another person.,giving,12.265625
4,PV,A person is giving money to another person.,money,7.57421875
4,PV,A person is giving money to another person.,to,0.72119140625
4,PV,A person is giving money to another person.,another,3.966796875
4,PV,A person is giving money to another person.,person.,4.32861328125
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,14.0625
4,IV,A person is eating money.,is,4.6875
4,IV,A person is eating money.,eating,14.0625
4,IV,A person is eating money.,money.,15.505859375
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,14.0625
4,IO,A person is giving molten lava to another person.,is,4.6875
4,IO,A person is giving molten lava to another person.,giving,12.265625
4,IO,A person is giving molten lava to another person.,molten,21.2734375
4,IO,A person is giving molten lava to another person.,lava,10.1015625
4,IO,A person is giving molten lava to another person.,to,1.8037109375
4,IO,A person is giving molten lava to another person.,another,5.05078125
4,IO,A person is giving molten lava to another person.,person.,3.60595703125
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,14.0625
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.6875
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.265625
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.24609375
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,15.1484375
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,3.607421875
5,PV,A person is putting a cellular telephone inside his pocket.,inside,5.41015625
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.607421875
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,9.376953125
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,14.0625
5,IV,A person is watering a cellular telephone.,is,4.6875
5,IV,A person is watering a cellular telephone.,watering,18.03515625
5,IV,A person is watering a cellular telephone.,a,3.24609375
5,IV,A person is watering a cellular telephone.,cellular,18.03125
5,IV,A person is watering a cellular telephone.,telephone.,14.068359375
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,14.0625
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.6875
5,IO,A person is putting a gas cylinder inside his pocket.,putting,12.265625
5,IO,A person is putting a gas cylinder inside his pocket.,a,3.24609375
5,IO,A person is putting a gas cylinder inside his pocket.,gas,11.8984375
5,IO,A person is putting a gas cylinder inside his pocket.,cylinder,7.93359375
5,IO,A person is putting a gas cylinder inside his pocket.,inside,6.4921875
5,IO,A person is putting a gas cylinder inside his pocket.,his,4.328125
5,IO,A person is putting a gas cylinder inside his pocket.,pocket.,9.015625
6,PV,A man is putting a bag inside a car.,A,0.0
6,PV,A man is putting a bag inside a car.,man,11.8984375
6,PV,A man is putting a bag inside a car.,is,4.6875
6,PV,A man is putting a bag inside a car.,putting,10.1015625
6,PV,A man is putting a bag inside a car.,a,2.884765625
6,PV,A man is putting a bag inside a car.,bag,8.65625
6,PV,A man is putting a bag inside a car.,inside,5.41015625
6,PV,A man is putting a bag inside a car.,a,1.4423828125
6,PV,A man is putting a bag inside a car.,car.,6.853515625
6,IV,A man is feeding a bag inside a car.,A,0.0
6,IV,A man is feeding a bag inside a car.,man,11.8984375
6,IV,A man is feeding a bag inside a car.,is,4.6875
6,IV,A man is feeding a bag inside a car.,feeding,13.34375
6,IV,A man is feeding a bag inside a car.,a,2.525390625
6,IV,A man is feeding a bag inside a car.,bag,9.375
6,IV,A man is feeding a bag inside a car.,inside,11.1796875
6,IV,A man is feeding a bag inside a car.,a,1.4423828125
6,IV,A man is feeding a bag inside a car.,car.,8.6552734375
6,IO,A man is putting a car inside a car.,A,0.0
6,IO,A man is putting a car inside a car.,man,11.8984375
6,IO,A man is putting a car inside a car.,is,4.6875
6,IO,A man is putting a car inside a car.,putting,10.1015625
6,IO,A man is putting a car inside a car.,a,2.884765625
6,IO,A man is putting a car inside a car.,car,7.57421875
6,IO,A man is putting a car inside a car.,inside,8.296875
6,IO,A man is putting a car inside a car.,a,1.8037109375
6,IO,A man is putting a car inside a car.,car.,5.41015625
7,PV,A woman is  putting a dish inside an oven.,A,0.0
7,PV,A woman is  putting a dish inside an oven.,woman,14.0625
7,PV,A woman is  putting a dish inside an oven.,is,4.6875
7,PV,A woman is  putting a dish inside an oven.,putting,26.328125
7,PV,A woman is  putting a dish inside an oven.,a,3.24609375
7,PV,A woman is  putting a dish inside an oven.,dish,10.8203125
7,PV,A woman is  putting a dish inside an oven.,inside,7.93359375
7,PV,A woman is  putting a dish inside an oven.,an,5.76953125
7,PV,A woman is  putting a dish inside an oven.,oven.,4.689453125
7,IV,A woman is entering an oven.,A,0.0
7,IV,A woman is entering an oven.,woman,14.0625
7,IV,A woman is entering an oven.,is,4.6875
7,IV,A woman is entering an oven.,entering,12.984375
7,IV,A woman is entering an oven.,an,5.05078125
7,IV,A woman is entering an oven.,oven.,14.06640625
7,IO,A woman is  putting a door inside an oven.,A,0.0
7,IO,A woman is  putting a door inside an oven.,woman,14.0625
