triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,14.3125
0,PV,The doctor is giving medicine to the old woman.,is,4.875
0,PV,The doctor is giving medicine to the old woman.,giving,6.125
0,PV,The doctor is giving medicine to the old woman.,medicine,6.84375
0,PV,The doctor is giving medicine to the old woman.,to,0.72265625
0,PV,The doctor is giving medicine to the old woman.,the,1.4453125
0,PV,The doctor is giving medicine to the old woman.,old,6.84375
0,PV,The doctor is giving medicine to the old woman.,woman.,5.953125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,14.3125
0,IV,The doctor is welding medicine to the old woman.,is,4.875
0,IV,The doctor is welding medicine to the old woman.,welding,16.625
0,IV,The doctor is welding medicine to the old woman.,medicine,11.4375
0,IV,The doctor is welding medicine to the old woman.,to,2.703125
0,IV,The doctor is welding medicine to the old woman.,the,1.8046875
0,IV,The doctor is welding medicine to the old woman.,old,7.125
0,IV,The doctor is welding medicine to the old woman.,woman.,9.015625
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,14.3125
0,IO,The doctor is giving fire to the old woman.,is,4.875
0,IO,The doctor is giving fire to the old woman.,giving,6.125
0,IO,The doctor is giving fire to the old woman.,fire,16.375
0,IO,The doctor is giving fire to the old woman.,to,4.3125
0,IO,The doctor is giving fire to the old woman.,the,1.265625
0,IO,The doctor is giving fire to the old woman.,old,7.75
0,IO,The doctor is giving fire to the old woman.,woman.,5.953125
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,7.65625
1,PV,A person is giving bread to a toddler.,is,3.609375
1,PV,A person is giving bread to a toddler.,giving,11.0
1,PV,A person is giving bread to a toddler.,bread,11.0625
1,PV,A person is giving bread to a toddler.,to,0.361328125
1,PV,A person is giving bread to a toddler.,a,1.265625
1,PV,A person is giving bread to a toddler.,toddler.,12.015625
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,17.125
1,IV,A toddler is riding a  bread.,is,2.53125
1,IV,A toddler is riding a  bread.,riding,7.03125
1,IV,A toddler is riding a  bread.,a,0.72265625
1,IV,A toddler is riding a  bread.,bread.,43.40625
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,7.65625
1,IO,A person is giving a building to a toddler.,is,3.609375
1,IO,A person is giving a building to a toddler.,giving,11.0
1,IO,A person is giving a building to a toddler.,a,0.90234375
1,IO,A person is giving a building to a toddler.,building,15.625
1,IO,A person is giving a building to a toddler.,to,3.421875
1,IO,A person is giving a building to a toddler.,a,1.625
1,IO,A person is giving a building to a toddler.,toddler.,19.8203125
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,7.03125
2,PV,A man is giving a gift to a child.,is,3.421875
2,PV,A man is giving a gift to a child.,giving,14.1875
2,PV,A man is giving a gift to a child.,a,0.72265625
2,PV,A man is giving a gift to a child.,gift,7.03125
2,PV,A man is giving a gift to a child.,to,0.5390625
2,PV,A man is giving a gift to a child.,a,1.625
2,PV,A man is giving a gift to a child.,child.,4.32421875
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,7.03125
2,IV,A man is cooking a gift with a child.,is,3.421875
2,IV,A man is cooking a gift with a child.,cooking,14.6875
2,IV,A man is cooking a gift with a child.,a,3.96875
2,IV,A man is cooking a gift with a child.,gift,13.4375
2,IV,A man is cooking a gift with a child.,with,6.6875
2,IV,A man is cooking a gift with a child.,a,3.421875
2,IV,A man is cooking a gift with a child.,child.,13.15625
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,7.03125
2,IO,A man is giving a bed to a child.,is,3.421875
2,IO,A man is giving a bed to a child.,giving,14.1875
2,IO,A man is giving a bed to a child.,a,0.72265625
2,IO,A man is giving a bed to a child.,bed,13.0
2,IO,A man is giving a bed to a child.,to,1.984375
2,IO,A man is giving a bed to a child.,a,1.265625
2,IO,A man is giving a bed to a child.,child.,6.140625
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,9.4375
3,PV,A woman is giving food to other people.,is,2.890625
3,PV,A woman is giving food to other people.,giving,10.8125
3,PV,A woman is giving food to other people.,food,11.375
3,PV,A woman is giving food to other people.,to,0.361328125
3,PV,A woman is giving food to other people.,other,9.5625
3,PV,A woman is giving food to other people.,people.,4.875
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,9.4375
3,IV,A woman is ironing the food.,is,2.890625
3,IV,A woman is ironing the food.,ironing,16.0
3,IV,A woman is ironing the food.,the,7.40625
3,IV,A woman is ironing the food.,food.,20.28125
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,9.4375
3,IO,A woman is giving stones to other people.,is,2.890625
3,IO,A woman is giving stones to other people.,giving,10.8125
3,IO,A woman is giving stones to other people.,stones,17.5
3,IO,A woman is giving stones to other people.,to,0.5390625
3,IO,A woman is giving stones to other people.,other,7.21875
3,IO,A woman is giving stones to other people.,people.,4.6875
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,7.65625
4,PV,A person is giving money to another person.,is,3.609375
4,PV,A person is giving money to another person.,giving,11.0
4,PV,A person is giving money to another person.,money,5.9375
4,PV,A person is giving money to another person.,to,0.1806640625
4,PV,A person is giving money to another person.,another,3.96875
4,PV,A person is giving money to another person.,person.,2.1640625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,7.65625
4,IV,A person is eating money.,is,3.609375
4,IV,A person is eating money.,eating,7.9375
4,IV,A person is eating money.,money.,14.953125
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,7.65625
4,IO,A person is giving molten lava to another person.,is,3.609375
4,IO,A person is giving molten lava to another person.,giving,11.0
4,IO,A person is giving molten lava to another person.,molten,20.25
4,IO,A person is giving molten lava to another person.,lava,8.3125
4,IO,A person is giving molten lava to another person.,to,1.265625
4,IO,A person is giving molten lava to another person.,another,3.96875
4,IO,A person is giving molten lava to another person.,person.,2.52734375
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,7.65625
5,PV,A person is putting a cellular telephone inside his pocket.,is,3.609375
5,PV,A person is putting a cellular telephone inside his pocket.,putting,10.625
5,PV,A person is putting a cellular telephone inside his pocket.,a,3.25
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,15.4375
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,5.21875
5,PV,A person is putting a cellular telephone inside his pocket.,inside,11.0
5,PV,A person is putting a cellular telephone inside his pocket.,his,4.15625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,3.0625
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,7.65625
5,IV,A person is watering a cellular telephone.,is,3.609375
5,IV,A person is watering a cellular telephone.,watering,14.0625
