triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,11.375
0,PV,is,4.875
0,PV,giving,7.46875
0,PV,medicine,8.8125
0,PV,to,1.4453125
0,PV,the,0.5390625
0,PV,old,7.03125
0,PV,woman.,3.7890625
0,IV,The,0.0
0,IV,doctor,11.375
0,IV,is,4.875
0,IV,welding,20.5
0,IV,medicine,14.1875
0,IV,to,2.703125
0,IV,the,1.8046875
0,IV,old,9.1875
0,IV,woman.,6.5
0,IO,The,0.0
0,IO,doctor,11.375
0,IO,is,4.875
0,IO,giving,7.46875
0,IO,fire,17.875
0,IO,to,1.984375
0,IO,the,0.90234375
0,IO,old,9.0
0,IO,woman.,4.875
1,PV,A,0.0
1,PV,person,16.625
1,PV,is,3.96875
1,PV,giving,11.25
1,PV,bread,11.875
1,PV,to,0.361328125
1,PV,a,1.265625
1,PV,toddler.,12.6875
1,IV,A,0.0
1,IV,toddler,23.625
1,IV,is,3.78125
1,IV,riding,9.1875
1,IV,a,1.265625
1,IV,bread.,32.6875
1,IO,A,0.0
1,IO,person,16.625
1,IO,is,3.96875
1,IO,giving,11.25
1,IO,a,1.984375
1,IO,building,12.0625
1,IO,to,2.703125
1,IO,a,1.4453125
1,IO,toddler.,18.9296875
2,PV,A,0.0
2,PV,man,15.5
2,PV,is,3.78125
2,PV,giving,8.9375
2,PV,a,1.078125
2,PV,gift,5.9375
2,PV,to,0.361328125
2,PV,a,0.90234375
2,PV,child.,4.87109375
2,IV,A,0.0
2,IV,man,15.5
2,IV,is,3.78125
2,IV,cooking,9.5625
2,IV,a,2.703125
2,IV,gift,12.375
2,IV,with,6.6875
2,IV,a,1.265625
2,IV,child.,12.4453125
2,IO,A,0.0
2,IO,man,15.5
2,IO,is,3.78125
2,IO,giving,8.9375
2,IO,a,1.078125
2,IO,bed,11.0625
2,IO,to,3.0625
2,IO,a,0.72265625
2,IO,child.,5.765625
3,PV,A,0.0
3,PV,woman,17.125
3,PV,is,3.78125
3,PV,giving,8.1875
3,PV,food,8.125
3,PV,to,0.1806640625
3,PV,other,8.625
3,PV,people.,3.421875
3,IV,A,0.0
3,IV,woman,17.125
3,IV,is,3.78125
3,IV,ironing,12.6875
3,IV,the,4.875
3,IV,food.,14.53125
3,IO,A,0.0
3,IO,woman,17.125
3,IO,is,3.78125
3,IO,giving,8.1875
3,IO,stones,18.625
3,IO,to,0.5390625
3,IO,other,6.40625
3,IO,people.,3.0703125
4,PV,A,0.0
4,PV,person,16.625
4,PV,is,3.96875
4,PV,giving,11.25
4,PV,money,6.84375
4,PV,to,0.5390625
4,PV,another,3.421875
4,PV,person.,1.986328125
4,IV,A,0.0
4,IV,person,16.625
4,IV,is,3.96875
4,IV,eating,9.5625
4,IV,money.,16.703125
4,IO,A,0.0
4,IO,person,16.625
4,IO,is,3.96875
4,IO,giving,11.25
4,IO,molten,20.5
4,IO,lava,4.5
4,IO,to,2.890625
4,IO,another,2.890625
4,IO,person.,1.986328125
5,PV,A,0.0
5,PV,person,16.625
5,PV,is,3.96875
5,PV,putting,11.875
5,PV,a,2.890625
5,PV,cellular,14.5
5,PV,telephone,3.0625
5,PV,inside,5.0625
5,PV,his,2.703125
5,PV,pocket.,3.0625
5,IV,A,0.0
5,IV,person,16.625
5,IV,is,3.96875
5,IV,watering,16.0
5,IV,a,1.625
5,IV,cellular,20.875
5,IV,telephone.,6.140625
5,IO,A,0.0
5,IO,person,16.625
5,IO,is,3.96875
5,IO,putting,11.875
5,IO,a,2.890625
5,IO,gas,9.75
5,IO,cylinder,5.59375
5,IO,inside,4.6875
5,IO,his,3.609375
5,IO,pocket.,11.2578125
6,PV,A,0.0
6,PV,man,15.5
6,PV,is,3.78125
6,PV,putting,9.4375
6,PV,a,2.34375
6,PV,bag,6.3125
6,PV,inside,6.5
6,PV,a,0.72265625
6,PV,car.,3.4296875
6,IV,A,0.0
6,IV,man,15.5
6,IV,is,3.78125
6,IV,feeding,11.875
6,IV,a,1.078125
6,IV,bag,11.75
6,IV,inside,11.0
6,IV,a,0.90234375
6,IV,car.,5.78515625
6,IO,A,0.0
6,IO,man,15.5
6,IO,is,3.78125
6,IO,putting,9.4375
6,IO,a,2.34375
6,IO,car,7.21875
6,IO,inside,7.40625
6,IO,a,0.72265625
6,IO,car.,7.9375
7,PV,A,0.0
7,PV,woman,17.125
7,PV,is,3.78125
7,PV,putting,24.4375
7,PV,a,2.703125
7,PV,dish,9.3125
7,PV,inside,7.03125
7,PV,an,5.9375
7,PV,oven.,0.9033203125
7,IV,A,0.0
7,IV,woman,17.125
7,IV,is,3.78125
7,IV,entering,11.1875
7,IV,an,4.15625
7,IV,oven.,9.734375
7,IO,A,0.0
7,IO,woman,17.125
7,IO,is,3.78125
7,IO,putting,24.4375
7,IO,a,2.703125
7,IO,door,10.5625
7,IO,inside,9.0
7,IO,an,5.59375
7,IO,oven.,5.234375
8,PV,A,0.0
8,PV,man,15.5
8,PV,is,3.78125
8,PV,putting,9.4375
8,PV,money,7.9375
8,PV,in,1.078125
8,PV,a,1.078125
8,PV,piggy,2.34375
8,PV,bank.,0.5390625
8,IV,A,0.0
8,IV,man,15.5
8,IV,is,3.78125
8,IV,pouring,11.75
8,IV,money,11.8125
8,IV,in,4.875
8,IV,a,0.90234375
8,IV,piggy,3.78125
8,IV,bank.,0.9033203125
8,IO,A,0.0
8,IO,man,15.5
8,IO,is,3.78125
8,IO,putting,9.4375
8,IO,book,13.5
8,IO,in,3.421875
8,IO,a,0.90234375
8,IO,piggy,14.6875
8,IO,bank.,0.9033203125
9,PV,A,0.0
9,PV,person,16.625
9,PV,is,3.96875
9,PV,dropping,15.4375
9,PV,a,1.8046875
9,PV,coin,6.84375
9,PV,in,6.125
9,PV,a,1.265625
9,PV,glass,5.0625
9,PV,jar.,5.59375
9,IV,A,0.0
9,IV,person,16.625
9,IV,is,3.96875
9,IV,growing,13.0
9,IV,coins,18.0
9,IV,in,2.703125
9,IV,a,1.078125
