triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,12.0625
0,PV,is,5.125
0,PV,giving,6.125
0,PV,medicine,8.5625
0,PV,to,0.72265625
0,PV,the,1.625
0,PV,old,6.125
0,PV,woman.,6.3125
0,IV,The,0.0
0,IV,doctor,12.0625
0,IV,is,5.125
0,IV,welding,20.5
0,IV,medicine,11.0
0,IV,to,3.25
0,IV,the,1.4453125
0,IV,old,8.3125
0,IV,woman.,8.109375
0,IO,The,0.0
0,IO,doctor,12.0625
0,IO,is,5.125
0,IO,giving,6.125
0,IO,fire,16.625
0,IO,to,5.40625
0,IO,the,1.4453125
0,IO,old,6.40625
0,IO,woman.,7.03125
1,PV,A,0.0
1,PV,person,7.71875
1,PV,is,4.15625
1,PV,giving,9.9375
1,PV,bread,17.625
1,PV,to,0.361328125
1,PV,a,3.875
1,PV,toddler.,15.6328125
1,IV,A,0.0
1,IV,toddler,14.9375
1,IV,is,2.890625
1,IV,riding,8.5625
1,IV,a,1.4453125
1,IV,bread.,37.59375
1,IO,A,0.0
1,IO,person,7.71875
1,IO,is,4.15625
1,IO,giving,9.9375
1,IO,a,6.40625
1,IO,building,15.0625
1,IO,to,3.515625
1,IO,a,2.15625
1,IO,toddler.,22.125
2,PV,A,0.0
2,PV,man,6.3125
2,PV,is,3.0625
2,PV,giving,10.5625
2,PV,a,3.78125
2,PV,gift,5.3125
2,PV,to,0.361328125
2,PV,a,2.34375
2,PV,child.,5.140625
2,IV,A,0.0
2,IV,man,6.3125
2,IV,is,3.0625
2,IV,cooking,15.6875
2,IV,a,2.703125
2,IV,gift,13.625
2,IV,with,8.625
2,IV,a,2.25
2,IV,child.,13.3203125
2,IO,A,0.0
2,IO,man,6.3125
2,IO,is,3.0625
2,IO,giving,10.5625
2,IO,a,3.78125
2,IO,bed,19.625
2,IO,to,1.265625
2,IO,a,1.265625
2,IO,child.,5.234375
3,PV,A,0.0
3,PV,woman,8.1875
3,PV,is,3.703125
3,PV,giving,9.625
3,PV,food,9.9375
3,PV,to,0.72265625
3,PV,other,8.9375
3,PV,people.,3.0625
3,IV,A,0.0
3,IV,woman,8.1875
3,IV,is,3.703125
3,IV,ironing,15.25
3,IV,the,4.5
3,IV,food.,19.625
3,IO,A,0.0
3,IO,woman,8.1875
3,IO,is,3.703125
3,IO,giving,9.625
3,IO,stones,18.375
3,IO,to,0.361328125
3,IO,other,8.3125
3,IO,people.,2.703125
4,PV,A,0.0
4,PV,person,7.71875
4,PV,is,4.15625
4,PV,giving,9.9375
4,PV,money,15.6875
4,PV,to,0.1806640625
4,PV,another,7.40625
4,PV,person.,1.0830078125
4,IV,A,0.0
4,IV,person,7.71875
4,IV,is,4.15625
4,IV,eating,10.9375
4,IV,money.,16.046875
4,IO,A,0.0
4,IO,person,7.71875
4,IO,is,4.15625
4,IO,giving,9.9375
4,IO,molten,32.765625
4,IO,lava,5.3125
4,IO,to,2.703125
4,IO,another,5.5
4,IO,person.,1.8046875
5,PV,A,0.0
5,PV,person,7.71875
5,PV,is,4.15625
5,PV,putting,12.5625
5,PV,a,2.609375
5,PV,cellular,21.0
5,PV,telephone,4.96875
5,PV,inside,7.5625
5,PV,his,4.96875
5,PV,pocket.,1.44140625
5,IV,A,0.0
5,IV,person,7.71875
5,IV,is,4.15625
5,IV,watering,20.0
5,IV,a,2.890625
5,IV,cellular,21.125
5,IV,telephone.,11.875
5,IO,A,0.0
5,IO,person,7.71875
5,IO,is,4.15625
5,IO,putting,12.5625
5,IO,a,2.609375
5,IO,gas,13.0
5,IO,cylinder,6.125
5,IO,inside,5.125
5,IO,his,4.25
5,IO,pocket.,15.328125
6,PV,A,0.0
6,PV,man,6.3125
6,PV,is,3.0625
6,PV,putting,14.8125
6,PV,a,2.53125
6,PV,bag,9.3125
6,PV,inside,9.4375
6,PV,a,0.5390625
6,PV,car.,7.484375
6,IV,A,0.0
6,IV,man,6.3125
6,IV,is,3.0625
6,IV,feeding,14.0625
6,IV,a,3.0625
6,IV,bag,11.25
6,IV,inside,15.25
6,IV,a,1.078125
6,IV,car.,8.3125
6,IO,A,0.0
6,IO,man,6.3125
6,IO,is,3.0625
6,IO,putting,14.8125
6,IO,a,2.53125
6,IO,car,6.9375
6,IO,inside,9.3125
6,IO,a,0.72265625
6,IO,car.,9.0
7,PV,A,0.0
7,PV,woman,8.1875
7,PV,is,3.703125
7,PV,putting,29.71875
