triplet_id,type,word,surprisal
0,PV,The,0.0
0,PV,doctor,12.203125
0,PV,is,4.72265625
0,PV,giving,9.2109375
0,PV,medicine,10.5234375
0,PV,to,1.611328125
0,PV,the,2.43359375
0,PV,old,7.3828125
0,PV,woman.,5.083984375
0,IV,The,0.0
0,IV,doctor,12.203125
0,IV,is,4.72265625
0,IV,welding,18.19085693359375
0,IV,medicine,14.1796875
0,IV,to,2.8515625
0,IV,the,2.37890625
0,IV,old,9.8203125
0,IV,woman.,11.046875
0,IO,The,0.0
0,IO,doctor,12.203125
0,IO,is,4.72265625
0,IO,giving,9.2109375
0,IO,fire,15.78125
0,IO,to,1.0029296875
0,IO,the,1.5556640625
0,IO,old,8.421875
0,IO,woman.,7.95703125
1,PV,A,0.0
1,PV,person,12.7734375
1,PV,is,4.31640625
1,PV,giving,12.6484375
1,PV,bread,14.1328125
1,PV,to,1.3974609375
1,PV,a,2.43359375
1,PV,toddler.,15.866287231445312
1,IV,A,0.0
1,IV,toddler,23.40625
1,IV,is,4.0703125
1,IV,riding,12.0625
1,IV,a,1.7470703125
1,IV,bread.,43.453125
1,IO,A,0.0
1,IO,person,12.7734375
1,IO,is,4.31640625
1,IO,giving,12.6484375
1,IO,a,2.884765625
1,IO,building,12.328125
1,IO,to,4.82421875
1,IO,a,1.8818359375
1,IO,toddler.,17.328125
2,PV,A,0.0
2,PV,man,11.8828125
2,PV,is,4.41796875
2,PV,giving,11.5546875
2,PV,a,2.783203125
2,PV,gift,7.85546875
2,PV,to,1.5888671875
2,PV,a,1.927734375
2,PV,child.,7.349609375
2,IV,A,0.0
2,IV,man,11.8828125
2,IV,is,4.41796875
2,IV,cooking,13.1875
2,IV,a,2.400390625
2,IV,gift,11.3359375
2,IV,with,6.45703125
2,IV,a,2.400390625
2,IV,child.,11.271484375
2,IO,A,0.0
2,IO,man,11.8828125
2,IO,is,4.41796875
2,IO,giving,11.5546875
2,IO,a,2.783203125
2,IO,bed,12.7109375
2,IO,to,2.76171875
2,IO,a,1.4423828125
2,IO,child.,8.046875
3,PV,A,0.0
3,PV,woman,12.859375
3,PV,is,4.2265625
3,PV,giving,10.1640625
3,PV,food,10.7734375
3,PV,to,0.6083984375
3,PV,other,7.5078125
3,PV,people.,5.69140625
3,IV,A,0.0
3,IV,woman,12.859375
3,IV,is,4.2265625
3,IV,ironing,18.158203125
3,IV,the,4.08984375
3,IV,food.,17.1640625
3,IO,A,0.0
3,IO,woman,12.859375
3,IO,is,4.2265625
3,IO,giving,10.1640625
3,IO,stones,18.90625
3,IO,to,0.74365234375
3,IO,other,9.109375
3,IO,people.,7.06640625
4,PV,A,0.0
4,PV,person,12.7734375
4,PV,is,4.31640625
4,PV,giving,12.6484375
4,PV,money,7.078125
4,PV,to,0.67626953125
4,PV,another,4.33984375
4,PV,person.,4.13720703125
4,IV,A,0.0
4,IV,person,12.7734375
4,IV,is,4.31640625
4,IV,eating,14.40625
4,IV,money.,16.63671875
4,IO,A,0.0
4,IO,person,12.7734375
4,IO,is,4.31640625
4,IO,giving,12.6484375
4,IO,molten,20.427734375
4,IO,lava,3.966796875
4,IO,to,1.97265625
4,IO,another,4.66796875
4,IO,person.,3.27978515625
5,PV,A,0.0
5,PV,person,12.7734375
5,PV,is,4.31640625
5,PV,putting,12.953125
5,PV,a,3.201171875
5,PV,cellular,15.0546875
5,PV,telephone,5.140625
5,PV,inside,6.19921875
5,PV,his,2.298828125
5,PV,pocket.,6.005859375
5,IV,A,0.0
5,IV,person,12.7734375
5,IV,is,4.31640625
5,IV,watering,20.12890625
5,IV,a,1.9951171875
5,IV,cellular,17.703125
5,IV,telephone.,8.48828125
5,IO,A,0.0
5,IO,person,12.7734375
5,IO,is,4.31640625
5,IO,putting,12.953125
5,IO,a,3.201171875
5,IO,gas,11.5859375
5,IO,cylinder,4.2265625
5,IO,inside,5.02734375
5,IO,his,3.123046875
5,IO,pocket.,9.109375
6,PV,A,0.0
6,PV,man,11.8828125
6,PV,is,4.41796875
6,PV,putting,10.8984375
6,PV,a,2.693359375
6,PV,bag,8.1640625
6,PV,inside,7.765625
6,PV,a,1.8818359375
6,PV,car.,7.439453125
6,IV,A,0.0
6,IV,man,11.8828125
6,IV,is,4.41796875
6,IV,feeding,15.5078125
6,IV,a,2.265625
6,IV,bag,10.3671875
6,IV,inside,12.859375
6,IV,a,1.0595703125
6,IV,car.,8.701171875
6,IO,A,0.0
6,IO,man,11.8828125
6,IO,is,4.41796875
6,IO,putting,10.8984375
6,IO,a,2.693359375
6,IO,car,7.84375
6,IO,inside,8.140625
6,IO,a,1.46484375
6,IO,car.,8.31640625
7,PV,A,0.0
7,PV,woman,12.859375
7,PV,is,4.2265625
7,PV,putting,25.5
7,PV,a,3.279296875
7,PV,dish,10.5390625
7,PV,inside,8.5859375
7,PV,an,6.3125
7,PV,oven.,6.80859375
7,IV,A,0.0
7,IV,woman,12.859375
7,IV,is,4.2265625
7,IV,entering,11.40625
7,IV,an,4.9375
7,IV,oven.,13.693359375
7,IO,A,0.0
7,IO,woman,12.859375
7,IO,is,4.2265625
7,IO,putting,25.5
7,IO,a,3.279296875
7,IO,door,11.890625
7,IO,inside,9.421875
7,IO,an,6.73828125
7,IO,oven.,10.4609375
8,PV,A,0.0
8,PV,man,11.8828125
8,PV,is,4.41796875
8,PV,putting,10.8984375
8,PV,money,7.24609375
8,PV,in,2.546875
8,PV,a,3.359375
8,PV,piggy,11.68994140625
8,PV,bank.,4.034912109375
8,IV,A,0.0
8,IV,man,11.8828125
8,IV,is,4.41796875
8,IV,pouring,16.515625
8,IV,money,4.66796875
8,IV,in,5.140625
8,IV,a,4.82421875
8,IV,piggy,11.813720703125
8,IV,bank.,4.361083984375
8,IO,A,0.0
8,IO,man,11.8828125
8,IO,is,4.41796875
8,IO,putting,10.8984375
8,IO,book,15.8046875
8,IO,in,6.58203125
8,IO,a,3.212890625
8,IO,piggy,16.005859375
8,IO,bank.,4.43994140625
9,PV,A,0.0
9,PV,person,12.7734375
9,PV,is,4.31640625
9,PV,dropping,16.125
9,PV,a,3.34765625
9,PV,coin,6.37890625
9,PV,in,3.482421875
9,PV,a,1.2509765625
9,PV,glass,8.125
9,PV,jar.,6.1416015625
9,IV,A,0.0
9,IV,person,12.7734375
9,IV,is,4.31640625
9,IV,growing,13.078125
9,IV,coins,21.078125
9,IV,in,3.595703125
9,IV,a,2.4453125
9,IV,glass,12.1171875
9,IV,jar.,4.5078125
9,IO,A,0.0
9,IO,person,12.7734375
9,IO,is,4.31640625
9,IO,dropping,16.125
9,IO,a,3.34765625
9,IO,large,7.01171875
9,IO,stone,8.1171875
9,IO,in,4.01171875
9,IO,a,1.927734375
9,IO,glass,8.7890625
9,IO,jar.,6.0517578125
10,PV,A,0.0
10,PV,pitcher,21.33203125
10,PV,is,4.16015625
10,PV,throwing,9.5546875
10,PV,a,2.005859375
10,PV,ball,3.099609375
10,PV,to,2.513671875
10,PV,a,2.220703125
10,PV,catcher.,5.9737091064453125
10,IV,A,0.0
10,IV,pitcher,21.33203125
10,IV,is,4.16015625
10,IV,stretching,16.59375
10,IV,a,4.54296875
10,IV,ball.,9.0390625
10,IO,A,0.0
10,IO,pitcher,21.33203125
10,IO,is,4.16015625
10,IO,throwing,9.5546875
10,IO,a,2.005859375
10,IO,anvil,31.8828125
10,IO,to,3.9453125
10,IO,a,2.818359375
10,IO,catcher.,9.37835693359375
11,PV,A,0.0
11,PV,dart,23.1875
11,PV,player,9.125
11,PV,is,3.84375
11,PV,throwing,11.765625
11,PV,a,15.994140625
11,PV,dart,3.3252716064453125
11,PV,at,2.017578125
11,PV,a,1.634765625
11,PV,target.,6.662109375
11,IV,A,0.0
11,IV,dart,23.1875
11,IV,player,9.125
11,IV,is,3.84375
11,IV,eating,15.3984375
11,IV,a,14.869140625
11,IV,dart.,9.916168212890623
11,IO,A,0.0
11,IO,dart,23.1875
11,IO,player,9.125
11,IO,is,3.84375
11,IO,throwing,11.765625
11,IO,a,2.0859375
11,IO,dumbell,21.1484375
11,IO,at,1.2734375
11,IO,a,1.8935546875
11,IO,target.,8.6875
