triplet_id,type,sentence,word,surprisal
0,PV,The doctor is giving medicine to the old woman.,The,0.0
0,PV,The doctor is giving medicine to the old woman.,doctor,11.25
0,PV,The doctor is giving medicine to the old woman.,is,4.875
0,PV,The doctor is giving medicine to the old woman.,giving,7.84375
0,PV,The doctor is giving medicine to the old woman.,medicine,10.125
0,PV,The doctor is giving medicine to the old woman.,to,1.265625
0,PV,The doctor is giving medicine to the old woman.,the,1.265625
0,PV,The doctor is giving medicine to the old woman.,old,7.125
0,PV,The doctor is giving medicine to the old woman.,woman.,4.328125
0,IV,The doctor is welding medicine to the old woman.,The,0.0
0,IV,The doctor is welding medicine to the old woman.,doctor,11.25
0,IV,The doctor is welding medicine to the old woman.,is,4.875
0,IV,The doctor is welding medicine to the old woman.,welding,20.375
0,IV,The doctor is welding medicine to the old woman.,medicine,14.0625
0,IV,The doctor is welding medicine to the old woman.,to,2.34375
0,IV,The doctor is welding medicine to the old woman.,the,1.984375
0,IV,The doctor is welding medicine to the old woman.,old,8.0
0,IV,The doctor is welding medicine to the old woman.,woman.,6.859375
0,IO,The doctor is giving fire to the old woman.,The,0.0
0,IO,The doctor is giving fire to the old woman.,doctor,11.25
0,IO,The doctor is giving fire to the old woman.,is,4.875
0,IO,The doctor is giving fire to the old woman.,giving,7.84375
0,IO,The doctor is giving fire to the old woman.,fire,17.0
0,IO,The doctor is giving fire to the old woman.,to,2.703125
0,IO,The doctor is giving fire to the old woman.,the,1.078125
0,IO,The doctor is giving fire to the old woman.,old,8.5
0,IO,The doctor is giving fire to the old woman.,woman.,6.140625
1,PV,A person is giving bread to a toddler.,A,0.0
1,PV,A person is giving bread to a toddler.,person,16.375
1,PV,A person is giving bread to a toddler.,is,4.15625
1,PV,A person is giving bread to a toddler.,giving,12.1875
1,PV,A person is giving bread to a toddler.,bread,12.0625
1,PV,A person is giving bread to a toddler.,to,0.361328125
1,PV,A person is giving bread to a toddler.,a,1.265625
1,PV,A person is giving bread to a toddler.,toddler.,11.1953125
1,IV,A toddler is riding a  bread.,A,0.0
1,IV,A toddler is riding a  bread.,toddler,22.125
1,IV,A toddler is riding a  bread.,is,3.78125
1,IV,A toddler is riding a  bread.,riding,10.125
1,IV,A toddler is riding a  bread.,a,1.265625
1,IV,A toddler is riding a  bread.,bread.,32.8125
1,IO,A person is giving a building to a toddler.,A,0.0
1,IO,A person is giving a building to a toddler.,person,16.375
1,IO,A person is giving a building to a toddler.,is,4.15625
1,IO,A person is giving a building to a toddler.,giving,12.1875
1,IO,A person is giving a building to a toddler.,a,1.8046875
1,IO,A person is giving a building to a toddler.,building,12.625
1,IO,A person is giving a building to a toddler.,to,3.0625
1,IO,A person is giving a building to a toddler.,a,1.8046875
1,IO,A person is giving a building to a toddler.,toddler.,18.359375
2,PV,A man is giving a gift to a child.,A,0.0
2,PV,A man is giving a gift to a child.,man,14.875
2,PV,A man is giving a gift to a child.,is,3.78125
2,PV,A man is giving a gift to a child.,giving,8.5625
2,PV,A man is giving a gift to a child.,a,1.078125
2,PV,A man is giving a gift to a child.,gift,6.9375
2,PV,A man is giving a gift to a child.,to,0.5390625
2,PV,A man is giving a gift to a child.,a,0.72265625
2,PV,A man is giving a gift to a child.,child.,5.765625
2,IV,A man is cooking a gift with a child.,A,0.0
2,IV,A man is cooking a gift with a child.,man,14.875
2,IV,A man is cooking a gift with a child.,is,3.78125
2,IV,A man is cooking a gift with a child.,cooking,9.75
2,IV,A man is cooking a gift with a child.,a,2.890625
2,IV,A man is cooking a gift with a child.,gift,15.5
2,IV,A man is cooking a gift with a child.,with,6.3125
2,IV,A man is cooking a gift with a child.,a,1.4453125
2,IV,A man is cooking a gift with a child.,child.,11.296875
2,IO,A man is giving a bed to a child.,A,0.0
2,IO,A man is giving a bed to a child.,man,14.875
2,IO,A man is giving a bed to a child.,is,3.78125
2,IO,A man is giving a bed to a child.,giving,8.5625
2,IO,A man is giving a bed to a child.,a,1.078125
2,IO,A man is giving a bed to a child.,bed,11.75
2,IO,A man is giving a bed to a child.,to,2.703125
2,IO,A man is giving a bed to a child.,a,0.72265625
2,IO,A man is giving a bed to a child.,child.,5.953125
3,PV,A woman is giving food to other people.,A,0.0
3,PV,A woman is giving food to other people.,woman,15.875
3,PV,A woman is giving food to other people.,is,3.96875
3,PV,A woman is giving food to other people.,giving,8.1875
3,PV,A woman is giving food to other people.,food,8.75
3,PV,A woman is giving food to other people.,to,0.1806640625
3,PV,A woman is giving food to other people.,other,6.84375
3,PV,A woman is giving food to other people.,people.,2.53125
3,IV,A woman is ironing the food.,A,0.0
3,IV,A woman is ironing the food.,woman,15.875
3,IV,A woman is ironing the food.,is,3.96875
3,IV,A woman is ironing the food.,ironing,10.9375
3,IV,A woman is ironing the food.,the,5.40625
3,IV,A woman is ironing the food.,food.,16.921875
3,IO,A woman is giving stones to other people.,A,0.0
3,IO,A woman is giving stones to other people.,woman,15.875
3,IO,A woman is giving stones to other people.,is,3.96875
3,IO,A woman is giving stones to other people.,giving,8.1875
3,IO,A woman is giving stones to other people.,stones,18.0
3,IO,A woman is giving stones to other people.,to,0.72265625
3,IO,A woman is giving stones to other people.,other,5.9375
3,IO,A woman is giving stones to other people.,people.,2.8828125
4,PV,A person is giving money to another person.,A,0.0
4,PV,A person is giving money to another person.,person,16.375
4,PV,A person is giving money to another person.,is,4.15625
4,PV,A person is giving money to another person.,giving,12.1875
4,PV,A person is giving money to another person.,money,6.75
4,PV,A person is giving money to another person.,to,0.361328125
4,PV,A person is giving money to another person.,another,3.609375
4,PV,A person is giving money to another person.,person.,2.1640625
4,IV,A person is eating money.,A,0.0
4,IV,A person is eating money.,person,16.375
4,IV,A person is eating money.,is,4.15625
4,IV,A person is eating money.,eating,9.5625
4,IV,A person is eating money.,money.,16.53125
4,IO,A person is giving molten lava to another person.,A,0.0
4,IO,A person is giving molten lava to another person.,person,16.375
4,IO,A person is giving molten lava to another person.,is,4.15625
4,IO,A person is giving molten lava to another person.,giving,12.1875
4,IO,A person is giving molten lava to another person.,molten,20.84375
4,IO,A person is giving molten lava to another person.,lava,7.125
4,IO,A person is giving molten lava to another person.,to,2.890625
4,IO,A person is giving molten lava to another person.,another,2.703125
4,IO,A person is giving molten lava to another person.,person.,1.806640625
5,PV,A person is putting a cellular telephone inside his pocket.,A,0.0
5,PV,A person is putting a cellular telephone inside his pocket.,person,16.375
5,PV,A person is putting a cellular telephone inside his pocket.,is,4.15625
5,PV,A person is putting a cellular telephone inside his pocket.,putting,12.0625
5,PV,A person is putting a cellular telephone inside his pocket.,a,2.703125
5,PV,A person is putting a cellular telephone inside his pocket.,cellular,15.625
5,PV,A person is putting a cellular telephone inside his pocket.,telephone,1.984375
5,PV,A person is putting a cellular telephone inside his pocket.,inside,5.59375
5,PV,A person is putting a cellular telephone inside his pocket.,his,3.0625
5,PV,A person is putting a cellular telephone inside his pocket.,pocket.,2.34375
5,IV,A person is watering a cellular telephone.,A,0.0
5,IV,A person is watering a cellular telephone.,person,16.375
5,IV,A person is watering a cellular telephone.,is,4.15625
5,IV,A person is watering a cellular telephone.,watering,16.625
5,IV,A person is watering a cellular telephone.,a,1.8046875
5,IV,A person is watering a cellular telephone.,cellular,19.875
5,IV,A person is watering a cellular telephone.,telephone.,6.484375
5,IO,A person is putting a gas cylinder inside his pocket.,A,0.0
5,IO,A person is putting a gas cylinder inside his pocket.,person,16.375
5,IO,A person is putting a gas cylinder inside his pocket.,is,4.15625
5,IO,A person is putting a gas cylinder inside his pocket.,putting,12.0625
